"X","Y","H00_Ground Level (Depth)"
526580.01,2261461.01,-113.857894897
526580.01,2261561.01,-112.812431335
526580.01,2261661.01,-112.01663208
526680.01,2261461.01,-113.18838501
526680.01,2261561.01,-112.356369019
526680.01,2261661.01,-112.712387085
526680.01,2261761.01,-113.042243958
526680.01,2261861.01,-112.480117798
526680.01,2261961.01,-110.311767578
526680.01,2262061.01,-108.725723267
526680.01,2262161.01,-106.880050659
526680.01,2262261.01,-105.938194275
526680.01,2262361.01,-106.051742554
526680.01,2262461.01,-106.535385132
526680.01,2262561.01,-107.119903564
526780.01,2261361.01,-113.366355896
526780.01,2261461.01,-112.21081543
526780.01,2261561.01,-111.354896545
526780.01,2261661.01,-112.40019989
526780.01,2261761.01,-113.972450256
526780.01,2261861.01,-113.836685181
526780.01,2261961.01,-111.766899109
526780.01,2262061.01,-109.87197113
526780.01,2262161.01,-107.74822998
526780.01,2262261.01,-106.761306763
526780.01,2262361.01,-106.932792664
526780.01,2262461.01,-107.480224609
526780.01,2262561.01,-108.403343201
526780.01,2262661.01,-109.335609436
526780.01,2262761.01,-109.797271729
526780.01,2262861.01,-111.152038574
526780.01,2262961.01,-112.561721802
526780.01,2263061.01,-112.037055969
526780.01,2263161.01,-111.295532227
526780.01,2263261.01,-110.808784485
526780.01,2263361.01,-110.179656982
526780.01,2263461.01,-109.001335144
526880.01,2261361.01,-112.027175903
526880.01,2261461.01,-111.109970093
526880.01,2261561.01,-110.631347656
526880.01,2261661.01,-111.287849426
526880.01,2261761.01,-113.152145386
526880.01,2261861.01,-113.715797424
526880.01,2261961.01,-111.945373535
526880.01,2262061.01,-110.207626343
526880.01,2262161.01,-108.218528748
526880.01,2262261.01,-107.477043152
526880.01,2262361.01,-107.422584534
526880.01,2262461.01,-107.892318726
526880.01,2262561.01,-108.84526825
526880.01,2262661.01,-110.283149719
526880.01,2262761.01,-110.963737488
526880.01,2262861.01,-111.921073914
526880.01,2262961.01,-113.251647949
526880.01,2263061.01,-112.713645935
526880.01,2263161.01,-112.565498352
526880.01,2263261.01,-111.835678101
526880.01,2263361.01,-111.118400574
526880.01,2263461.01,-109.328567505
526880.01,2263561.01,-107.873054504
526880.01,2263661.01,-108.115028381
526880.01,2263761.01,-108.987289429
526880.01,2263861.01,-105.460632324
526880.01,2263961.01,-101.742881775
526880.01,2264061.01,-96.354125977
526880.01,2264161.01,-98.490478516
526880.01,2264261.01,-103.894508362
526880.01,2264361.01,-105.966629028
526880.01,2264461.01,-103.671554565
526980.01,2261361.01,-110.388328552
526980.01,2261461.01,-109.563941956
526980.01,2261561.01,-109.85710907
526980.01,2261661.01,-110.745391846
526980.01,2261761.01,-111.799812317
526980.01,2261861.01,-112.962432861
526980.01,2261961.01,-111.637336731
526980.01,2262061.01,-110.985824585
526980.01,2262161.01,-109.638893127
526980.01,2262261.01,-108.678283691
526980.01,2262361.01,-108.043968201
526980.01,2262461.01,-108.409408569
526980.01,2262561.01,-109.300552368
526980.01,2262661.01,-110.420814514
526980.01,2262761.01,-110.889518738
526980.01,2262861.01,-111.879150391
526980.01,2262961.01,-112.649581909
526980.01,2263061.01,-113.058105469
