"X","Y","H01_T20m (Depth)"
526580.01,2261461.01,-93.857894897
526580.01,2261561.01,-92.812431335
526580.01,2261661.01,-92.01663208
526680.01,2261461.01,-93.18838501
526680.01,2261561.01,-92.356369019
526680.01,2261661.01,-92.712387085
526680.01,2261761.01,-93.042243958
526680.01,2261861.01,-92.480117798
526680.01,2261961.01,-90.311767578
526680.01,2262061.01,-88.725723267
526680.01,2262161.01,-86.880050659
526680.01,2262261.01,-85.938194275
526680.01,2262361.01,-86.051742554
526680.01,2262461.01,-86.535385132
526680.01,2262561.01,-87.119903564
526780.01,2261361.01,-93.366355896
526780.01,2261461.01,-92.21081543
526780.01,2261561.01,-91.354896545
526780.01,2261661.01,-92.40019989
526780.01,2261761.01,-93.972450256
526780.01,2261861.01,-93.836685181
526780.01,2261961.01,-91.766899109
526780.01,2262061.01,-89.87197113
526780.01,2262161.01,-87.74822998
526780.01,2262261.01,-86.761306763
526780.01,2262361.01,-86.932792664
526780.01,2262461.01,-87.480224609
526780.01,2262561.01,-88.403343201
526780.01,2262661.01,-89.335609436
526780.01,2262761.01,-89.797271729
526780.01,2262861.01,-91.152038574
526780.01,2262961.01,-92.561721802
526780.01,2263061.01,-92.037055969
526780.01,2263161.01,-91.295532227
526780.01,2263261.01,-90.808784485
526780.01,2263361.01,-90.179656982
526780.01,2263461.01,-89.001335144
526880.01,2261361.01,-92.027175903
526880.01,2261461.01,-91.109970093
526880.01,2261561.01,-90.631347656
526880.01,2261661.01,-91.287849426
526880.01,2261761.01,-93.152145386
526880.01,2261861.01,-93.715797424
526880.01,2261961.01,-91.945373535
526880.01,2262061.01,-90.207626343
526880.01,2262161.01,-88.218528748
526880.01,2262261.01,-87.477043152
526880.01,2262361.01,-87.422584534
526880.01,2262461.01,-87.892318726
526880.01,2262561.01,-88.84526825
526880.01,2262661.01,-90.283149719
526880.01,2262761.01,-90.963737488
526880.01,2262861.01,-91.921073914
526880.01,2262961.01,-93.251647949
526880.01,2263061.01,-92.713645935
526880.01,2263161.01,-92.565498352
526880.01,2263261.01,-91.835678101
526880.01,2263361.01,-91.118400574
526880.01,2263461.01,-89.328567505
526880.01,2263561.01,-87.873054504
526880.01,2263661.01,-88.115028381
526880.01,2263761.01,-88.987289429
526880.01,2263861.01,-85.460632324
526880.01,2263961.01,-81.742881775
526880.01,2264061.01,-76.354125977
526880.01,2264161.01,-78.490478516
526880.01,2264261.01,-83.894508362
526880.01,2264361.01,-85.966629028
526880.01,2264461.01,-83.671554565
526980.01,2261361.01,-90.388328552
526980.01,2261461.01,-89.563941956
526980.01,2261561.01,-89.85710907
526980.01,2261661.01,-90.745391846
526980.01,2261761.01,-91.799812317
526980.01,2261861.01,-92.962432861
526980.01,2261961.01,-91.637336731
526980.01,2262061.01,-90.985824585
526980.01,2262161.01,-89.638893127
526980.01,2262261.01,-88.678283691
526980.01,2262361.01,-88.04397583
526980.01,2262461.01,-88.409408569
526980.01,2262561.01,-89.300552368
526980.01,2262661.01,-90.420814514
526980.01,2262761.01,-90.889518738
526980.01,2262861.01,-91.879150391
526980.01,2262961.01,-92.649581909
526980.01,2263061.01,-93.058105469
526980.01,2263161.01,-94.0675354
526980.01,2263261.01,-92.437454224
526980.01,2263361.01,-91.889686584
526980.01,2263461.01,-90.441741943
