"X","Y","H03_TCraie (Depth)"
526580.01,2261461.01,-81.126083374
526580.01,2261561.01,-80.242141724
526580.01,2261661.01,-79.282897949
526680.01,2261461.01,-81.317276001
526680.01,2261561.01,-80.338088989
526680.01,2261661.01,-79.277664185
526680.01,2261761.01,-78.150177002
526680.01,2261861.01,-76.89894104
526680.01,2261961.01,-75.674568176
526680.01,2262061.01,-73.603004456
526680.01,2262161.01,-72.504936218
526680.01,2262261.01,-71.348922729
526680.01,2262361.01,-70.3543396
526680.01,2262461.01,-69.348052979
526680.01,2262561.01,-68.755943298
526780.01,2261361.01,-82.547370911
526780.01,2261461.01,-81.573905945
526780.01,2261561.01,-80.500053406
526780.01,2261661.01,-79.338310242
526780.01,2261761.01,-78.104225159
526780.01,2261861.01,-76.816162109
526780.01,2261961.01,-74.607261658
526780.01,2262061.01,-73.30039978
526780.01,2262161.01,-72.084526062
526780.01,2262261.01,-70.912902832
526780.01,2262361.01,-69.742530823
526780.01,2262461.01,-68.862808228
526780.01,2262561.01,-68.013580322
526780.01,2262661.01,-67.273521423
526780.01,2262761.01,-66.647445679
526780.01,2262861.01,-66.134849548
526780.01,2262961.01,-65.730163574
526780.01,2263061.01,-65.423446655
526780.01,2263161.01,-65.201141357
526780.01,2263261.01,-65.04699707
526780.01,2263361.01,-64.942993164
526780.01,2263461.01,-64.870292664
526880.01,2261361.01,-82.952568054
526880.01,2261461.01,-81.893913269
526880.01,2261561.01,-80.72668457
526880.01,2261661.01,-79.464187622
526880.01,2261761.01,-78.123245239
526880.01,2261861.01,-75.931121826
526880.01,2261961.01,-74.527839661
526880.01,2262061.01,-73.189857483
526880.01,2262161.01,-71.791877747
526880.01,2262261.01,-70.451896667
526880.01,2262361.01,-69.189186096
526880.01,2262461.01,-68.242858887
526880.01,2262561.01,-67.324386597
526880.01,2262661.01,-66.533065796
526880.01,2262761.01,-65.874099731
526880.01,2262861.01,-65.346321106
526880.01,2262961.01,-64.942657471
526880.01,2263061.01,-64.651031494
526880.01,2263161.01,-64.45526123
526880.01,2263261.01,-64.336212158
526880.01,2263361.01,-64.272827148
526880.01,2263461.01,-64.393798828
526880.01,2263561.01,-63.85017395
526880.01,2263661.01,-63.780895233
526880.01,2263761.01,-63.684200287
526880.01,2263861.01,-63.544254303
526880.01,2263961.01,-63.348999023
526880.01,2264061.01,-63.090957642
526880.01,2264161.01,-62.768035889
526880.01,2264261.01,-62.384078979
526880.01,2264361.01,-62.350975037
526880.01,2264461.01,-61.860538483
526980.01,2261361.01,-83.414825439
526980.01,2261461.01,-82.273788452
526980.01,2261561.01,-81.015380859
526980.01,2261661.01,-79.653556824
526980.01,2261761.01,-78.206260681
526980.01,2261861.01,-75.966682434
526980.01,2261961.01,-74.449005127
526980.01,2262061.01,-73.030395508
526980.01,2262161.01,-71.540344238
526980.01,2262261.01,-70.049232483
526980.01,2262361.01,-68.793525696
526980.01,2262461.01,-67.673919678
526980.01,2262561.01,-66.688484192
526980.01,2262661.01,-65.850364685
526980.01,2262761.01,-65.164985657
526980.01,2262861.01,-64.630203247
526980.01,2262961.01,-64.237037659
526980.01,2263061.01,-63.970806122
526980.01,2263161.01,-63.812351227
526980.01,2263261.01,-63.739303589
526980.01,2263361.01,-63.464740753
526980.01,2263461.01,-63.450126648
526980.01,2263561.01,-63.446128845
526980.01,2263661.01,-63.42880249
526980.01,2263761.01,-63.376285553
526980.01,2263861.01,-63.269752502
526980.01,2263961.01,-63.094409943
526980.01,2264061.01,-63.221874237
526980.01,2264161.01,-62.870197296
526980.01,2264261.01,-62.439559937
526980.01,2264361.01,-61.940338135
526980.01,2264461.01,-61.390335083
526980.01,2264561.01,-60.813949585
526980.01,2264661.01,-60.240280151
526980.01,2264761.01,-59.550525665
526980.01,2264861.01,-59.105079651
526980.01,2264961.01,-58.747325897
526980.01,2265061.01,-58.492843628
526980.01,2265161.01,-58.34822464
526980.01,2265261.01,-58.311569214
526980.01,2265361.01,-58.374397278
527080.01,2261261.01,-85.192504883
527080.01,2261361.01,-84.105186462
527080.01,2261461.01,-82.878761292
527080.01,2261561.01,-81.3620224
527080.01,2261661.01,-79.903373718
527080.01,2261761.01,-77.66709137
527080.01,2261861.01,-76.068878174
527080.01,2261961.01,-74.525558472
527080.01,2262061.01,-72.890647888
527080.01,2262161.01,-71.286239624
527080.01,2262261.01,-69.748268127
527080.01,2262361.01,-68.360092163
527080.01,2262461.01,-67.155433655
527080.01,2262561.01,-66.105880737
527080.01,2262661.01,-65.226242065
527080.01,2262761.01,-64.521911621
527080.01,2262861.01,-63.989299774
527080.01,2262961.01,-63.616985321
527080.01,2263061.01,-63.387191772
527080.01,2263161.01,-63.387851715
527080.01,2263261.01,-63.060058594
527080.01,2263361.01,-63.076747894
527080.01,2263461.01,-63.130725861
527080.01,2263561.01,-63.193458557
527080.01,2263661.01,-63.237594604
527080.01,2263761.01,-63.23789978
527080.01,2263861.01,-63.506980896
527080.01,2263961.01,-63.344352722
527080.01,2264061.01,-63.08605957
527080.01,2264161.01,-62.725975037
527080.01,2264261.01,-62.265769958
527080.01,2264361.01,-61.715950012
527080.01,2264461.01,-61.096328735
527080.01,2264561.01,-60.435459137
527080.01,2264661.01,-59.768608093
527080.01,2264761.01,-58.994876862
527080.01,2264861.01,-58.457126617
527080.01,2264961.01,-58.018688202
527080.01,2265061.01,-57.69858551
527080.01,2265161.01,-57.503898621
527080.01,2265261.01,-57.430644989
527080.01,2265361.01,-57.466533661
527080.01,2265461.01,-57.594932556
527080.01,2265561.01,-57.798992157
527080.01,2265661.01,-58.065029144
527080.01,2265761.01,-58.842639923
527180.01,2261261.01,-85.784431458
527180.01,2261361.01,-84.635108948
527180.01,2261461.01,-83.336891174
527180.01,2261561.01,-81.899925232
527180.01,2261661.01,-79.755714417
527180.01,2261761.01,-78.104026794
527180.01,2261861.01,-76.36516571
527180.01,2261961.01,-74.685951233
527180.01,2262061.01,-72.91594696
527180.01,2262161.01,-71.179252625
527180.01,2262261.01,-69.436523438
527180.01,2262361.01,-68.003570557
527180.01,2262461.01,-66.686805725
527180.01,2262561.01,-65.576728821
527180.01,2262661.01,-64.661880493
527180.01,2262761.01,-63.947189331
527180.01,2262861.01,-63.426948547
527180.01,2262961.01,-63.167926788
527180.01,2263061.01,-63.000747681
527180.01,2263161.01,-62.705478668
527180.01,2263261.01,-62.729301453
527180.01,2263361.01,-62.82390976
527180.01,2263461.01,-62.957023621
527180.01,2263561.01,-63.096626282
527180.01,2263661.01,-63.211894989
527180.01,2263761.01,-63.548439026
527180.01,2263861.01,-63.520969391
527180.01,2263961.01,-63.394458771
527180.01,2264061.01,-63.152862549
527180.01,2264161.01,-62.787082672
527180.01,2264261.01,-62.296634674
527180.01,2264361.01,-61.691310883
527180.01,2264461.01,-60.992420197
527180.01,2264561.01,-60.23286438
527180.01,2264661.01,-59.455200195
527180.01,2264761.01,-58.578262329
527180.01,2264861.01,-57.932102203
527180.01,2264961.01,-57.397472382
527180.01,2265061.01,-56.999687195
527180.01,2265161.01,-56.746131897
527180.01,2265261.01,-56.629756927
527180.01,2265361.01,-56.633144379
527180.01,2265461.01,-56.733909607
527180.01,2265561.01,-57.235874176
527180.01,2265661.01,-57.495140076
527180.01,2265761.01,-57.805496216
527180.01,2265861.01,-58.164985657
527280.01,2261261.01,-86.402244568
527280.01,2261361.01,-85.197090149
527280.01,2261461.01,-83.833236694
527280.01,2261561.01,-82.320404053
527280.01,2261661.01,-80.153381348
527280.01,2261761.01,-78.386985779
527280.01,2261861.01,-76.567443848
527280.01,2261961.01,-74.763305664
527280.01,2262061.01,-72.875549316
527280.01,2262161.01,-71.021759033
527280.01,2262261.01,-69.251441956
527280.01,2262361.01,-67.702667236
527280.01,2262461.01,-66.329284668
527280.01,2262561.01,-65.144691467
527280.01,2262661.01,-64.159317017
527280.01,2262761.01,-63.444137573
527280.01,2262861.01,-63.013729095
527280.01,2262961.01,-62.731529236
527280.01,2263061.01,-62.421901703
527280.01,2263161.01,-62.419273376
527280.01,2263261.01,-62.526939392
527280.01,2263361.01,-62.709709167
527280.01,2263461.01,-62.93182373
527280.01,2263561.01,-63.385780334
527280.01,2263661.01,-63.570911407
527280.01,2263761.01,-63.694847107
527280.01,2263861.01,-63.728302002
527280.01,2263961.01,-63.646011353
527280.01,2264061.01,-63.42805481
527280.01,2264161.01,-63.061534882
527280.01,2264261.01,-62.542663574
527280.01,2264361.01,-61.879199982
527280.01,2264461.01,-61.092830658
527280.01,2264561.01,-60.220489502
527280.01,2264661.01,-59.313095093
527280.01,2264761.01,-58.315776825
527280.01,2264861.01,-57.537059784
527280.01,2264961.01,-56.890686035
527280.01,2265061.01,-56.328052521
527280.01,2265161.01,-56.017002106
527280.01,2265261.01,-55.863620758
527280.01,2265361.01,-56.098491669
527280.01,2265461.01,-56.180141449
527280.01,2265561.01,-56.336154938
527280.01,2265661.01,-56.547595978
527280.01,2265761.01,-56.471973419
527280.01,2265861.01,-56.759590149
527380.01,2261161.01,-85.073127747
527380.01,2261261.01,-85.423492432
527380.01,2261361.01,-85.490936279
527380.01,2261461.01,-84.356170654
527380.01,2261561.01,-82.307441711
527380.01,2261661.01,-80.569763184
527380.01,2261761.01,-78.742622375
527380.01,2261861.01,-76.883407593
527380.01,2261961.01,-74.89755249
527380.01,2262061.01,-72.893058777
527380.01,2262161.01,-70.847457886
527380.01,2262261.01,-69.045402527
527380.01,2262361.01,-67.392173767
527380.01,2262461.01,-65.940170288
527380.01,2262561.01,-64.726615906
527380.01,2262661.01,-63.782615662
527380.01,2262761.01,-63.092525482
527380.01,2262861.01,-62.621803284
527380.01,2262961.01,-62.243255615
527380.01,2263061.01,-62.171913147
527380.01,2263161.01,-62.255386353
527380.01,2263261.01,-62.311027527
527380.01,2263361.01,-62.571582794
527380.01,2263461.01,-63.049133301
527380.01,2263561.01,-63.3515625
527380.01,2263661.01,-63.625026703
527380.01,2263761.01,-63.833660126
527380.01,2263861.01,-63.944126129
527380.01,2263961.01,-64.098503113
527380.01,2264061.01,-63.912879944
527380.01,2264161.01,-63.553249359
527380.01,2264261.01,-63.011211395
527380.01,2264361.01,-62.290660858
527380.01,2264461.01,-61.411647797
527380.01,2264561.01,-60.413871765
527380.01,2264661.01,-59.274570465
527380.01,2264761.01,-58.138893127
527380.01,2264861.01,-57.21182251
527380.01,2264961.01,-56.443164825
527380.01,2265061.01,-55.856639862
527380.01,2265161.01,-55.464424133
527380.01,2265261.01,-55.441837311
527380.01,2265361.01,-55.368309021
527380.01,2265461.01,-55.399921417
527380.01,2265561.01,-55.429489136
527380.01,2265661.01,-55.432170868
527380.01,2265761.01,-55.614253998
527380.01,2265861.01,-55.841152191
527380.01,2265961.01,-56.121250153
527480.01,2261161.01,-83.444496155
527480.01,2261261.01,-84.674026489
527480.01,2261361.01,-84.624969482
527480.01,2261461.01,-83.876525879
527480.01,2261561.01,-82.844116211
527480.01,2261661.01,-81.042816162
527480.01,2261761.01,-79.135375977
527480.01,2261861.01,-77.173080444
527480.01,2261961.01,-75.083877563
527480.01,2262061.01,-72.966148376
527480.01,2262161.01,-70.815811157
527480.01,2262261.01,-68.890632629
527480.01,2262361.01,-67.132553101
527480.01,2262461.01,-65.605484009
527480.01,2262561.01,-64.452507019
527480.01,2262661.01,-63.461078644
527480.01,2262761.01,-62.769454956
527480.01,2262861.01,-62.198711395
527480.01,2262961.01,-61.971851349
527480.01,2263061.01,-61.951965332
527480.01,2263161.01,-62.071739197
527480.01,2263261.01,-62.480857849
527480.01,2263361.01,-62.835472107
527480.01,2263461.01,-63.237781525
527480.01,2263561.01,-63.646465302
527480.01,2263661.01,-64.021034241
527480.01,2263761.01,-64.322494507
527480.01,2263861.01,-64.514060974
527480.01,2263961.01,-64.562034607
527480.01,2264061.01,-64.436958313
527480.01,2264161.01,-64.115226746
527480.01,2264261.01,-63.581501007
527480.01,2264361.01,-62.725975037
527480.01,2264461.01,-61.779003143
527480.01,2264561.01,-60.669750214
527480.01,2264661.01,-59.545505524
527480.01,2264761.01,-58.24224472
527480.01,2264861.01,-57.136268616
527480.01,2264961.01,-56.209568024
527480.01,2265061.01,-55.647937775
527480.01,2265161.01,-55.159931183
527480.01,2265261.01,-54.867019653
527480.01,2265361.01,-54.621284485
527480.01,2265461.01,-54.623256683
527480.01,2265561.01,-54.603553772
527480.01,2265661.01,-54.674716949
527480.01,2265761.01,-54.782623291
527480.01,2265861.01,-54.937969208
527480.01,2265961.01,-55.153179169
527580.01,2261161.01,-82.236038208
527580.01,2261261.01,-83.72795105
527580.01,2261361.01,-83.765769958
527580.01,2261461.01,-83.146690369
527580.01,2261561.01,-82.653129578
527580.01,2261661.01,-81.527458191
527580.01,2261761.01,-79.594284058
527580.01,2261861.01,-77.496948242
527580.01,2261961.01,-75.314674377
527580.01,2262061.01,-73.091178894
527580.01,2262161.01,-70.952423096
527580.01,2262261.01,-68.884155273
527580.01,2262361.01,-67.000144958
527580.01,2262461.01,-65.413925171
527580.01,2262561.01,-64.118415833
527580.01,2262661.01,-63.151191711
527580.01,2262761.01,-62.380714417
527580.01,2262861.01,-61.979640961
527580.01,2262961.01,-61.836620331
527580.01,2263061.01,-61.912555695
527580.01,2263161.01,-62.254135132
527580.01,2263261.01,-62.63060379
527580.01,2263361.01,-63.063755035
527580.01,2263461.01,-63.578960419
527580.01,2263561.01,-64.098526001
527580.01,2263661.01,-64.579338074
527580.01,2263761.01,-64.979606628
527580.01,2263861.01,-65.259460449
527580.01,2263961.01,-65.381706238
527580.01,2264061.01,-65.312721252
527580.01,2264161.01,-64.952087402
527580.01,2264261.01,-64.422210693
527580.01,2264361.01,-63.639034271
527580.01,2264461.01,-62.608112335
527580.01,2264561.01,-61.362377167
527580.01,2264661.01,-59.974617004
527580.01,2264761.01,-58.506694794
527580.01,2264861.01,-57.208759308
527580.01,2264961.01,-56.222564697
527580.01,2265061.01,-55.392845154
527580.01,2265161.01,-54.688148499
527580.01,2265261.01,-54.347457886
527580.01,2265361.01,-54.14068222
527580.01,2265461.01,-54.028144836
527580.01,2265561.01,-53.972724915
527580.01,2265661.01,-53.944263458
527580.01,2265761.01,-53.951217651
527580.01,2265861.01,-54.010643005
527580.01,2265961.01,-54.137802124
527580.01,2266061.01,-54.408946991
527680.01,2261061.01,-81.448150635
527680.01,2261161.01,-81.69744873
527680.01,2261261.01,-82.440879822
527680.01,2261361.01,-82.243873596
527680.01,2261461.01,-82.497817993
527680.01,2261561.01,-82.494590759
527680.01,2261661.01,-82.002372742
527680.01,2261761.01,-80.002067566
527680.01,2261861.01,-77.967521667
527680.01,2261961.01,-75.694519043
527680.01,2262061.01,-73.276199341
527680.01,2262161.01,-70.997718811
527680.01,2262261.01,-68.810043335
527680.01,2262361.01,-66.84576416
527680.01,2262461.01,-65.1772995
527680.01,2262561.01,-63.867843628
527680.01,2262661.01,-62.855941772
527680.01,2262761.01,-62.223686218
527680.01,2262861.01,-61.883506775
527680.01,2262961.01,-61.829967499
527680.01,2263061.01,-62.05022049
527680.01,2263161.01,-62.400474548
527680.01,2263261.01,-62.890594482
527680.01,2263361.01,-63.474235535
527680.01,2263461.01,-64.104896545
527680.01,2263561.01,-64.696426392
527680.01,2263661.01,-65.28591156
527680.01,2263761.01,-65.788375854
527680.01,2263861.01,-66.161300659
527680.01,2263961.01,-66.328201294
527680.01,2264061.01,-66.324226379
527680.01,2264161.01,-66.079849243
527680.01,2264261.01,-65.567359924
