"X","Y","H04_Cenom (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,19.769557953
526680.01,2261461.01,-9999
526680.01,2261561.01,19.255687714
526680.01,2261661.01,19.018920898
526680.01,2261761.01,19.457210541
526680.01,2261861.01,19.548694611
526680.01,2261961.01,19.548694611
526680.01,2262061.01,-9999
526680.01,2262161.01,47.999164581
526680.01,2262261.01,-9999
526680.01,2262361.01,51.041461945
526680.01,2262461.01,52.482830048
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,20.143878937
526780.01,2261661.01,19.301036835
526780.01,2261761.01,19.301036835
526780.01,2261861.01,45.143772125
526780.01,2261961.01,46.098819733
526780.01,2262061.01,46.593597412
526780.01,2262161.01,48.864303589
526780.01,2262261.01,50.473426819
526780.01,2262361.01,51.825500488
526780.01,2262461.01,52.99779129
526780.01,2262561.01,53.997177124
526780.01,2262661.01,55.99798584
526780.01,2262761.01,59.499103546
526780.01,2262861.01,53.028167725
526780.01,2262961.01,56.206424713
526780.01,2263061.01,60.514793396
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,26.91192627
526880.01,2261561.01,22.24539566
526880.01,2261661.01,19.722457886
526880.01,2261761.01,44.267280579
526880.01,2261861.01,46.098819733
526880.01,2261961.01,46.944381714
526880.01,2262061.01,48.87677002
526880.01,2262161.01,53.264785767
526880.01,2262261.01,55.456298828
526880.01,2262361.01,56.21434021
526880.01,2262461.01,56.177185059
526880.01,2262561.01,57.81754303
526880.01,2262661.01,57.902805328
526880.01,2262761.01,57.902805328
526880.01,2262861.01,59.736412048
526880.01,2262961.01,55.702178955
526880.01,2263061.01,60.967144012
526880.01,2263161.01,61.980911255
526880.01,2263261.01,61.470752716
526880.01,2263361.01,62.47877121
526880.01,2263461.01,61.68510437
526880.01,2263561.01,62.930770874
526880.01,2263661.01,64.848907471
526880.01,2263761.01,66.081199646
526880.01,2263861.01,71.809501648
526880.01,2263961.01,74.039733887
526880.01,2264061.01,74.037620544
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,28.6283741
526980.01,2261561.01,29.614700317
526980.01,2261661.01,23.360435486
526980.01,2261761.01,19.988279343
526980.01,2261861.01,45.010616302
526980.01,2261961.01,47.110305786
526980.01,2262061.01,48.557201385
526980.01,2262161.01,49.610542297
526980.01,2262261.01,50.620414734
526980.01,2262361.01,52.599159241
526980.01,2262461.01,54.352939606
526980.01,2262561.01,47.865615845
526980.01,2262661.01,57.902805328
526980.01,2262761.01,57.902805328
526980.01,2262861.01,57.902805328
526980.01,2262961.01,51.917877197
526980.01,2263061.01,61.001823425
526980.01,2263161.01,61.800411224
526980.01,2263261.01,63.137687683
526980.01,2263361.01,63.30682373
526980.01,2263461.01,64.635604858
526980.01,2263561.01,61.175815582
526980.01,2263661.01,68.207351685
526980.01,2263761.01,69.545333862
526980.01,2263861.01,70.734725952
526980.01,2263961.01,73.750846863
526980.01,2264061.01,73.549285889
526980.01,2264161.01,72.846717834
526980.01,2264261.01,65.985801697
526980.01,2264361.01,61.015087128
526980.01,2264461.01,63.094703674
526980.01,2264561.01,66.608383179
526980.01,2264661.01,69.976257324
526980.01,2264761.01,73.025169373
526980.01,2264861.01,75.205047607
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,27.631118774
527080.01,2261461.01,29.447177887
527080.01,2261561.01,30.506269455
527080.01,2261661.01,33.797702789
527080.01,2261761.01,35.086360931
527080.01,2261861.01,41.972644806
527080.01,2261961.01,44.436306
527080.01,2262061.01,47.29719162
527080.01,2262161.01,48.308933258
527080.01,2262261.01,50.613048553
527080.01,2262361.01,52.063415527
527080.01,2262461.01,53.673976898
527080.01,2262561.01,48.462444305
527080.01,2262661.01,56.386436462
527080.01,2262761.01,57.509140015
527080.01,2262861.01,57.509140015
527080.01,2262961.01,59.736412048
527080.01,2263061.01,61.292884827
527080.01,2263161.01,50.943141937
527080.01,2263261.01,63.604045868
527080.01,2263361.01,64.927375793
527080.01,2263461.01,66.288948059
527080.01,2263561.01,71.788024902
527080.01,2263661.01,72.829284668
527080.01,2263761.01,73.734817505
527080.01,2263861.01,73.297103882
527080.01,2263961.01,73.624710083
527080.01,2264061.01,73.736190796
527080.01,2264161.01,73.687576294
527080.01,2264261.01,70.612945557
527080.01,2264361.01,60.635932922
527080.01,2264461.01,63.139762878
527080.01,2264561.01,66.774467468
527080.01,2264661.01,70.682807922
527080.01,2264761.01,73.262733459
527080.01,2264861.01,76.178031921
527080.01,2264961.01,78.351554871
527080.01,2265061.01,79.152275085
527080.01,2265161.01,79.579917908
527080.01,2265261.01,79.03578186
527080.01,2265361.01,78.45010376
527080.01,2265461.01,77.526313782
527080.01,2265561.01,76.459709167
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,27.695541382
527180.01,2261461.01,28.991083145
527180.01,2261561.01,30.276195526
527180.01,2261661.01,33.302963257
527180.01,2261761.01,39.986652374
527180.01,2261861.01,42.206508636
527180.01,2261961.01,44.115100861
527180.01,2262061.01,46.098819733
527180.01,2262161.01,46.431056976
527180.01,2262261.01,48.87677002
527180.01,2262361.01,50.387897491
527180.01,2262461.01,49.590751648
527180.01,2262561.01,51.066287994
527180.01,2262661.01,50.782455444
527180.01,2262761.01,56.356861115
527180.01,2262861.01,57.902805328
527180.01,2262961.01,56.873893738
527180.01,2263061.01,60.299442291
527180.01,2263161.01,51.191513062
527180.01,2263261.01,50.943141937
527180.01,2263361.01,42.855209351
527180.01,2263461.01,42.44701767
527180.01,2263561.01,41.779602051
527180.01,2263661.01,49.458408356
527180.01,2263761.01,65.868919373
527180.01,2263861.01,73.734817505
527180.01,2263961.01,73.734817505
527180.01,2264061.01,73.734817505
527180.01,2264161.01,73.734817505
527180.01,2264261.01,72.867172241
527180.01,2264361.01,69.315361023
527180.01,2264461.01,64.276191711
527180.01,2264561.01,68.948875427
527180.01,2264661.01,73.130409241
527180.01,2264761.01,75.339195251
527180.01,2264861.01,77.603485107
527180.01,2264961.01,79.061897278
