"X","Y","H10_Portl (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,128.121398926
526680.01,2261461.01,-9999
526680.01,2261561.01,128.195144653
526680.01,2261661.01,128.225692749
526680.01,2261761.01,128.490158081
526680.01,2261861.01,130.094711304
526680.01,2261961.01,130.17124939
526680.01,2262061.01,132.020828247
526680.01,2262161.01,132.411468506
526680.01,2262261.01,132.833602905
526680.01,2262361.01,132.839813232
526680.01,2262461.01,132.999252319
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,128.342651367
526780.01,2261661.01,128.342651367
526780.01,2261761.01,128.330001831
526780.01,2261861.01,129.407913208
526780.01,2261961.01,129.79524231
526780.01,2262061.01,130.421981812
526780.01,2262161.01,131.802871704
526780.01,2262261.01,132.138839722
526780.01,2262361.01,132.623794556
526780.01,2262461.01,132.849258423
526780.01,2262561.01,132.92010498
526780.01,2262661.01,138.883590698
526780.01,2262761.01,141.80015564
526780.01,2262861.01,143.659942627
526780.01,2262961.01,143.603881836
526780.01,2263061.01,143.603881836
526780.01,2263161.01,143.86567688
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,149.930679321
526880.01,2261561.01,153.514556885
526880.01,2261661.01,128.342651367
526880.01,2261761.01,128.342651367
526880.01,2261861.01,128.342651367
526880.01,2261961.01,129.048446655
526880.01,2262061.01,130.085784912
526880.01,2262161.01,130.778137207
526880.01,2262261.01,131.42515564
526880.01,2262361.01,132.275039673
526880.01,2262461.01,134.631347656
526880.01,2262561.01,135.759353638
526880.01,2262661.01,136.813247681
526880.01,2262761.01,138.838043213
526880.01,2262861.01,141.536514282
526880.01,2262961.01,143.462921143
526880.01,2263061.01,143.556640625
526880.01,2263161.01,143.442230225
526880.01,2263261.01,143.467071533
526880.01,2263361.01,143.602539063
526880.01,2263461.01,145.054779053
526880.01,2263561.01,143.33366394
526880.01,2263661.01,146.467102051
526880.01,2263761.01,149.393081665
526880.01,2263861.01,153.858184814
526880.01,2263961.01,155.026123047
526880.01,2264061.01,157.021942139
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,146.401992798
526980.01,2261561.01,151.722427368
526980.01,2261661.01,128.342651367
526980.01,2261761.01,159.943969727
526980.01,2261861.01,160.1902771
526980.01,2261961.01,160.372116089
526980.01,2262061.01,143.899749756
526980.01,2262161.01,130.884170532
526980.01,2262261.01,165.448699951
526980.01,2262361.01,167.772155762
526980.01,2262461.01,168.908203125
526980.01,2262561.01,169.348510742
526980.01,2262661.01,170.449691772
526980.01,2262761.01,148.100692749
526980.01,2262861.01,148.988922119
526980.01,2262961.01,139.345291138
526980.01,2263061.01,143.133117676
526980.01,2263161.01,143.094284058
526980.01,2263261.01,143.146133423
526980.01,2263361.01,142.671508789
526980.01,2263461.01,143.232788086
526980.01,2263561.01,143.352264404
526980.01,2263661.01,143.930847168
526980.01,2263761.01,149.947250366
526980.01,2263861.01,154.160079956
526980.01,2263961.01,154.159545898
526980.01,2264061.01,157.128662109
526980.01,2264161.01,158.999237061
526980.01,2264261.01,162.899276733
526980.01,2264361.01,165.620223999
526980.01,2264461.01,170.585601807
526980.01,2264561.01,179.016174316
526980.01,2264661.01,182.401687622
526980.01,2264761.01,184.165939331
526980.01,2264861.01,184.94619751
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,143.698318481
527080.01,2261561.01,149.030532837
527080.01,2261661.01,152.932998657
527080.01,2261761.01,157.45274353
527080.01,2261861.01,158.626083374
527080.01,2261961.01,160.89151001
527080.01,2262061.01,162.596130371
527080.01,2262161.01,163.754577637
527080.01,2262261.01,165.521408081
527080.01,2262361.01,167.149887085
527080.01,2262461.01,168.908203125
527080.01,2262561.01,169.003799438
527080.01,2262661.01,170.075866699
527080.01,2262761.01,170.449691772
527080.01,2262861.01,170.449691772
527080.01,2262961.01,170.449691772
527080.01,2263061.01,143.087997437
527080.01,2263161.01,143.087997437
527080.01,2263261.01,143.087997437
527080.01,2263361.01,142.473083496
527080.01,2263461.01,142.431060791
527080.01,2263561.01,143.522262573
527080.01,2263661.01,143.212814331
527080.01,2263761.01,143.652557373
527080.01,2263861.01,146.965667725
527080.01,2263961.01,148.968734741
527080.01,2264061.01,151.394134521
527080.01,2264161.01,154.324645996
527080.01,2264261.01,159.662139893
527080.01,2264361.01,165.824050903
527080.01,2264461.01,171.53868103
527080.01,2264561.01,177.315612793
527080.01,2264661.01,181.702957153
527080.01,2264761.01,183.583312988
527080.01,2264861.01,185.016296387
527080.01,2264961.01,186.747146606
527080.01,2265061.01,188.906555176
527080.01,2265161.01,191.462997437
527080.01,2265261.01,193.443145752
527080.01,2265361.01,193.938446045
527080.01,2265461.01,196.148162842
527080.01,2265561.01,196.919937134
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,142.329071045
527180.01,2261461.01,144.337875366
527180.01,2261561.01,146.562438965
527180.01,2261661.01,149.899765015
527180.01,2261761.01,156.963607788
527180.01,2261861.01,160.047286987
527180.01,2261961.01,160.139358521
527180.01,2262061.01,161.295654297
527180.01,2262161.01,161.555419922
527180.01,2262261.01,162.740737915
527180.01,2262361.01,162.338287354
527180.01,2262461.01,162.50668335
527180.01,2262561.01,168.908203125
527180.01,2262661.01,169.115768433
527180.01,2262761.01,169.309280396
527180.01,2262861.01,169.856506348
527180.01,2262961.01,170.449691772
527180.01,2263061.01,169.894317627
527180.01,2263161.01,169.031494141
527180.01,2263261.01,168.076263428
527180.01,2263361.01,143.30519104
527180.01,2263461.01,143.30519104
527180.01,2263561.01,143.30519104
527180.01,2263661.01,143.480575562
527180.01,2263761.01,143.480575562
527180.01,2263861.01,144.610900879
527180.01,2263961.01,162.51121521
527180.01,2264061.01,149.895767212
527180.01,2264161.01,153.223876953
527180.01,2264261.01,163.500045776
527180.01,2264361.01,167.347473145
527180.01,2264461.01,170.637298584
527180.01,2264561.01,175.375320435
527180.01,2264661.01,181.197387695
527180.01,2264761.01,183.734039307
527180.01,2264861.01,185.984313965
527180.01,2264961.01,188.653640747
