"X","Y","H20_Kimm (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,211.371307373
526680.01,2261461.01,-9999
526680.01,2261561.01,210.944580078
526680.01,2261661.01,210.721191406
526680.01,2261761.01,208.883453369
526680.01,2261861.01,209.481613159
526680.01,2261961.01,211.733108521
526680.01,2262061.01,217.730331421
526680.01,2262161.01,219.763626099
526680.01,2262261.01,221.686309814
526680.01,2262361.01,223.262573242
526680.01,2262461.01,222.333953857
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,209.243377686
526780.01,2261661.01,209.243377686
526780.01,2261761.01,209.578536987
526780.01,2261861.01,208.669570923
526780.01,2261961.01,210.239883423
526780.01,2262061.01,215.406799316
526780.01,2262161.01,219.17124939
526780.01,2262261.01,219.889083862
526780.01,2262361.01,222.925720215
526780.01,2262461.01,222.515655518
526780.01,2262561.01,222.43006897
526780.01,2262661.01,222.831390381
526780.01,2262761.01,224.553649902
526780.01,2262861.01,224.553649902
526780.01,2262961.01,225.441589355
526780.01,2263061.01,226.051589966
526780.01,2263161.01,229.652999878
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,233.219116211
526880.01,2261561.01,209.104705811
526880.01,2261661.01,209.104705811
526880.01,2261761.01,209.104705811
526880.01,2261861.01,209.104705811
526880.01,2261961.01,209.104705811
526880.01,2262061.01,210.364135742
526880.01,2262161.01,213.079193115
526880.01,2262261.01,215.450195313
526880.01,2262361.01,218.586242676
526880.01,2262461.01,220.724746704
526880.01,2262561.01,222.088302612
526880.01,2262661.01,222.831390381
526880.01,2262761.01,223.017730713
526880.01,2262861.01,223.017730713
526880.01,2262961.01,224.553649902
526880.01,2263061.01,226.321014404
526880.01,2263161.01,227.855377197
526880.01,2263261.01,230.627349854
526880.01,2263361.01,234.586761475
526880.01,2263461.01,237.84413147
526880.01,2263561.01,237.360794067
526880.01,2263661.01,237.317153931
526880.01,2263761.01,239.955810547
526880.01,2263861.01,246.090103149
526880.01,2263961.01,247.577758789
526880.01,2264061.01,252.117248535
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,233.565612793
526980.01,2261561.01,236.437026978
526980.01,2261661.01,240.557617188
526980.01,2261761.01,244.264266968
526980.01,2261861.01,247.054153442
526980.01,2261961.01,209.104705811
526980.01,2262061.01,209.10736084
526980.01,2262161.01,212.888565063
526980.01,2262261.01,250.066345215
526980.01,2262361.01,240.352722168
526980.01,2262461.01,222.831390381
526980.01,2262561.01,250.733795166
526980.01,2262661.01,250.856658936
526980.01,2262761.01,219.850280762
526980.01,2262861.01,222.831390381
526980.01,2262961.01,226.089584351
526980.01,2263061.01,226.618804932
526980.01,2263161.01,227.360122681
526980.01,2263261.01,228.821090698
526980.01,2263361.01,232.089889526
526980.01,2263461.01,233.664474487
526980.01,2263561.01,234.235046387
526980.01,2263661.01,236.24798584
526980.01,2263761.01,240.892303467
526980.01,2263861.01,243.230407715
526980.01,2263961.01,246.378295898
526980.01,2264061.01,253.281188965
526980.01,2264161.01,256.768096924
526980.01,2264261.01,258.102600098
526980.01,2264361.01,263.317718506
526980.01,2264461.01,273.875183105
526980.01,2264561.01,284.356842041
526980.01,2264661.01,290.434661865
526980.01,2264761.01,291.25177002
526980.01,2264861.01,292.286834717
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,233.447311401
527080.01,2261561.01,234.594467163
527080.01,2261661.01,239.290939331
527080.01,2261761.01,245.348052979
527080.01,2261861.01,246.841201782
527080.01,2261961.01,249.343536377
527080.01,2262061.01,250.018371582
527080.01,2262161.01,250.066345215
527080.01,2262261.01,250.066345215
527080.01,2262361.01,250.066345215
527080.01,2262461.01,250.066345215
527080.01,2262561.01,250.386169434
527080.01,2262661.01,251.703094482
527080.01,2262761.01,252.382415771
527080.01,2262861.01,252.813140869
527080.01,2262961.01,233.429428101
527080.01,2263061.01,226.089584351
527080.01,2263161.01,226.471099854
527080.01,2263261.01,227.339584351
527080.01,2263361.01,229.377059937
527080.01,2263461.01,230.637557983
527080.01,2263561.01,233.936767578
527080.01,2263661.01,234.496185303
527080.01,2263761.01,235.043579102
527080.01,2263861.01,238.017456055
527080.01,2263961.01,241.18737793
527080.01,2264061.01,243.607940674
527080.01,2264161.01,249.867218018
527080.01,2264261.01,258.810760498
527080.01,2264361.01,267.813049316
527080.01,2264461.01,274.622192383
527080.01,2264561.01,284.321746826
527080.01,2264661.01,290.201507568
527080.01,2264761.01,291.415588379
527080.01,2264861.01,293.054962158
527080.01,2264961.01,296.025360107
527080.01,2265061.01,297.529510498
527080.01,2265161.01,297.644622803
527080.01,2265261.01,292.3046875
527080.01,2265361.01,289.806427002
527080.01,2265461.01,292.244934082
527080.01,2265561.01,292.983337402
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,234.322891235
527180.01,2261461.01,231.56036377
527180.01,2261561.01,231.05355835
527180.01,2261661.01,235.111724854
527180.01,2261761.01,238.434234619
527180.01,2261861.01,240.618881226
527180.01,2261961.01,244.483657837
527180.01,2262061.01,249.435028076
527180.01,2262161.01,249.479248047
527180.01,2262261.01,250.5703125
527180.01,2262361.01,249.531906128
527180.01,2262461.01,249.218826294
527180.01,2262561.01,249.285995483
527180.01,2262661.01,247.670608521
527180.01,2262761.01,251.209121704
527180.01,2262861.01,252.666809082
527180.01,2262961.01,253.155349731
527180.01,2263061.01,254.047683716
527180.01,2263161.01,254.047683716
527180.01,2263261.01,227.989868164
527180.01,2263361.01,232.27772522
527180.01,2263461.01,232.27772522
527180.01,2263561.01,233.532791138
527180.01,2263661.01,234.259307861
527180.01,2263761.01,234.497512817
527180.01,2263861.01,235.656143188
527180.01,2263961.01,238.351928711
527180.01,2264061.01,241.699310303
527180.01,2264161.01,245.2684021
527180.01,2264261.01,258.07333374
527180.01,2264361.01,267.784454346
527180.01,2264461.01,274.291595459
527180.01,2264561.01,283.414367676
527180.01,2264661.01,289.448852539
527180.01,2264761.01,292.222076416
527180.01,2264861.01,294.697906494
527180.01,2264961.01,297.547210693
