"X","Y","H30_Lusit (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,346.628234863
526680.01,2261461.01,-9999
526680.01,2261561.01,348.237884521
526680.01,2261661.01,347.216094971
526680.01,2261761.01,347.330871582
526680.01,2261861.01,350.891143799
526680.01,2261961.01,352.318054199
526680.01,2262061.01,357.005584717
526680.01,2262161.01,361.494110107
526680.01,2262261.01,364.493225098
526680.01,2262361.01,366.167572021
526680.01,2262461.01,358.893005371
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,350.267669678
526780.01,2261661.01,348.490112305
526780.01,2261761.01,348.084625244
526780.01,2261861.01,350.587982178
526780.01,2261961.01,351.53793335
526780.01,2262061.01,356.033416748
526780.01,2262161.01,361.093902588
526780.01,2262261.01,363.378448486
526780.01,2262361.01,365.888336182
526780.01,2262461.01,357.953186035
526780.01,2262561.01,357.409362793
526780.01,2262661.01,358.692321777
526780.01,2262761.01,359.559417725
526780.01,2262861.01,359.841308594
526780.01,2262961.01,363.1484375
526780.01,2263061.01,365.986419678
526780.01,2263161.01,374.512756348
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,349.274749756
526880.01,2261561.01,349.274749756
526880.01,2261661.01,347.778045654
526880.01,2261761.01,347.444061279
526880.01,2261861.01,348.729187012
526880.01,2261961.01,349.7605896
526880.01,2262061.01,351.356628418
526880.01,2262161.01,356.595275879
526880.01,2262261.01,357.494628906
526880.01,2262361.01,360.574371338
526880.01,2262461.01,358.923828125
526880.01,2262561.01,357.713684082
526880.01,2262661.01,358.210174561
526880.01,2262761.01,359.305664063
526880.01,2262861.01,359.427246094
526880.01,2262961.01,362.759765625
526880.01,2263061.01,366.496887207
526880.01,2263161.01,369.92880249
526880.01,2263261.01,375.537445068
526880.01,2263361.01,380.783111572
526880.01,2263461.01,383.698486328
526880.01,2263561.01,383.999481201
526880.01,2263661.01,384.817077637
526880.01,2263761.01,388.262451172
526880.01,2263861.01,392.953521729
526880.01,2263961.01,397.104553223
526880.01,2264061.01,396.909362793
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,380.427246094
526980.01,2261561.01,381.510345459
526980.01,2261661.01,347.544433594
526980.01,2261761.01,347.544433594
526980.01,2261861.01,347.544433594
526980.01,2261961.01,348.316314697
526980.01,2262061.01,349.959747314
526980.01,2262161.01,352.540496826
526980.01,2262261.01,356.459075928
526980.01,2262361.01,357.925445557
526980.01,2262461.01,357.925445557
526980.01,2262561.01,357.925445557
526980.01,2262661.01,357.925445557
526980.01,2262761.01,358.284942627
526980.01,2262861.01,358.502105713
526980.01,2262961.01,360.318023682
526980.01,2263061.01,366.625488281
526980.01,2263161.01,367.400665283
526980.01,2263261.01,372.734832764
526980.01,2263361.01,377.498687744
526980.01,2263461.01,379.589324951
526980.01,2263561.01,380.283416748
526980.01,2263661.01,382.48223877
526980.01,2263761.01,388.268463135
526980.01,2263861.01,390.549346924
526980.01,2263961.01,394.959472656
526980.01,2264061.01,395.890686035
526980.01,2264161.01,396.92578125
526980.01,2264261.01,403.79397583
526980.01,2264361.01,411.491149902
526980.01,2264461.01,414.173126221
526980.01,2264561.01,424.512390137
526980.01,2264661.01,436.330993652
526980.01,2264761.01,446.36239624
526980.01,2264861.01,455.206542969
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,381.552246094
527080.01,2261561.01,383.713562012
527080.01,2261661.01,387.642364502
527080.01,2261761.01,390.987854004
527080.01,2261861.01,392.349884033
527080.01,2261961.01,393.020507813
527080.01,2262061.01,393.371582031
527080.01,2262161.01,393.371582031
527080.01,2262261.01,393.371582031
527080.01,2262361.01,394.583282471
527080.01,2262461.01,379.157318115
527080.01,2262561.01,395.750610352
527080.01,2262661.01,395.750610352
527080.01,2262761.01,358.022674561
527080.01,2262861.01,359.333862305
527080.01,2262961.01,360.058410645
527080.01,2263061.01,362.197937012
527080.01,2263161.01,363.793518066
527080.01,2263261.01,370.469787598
527080.01,2263361.01,372.394989014
527080.01,2263461.01,373.411315918
527080.01,2263561.01,376.160888672
527080.01,2263661.01,377.618835449
527080.01,2263761.01,378.760803223
527080.01,2263861.01,383.564117432
527080.01,2263961.01,385.49987793
527080.01,2264061.01,388.094024658
527080.01,2264161.01,396.920196533
527080.01,2264261.01,405.438079834
527080.01,2264361.01,412.345703125
527080.01,2264461.01,415.595703125
527080.01,2264561.01,423.301818848
527080.01,2264661.01,435.764648438
527080.01,2264761.01,444.438690186
527080.01,2264861.01,455.662780762
527080.01,2264961.01,458.191314697
527080.01,2265061.01,451.274353027
527080.01,2265161.01,436.713012695
527080.01,2265261.01,431.34677124
527080.01,2265361.01,431.218322754
527080.01,2265461.01,429.443023682
527080.01,2265561.01,429.665039063
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,379.92678833
527180.01,2261461.01,381.083129883
527180.01,2261561.01,383.521881104
527180.01,2261661.01,385.771026611
527180.01,2261761.01,388.256622314
527180.01,2261861.01,389.203155518
527180.01,2261961.01,392.713470459
527180.01,2262061.01,393.166168213
527180.01,2262161.01,393.181427002
527180.01,2262261.01,393.287261963
527180.01,2262361.01,394.362731934
527180.01,2262461.01,394.833557129
527180.01,2262561.01,395.601989746
527180.01,2262661.01,395.750610352
527180.01,2262761.01,395.750610352
527180.01,2262861.01,395.750610352
527180.01,2262961.01,361.38973999
527180.01,2263061.01,364.163574219
527180.01,2263161.01,364.654388428
527180.01,2263261.01,367.674072266
527180.01,2263361.01,373.372802734
527180.01,2263461.01,374.078125
527180.01,2263561.01,374.795501709
527180.01,2263661.01,375.648834229
527180.01,2263761.01,375.95526123
527180.01,2263861.01,378.208557129
527180.01,2263961.01,381.582702637
527180.01,2264061.01,383.133453369
527180.01,2264161.01,395.788604736
527180.01,2264261.01,405.179840088
527180.01,2264361.01,410.33291626
527180.01,2264461.01,418.014373779
527180.01,2264561.01,423.911407471
527180.01,2264661.01,433.290374756
527180.01,2264761.01,438.722015381
527180.01,2264861.01,444.996795654
527180.01,2264961.01,441.684417725
