"X","Y","H40_Batho (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,749.185058594
526680.01,2261461.01,-9999
526680.01,2261561.01,747.651245117
526680.01,2261661.01,747.383178711
526680.01,2261761.01,744.57232666
526680.01,2261861.01,743.847900391
526680.01,2261961.01,744.000793457
526680.01,2262061.01,-9999
526680.01,2262161.01,740.374145508
526680.01,2262261.01,-9999
526680.01,2262361.01,739.958312988
526680.01,2262461.01,744.821777344
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,742.82019043
526780.01,2261661.01,742.280456543
526780.01,2261761.01,741.144287109
526780.01,2261861.01,740.963806152
526780.01,2261961.01,741.416381836
526780.01,2262061.01,742.364440918
526780.01,2262161.01,739.906433105
526780.01,2262261.01,739.439697266
526780.01,2262361.01,739.538330078
526780.01,2262461.01,744.430297852
526780.01,2262561.01,743.704162598
526780.01,2262661.01,744.081237793
526780.01,2262761.01,750.28137207
526780.01,2262861.01,753.265075684
526780.01,2262961.01,756.419921875
526780.01,2263061.01,759.996276855
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,737.565185547
526880.01,2261661.01,738.653381348
526880.01,2261761.01,740.706726074
526880.01,2261861.01,741.687866211
526880.01,2261961.01,740.992431641
526880.01,2262061.01,740.199951172
526880.01,2262161.01,736.016174316
526880.01,2262261.01,735.492248535
526880.01,2262361.01,738.0390625
526880.01,2262461.01,741.104614258
526880.01,2262561.01,740.436096191
526880.01,2262661.01,742.362182617
526880.01,2262761.01,747.471008301
526880.01,2262861.01,750.264648438
526880.01,2262961.01,753.569519043
526880.01,2263061.01,759.54675293
526880.01,2263161.01,759.918518066
526880.01,2263261.01,764.576171875
526880.01,2263361.01,765.702453613
526880.01,2263461.01,765.856994629
526880.01,2263561.01,767.733093262
526880.01,2263661.01,771.761230469
526880.01,2263761.01,773.951049805
526880.01,2263861.01,775.663635254
526880.01,2263961.01,778.836364746
526880.01,2264061.01,780.901794434
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,732.205749512
526980.01,2261561.01,732.205749512
526980.01,2261661.01,734.681762695
526980.01,2261761.01,739.735595703
526980.01,2261861.01,741.256958008
526980.01,2261961.01,741.731079102
526980.01,2262061.01,740.910461426
526980.01,2262161.01,736.465148926
526980.01,2262261.01,734.433349609
526980.01,2262361.01,735.075500488
526980.01,2262461.01,738.020385742
526980.01,2262561.01,738.625732422
526980.01,2262661.01,738.684020996
526980.01,2262761.01,741.730163574
526980.01,2262861.01,743.219726563
526980.01,2262961.01,748.654663086
526980.01,2263061.01,753.919189453
526980.01,2263161.01,754.529174805
526980.01,2263261.01,759.088439941
526980.01,2263361.01,761.360778809
526980.01,2263461.01,760.219726563
526980.01,2263561.01,761.451782227
526980.01,2263661.01,766.099121094
526980.01,2263761.01,771.684143066
526980.01,2263861.01,772.349365234
526980.01,2263961.01,777.412658691
526980.01,2264061.01,781.486877441
526980.01,2264161.01,784.965026855
526980.01,2264261.01,794.546813965
526980.01,2264361.01,806.319519043
526980.01,2264461.01,812.295898438
526980.01,2264561.01,813.45111084
526980.01,2264661.01,813.973266602
526980.01,2264761.01,818.92779541
526980.01,2264861.01,824.227355957
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,732.361572266
527080.01,2261561.01,732.361572266
527080.01,2261661.01,733.125732422
527080.01,2261761.01,735.729187012
527080.01,2261861.01,737.747131348
527080.01,2261961.01,738.82043457
527080.01,2262061.01,738.627197266
527080.01,2262161.01,736.117126465
527080.01,2262261.01,733.494873047
527080.01,2262361.01,734.794372559
527080.01,2262461.01,737.179870605
527080.01,2262561.01,737.754089355
527080.01,2262661.01,737.248657227
527080.01,2262761.01,737.987243652
527080.01,2262861.01,738.641235352
527080.01,2262961.01,741.905639648
527080.01,2263061.01,745.444519043
527080.01,2263161.01,745.653503418
527080.01,2263261.01,747.453918457
527080.01,2263361.01,750.431518555
527080.01,2263461.01,750.559753418
527080.01,2263561.01,755.126281738
527080.01,2263661.01,760.189819336
527080.01,2263761.01,762.688903809
527080.01,2263861.01,767.597839355
527080.01,2263961.01,771.973999023
527080.01,2264061.01,775.326904297
527080.01,2264161.01,784.040710449
527080.01,2264261.01,793.868164063
527080.01,2264361.01,807.004333496
527080.01,2264461.01,810.970092773
527080.01,2264561.01,812.684509277
527080.01,2264661.01,814.525939941
527080.01,2264761.01,819.656799316
527080.01,2264861.01,826.166503906
527080.01,2264961.01,823.968688965
527080.01,2265061.01,817.555541992
527080.01,2265161.01,817.840454102
527080.01,2265261.01,825.485595703
527080.01,2265361.01,830.230712891
527080.01,2265461.01,829.879089355
527080.01,2265561.01,829.18927002
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,781.842285156
527180.01,2261461.01,732.376220703
527180.01,2261561.01,732.376220703
527180.01,2261661.01,732.376220703
527180.01,2261761.01,733.897888184
527180.01,2261861.01,734.954101563
527180.01,2261961.01,734.507507324
527180.01,2262061.01,735.359130859
527180.01,2262161.01,735.133361816
527180.01,2262261.01,734.240783691
527180.01,2262361.01,734.442810059
527180.01,2262461.01,735.356872559
527180.01,2262561.01,736.199890137
527180.01,2262661.01,736.820495605
527180.01,2262761.01,736.866577148
527180.01,2262861.01,737.367431641
527180.01,2262961.01,738.281311035
527180.01,2263061.01,740.399169922
527180.01,2263161.01,740.706420898
527180.01,2263261.01,743.180541992
527180.01,2263361.01,745.892089844
527180.01,2263461.01,746.861816406
527180.01,2263561.01,749.555358887
527180.01,2263661.01,753.265319824
527180.01,2263761.01,754.947631836
527180.01,2263861.01,760.60168457
527180.01,2263961.01,766.780639648
527180.01,2264061.01,770.092956543
527180.01,2264161.01,778.947509766
527180.01,2264261.01,789.501831055
527180.01,2264361.01,796.349914551
527180.01,2264461.01,805.149902344
527180.01,2264561.01,808.103210449
527180.01,2264661.01,814.448608398
527180.01,2264761.01,821.163085938
527180.01,2264861.01,827.304748535
527180.01,2264961.01,820.967712402
