"X","Y","H50_Aal (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,860.083068848
526680.01,2261461.01,-9999
526680.01,2261561.01,858.126953125
526680.01,2261661.01,858.451049805
526680.01,2261761.01,856.24621582
526680.01,2261861.01,855.029663086
526680.01,2261961.01,854.598388672
526680.01,2262061.01,-9999
526680.01,2262161.01,850.931152344
526680.01,2262261.01,-9999
526680.01,2262361.01,850.950744629
526680.01,2262461.01,854.544921875
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,853.616943359
526780.01,2261661.01,852.058349609
526780.01,2261761.01,851.005371094
526780.01,2261861.01,853.108581543
526780.01,2261961.01,852.824584961
526780.01,2262061.01,851.701965332
526780.01,2262161.01,850.811523438
526780.01,2262261.01,850.573120117
526780.01,2262361.01,850.925598145
526780.01,2262461.01,853.438293457
526780.01,2262561.01,851.766784668
526780.01,2262661.01,854.613769531
526780.01,2262761.01,858.176208496
526780.01,2262861.01,859.832946777
526780.01,2262961.01,865.926269531
526780.01,2263061.01,869.938659668
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,848.352905273
526880.01,2261661.01,848.240905762
526880.01,2261761.01,849.345336914
526880.01,2261861.01,849.462585449
526880.01,2261961.01,849.06652832
526880.01,2262061.01,847.765319824
526880.01,2262161.01,846.882324219
526880.01,2262261.01,847.085449219
526880.01,2262361.01,849.809997559
526880.01,2262461.01,850.759033203
526880.01,2262561.01,851.128845215
526880.01,2262661.01,852.256347656
526880.01,2262761.01,856.355041504
526880.01,2262861.01,857.772033691
526880.01,2262961.01,862.194702148
526880.01,2263061.01,868.614501953
526880.01,2263161.01,868.387634277
526880.01,2263261.01,871.255432129
526880.01,2263361.01,872.018371582
526880.01,2263461.01,872.21307373
526880.01,2263561.01,874.681762695
526880.01,2263661.01,880.717041016
526880.01,2263761.01,882.792236328
526880.01,2263861.01,883.250671387
526880.01,2263961.01,885.685974121
526880.01,2264061.01,888.138183594
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,842.521240234
526980.01,2261561.01,842.874755859
526980.01,2261661.01,844.455627441
526980.01,2261761.01,847.175354004
526980.01,2261861.01,848.154174805
526980.01,2261961.01,848.953308105
526980.01,2262061.01,847.66583252
526980.01,2262161.01,846.333435059
526980.01,2262261.01,845.11126709
526980.01,2262361.01,846.074768066
526980.01,2262461.01,849.483215332
526980.01,2262561.01,850.060974121
526980.01,2262661.01,849.35760498
526980.01,2262761.01,852.132324219
526980.01,2262861.01,852.917053223
526980.01,2262961.01,856.429992676
526980.01,2263061.01,861.458496094
526980.01,2263161.01,862.606811523
526980.01,2263261.01,866.181945801
526980.01,2263361.01,867.842956543
526980.01,2263461.01,867.30267334
526980.01,2263561.01,870.161376953
526980.01,2263661.01,874.724487305
526980.01,2263761.01,880.588684082
526980.01,2263861.01,881.666381836
526980.01,2263961.01,884.825073242
526980.01,2264061.01,888.92199707
526980.01,2264161.01,892.378723145
526980.01,2264261.01,901.233520508
526980.01,2264361.01,913.303039551
526980.01,2264461.01,918.501831055
526980.01,2264561.01,920.301452637
526980.01,2264661.01,921.304504395
526980.01,2264761.01,925.973083496
526980.01,2264861.01,931.002990723
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,842.931640625
527080.01,2261561.01,842.931640625
527080.01,2261661.01,843.881591797
527080.01,2261761.01,846.487854004
527080.01,2261861.01,849.252441406
527080.01,2261961.01,850.520996094
527080.01,2262061.01,848.275024414
527080.01,2262161.01,846.010437012
527080.01,2262261.01,845.55847168
527080.01,2262361.01,846.14276123
527080.01,2262461.01,848.572387695
527080.01,2262561.01,849.091430664
527080.01,2262661.01,847.808349609
527080.01,2262761.01,847.83581543
527080.01,2262861.01,848.398986816
527080.01,2262961.01,850.913024902
527080.01,2263061.01,853.117797852
527080.01,2263161.01,853.673400879
527080.01,2263261.01,857.161254883
527080.01,2263361.01,860.235900879
527080.01,2263461.01,861.135803223
527080.01,2263561.01,865.560913086
527080.01,2263661.01,869.018432617
527080.01,2263761.01,870.944030762
527080.01,2263861.01,875.961303711
527080.01,2263961.01,880.50189209
527080.01,2264061.01,882.982788086
527080.01,2264161.01,891.04296875
527080.01,2264261.01,900.363952637
527080.01,2264361.01,912.979064941
527080.01,2264461.01,917.086730957
527080.01,2264561.01,919.6640625
527080.01,2264661.01,921.768737793
527080.01,2264761.01,926.367431641
527080.01,2264861.01,932.277160645
527080.01,2264961.01,928.227294922
527080.01,2265061.01,923.574890137
527080.01,2265161.01,923.954467773
527080.01,2265261.01,931.526062012
527080.01,2265361.01,935.453491211
527080.01,2265461.01,935.485656738
527080.01,2265561.01,935.765625
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,843.023620605
527180.01,2261461.01,843.023620605
527180.01,2261561.01,843.023620605
527180.01,2261661.01,843.023620605
527180.01,2261761.01,843.839050293
527180.01,2261861.01,845.307800293
527180.01,2261961.01,847.484130859
527180.01,2262061.01,848.236206055
527180.01,2262161.01,847.128540039
527180.01,2262261.01,847.179199219
527180.01,2262361.01,847.52520752
527180.01,2262461.01,848.615966797
527180.01,2262561.01,848.987121582
527180.01,2262661.01,848.608886719
527180.01,2262761.01,848.820861816
527180.01,2262861.01,848.109741211
527180.01,2262961.01,848.261413574
527180.01,2263061.01,847.804077148
527180.01,2263161.01,848.965393066
527180.01,2263261.01,852.546264648
527180.01,2263361.01,855.739929199
527180.01,2263461.01,857.237792969
527180.01,2263561.01,860.67755127
527180.01,2263661.01,863.568786621
527180.01,2263761.01,864.840209961
527180.01,2263861.01,870.998718262
527180.01,2263961.01,877.319885254
527180.01,2264061.01,880.270202637
527180.01,2264161.01,887.067321777
527180.01,2264261.01,896.918945313
527180.01,2264361.01,902.046813965
527180.01,2264461.01,911.080932617
527180.01,2264561.01,915.054748535
527180.01,2264661.01,921.532409668
527180.01,2264761.01,927.430358887
527180.01,2264861.01,932.484008789
527180.01,2264961.01,925.354248047
