"X","Y","H60_Charm (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,910.272583008
526680.01,2261461.01,-9999
526680.01,2261561.01,907.163330078
526680.01,2261661.01,909.06829834
526680.01,2261761.01,910.326843262
526680.01,2261861.01,911.456359863
526680.01,2261961.01,911.876953125
526680.01,2262061.01,-9999
526680.01,2262161.01,911.573852539
526680.01,2262261.01,-9999
526680.01,2262361.01,914.934204102
526680.01,2262461.01,916.819946289
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,906.914855957
526780.01,2261661.01,907.968078613
526780.01,2261761.01,909.17388916
526780.01,2261861.01,911.199462891
526780.01,2261961.01,911.519958496
526780.01,2262061.01,911.716125488
526780.01,2262161.01,911.934997559
526780.01,2262261.01,912.713378906
526780.01,2262361.01,914.551269531
526780.01,2262461.01,916.492492676
526780.01,2262561.01,917.562316895
526780.01,2262661.01,919.039428711
526780.01,2262761.01,922.19519043
526780.01,2262861.01,924.043395996
526780.01,2262961.01,926.278869629
526780.01,2263061.01,928.530578613
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,904.162963867
526880.01,2261661.01,906.02130127
526880.01,2261761.01,908.938903809
526880.01,2261861.01,910.558105469
526880.01,2261961.01,911.197937012
526880.01,2262061.01,911.284484863
526880.01,2262161.01,910.555419922
526880.01,2262261.01,913.012695313
526880.01,2262361.01,914.511474609
526880.01,2262461.01,915.608337402
526880.01,2262561.01,916.464660645
526880.01,2262661.01,918.235717773
526880.01,2262761.01,920.434204102
526880.01,2262861.01,922.009460449
526880.01,2262961.01,925.031677246
526880.01,2263061.01,928.927734375
526880.01,2263161.01,930.399169922
526880.01,2263261.01,932.837158203
526880.01,2263361.01,930.702697754
526880.01,2263461.01,935.194091797
526880.01,2263561.01,939.233276367
526880.01,2263661.01,938.610534668
526880.01,2263761.01,939.376037598
526880.01,2263861.01,943.798583984
526880.01,2263961.01,947.296569824
526880.01,2264061.01,947.340637207
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,900.30255127
526980.01,2261561.01,900.704345703
526980.01,2261661.01,903.731628418
526980.01,2261761.01,908.226623535
526980.01,2261861.01,909.673156738
526980.01,2261961.01,911.308166504
526980.01,2262061.01,911.47644043
526980.01,2262161.01,910.184814453
526980.01,2262261.01,910.723571777
526980.01,2262361.01,912.558105469
526980.01,2262461.01,915.400878906
526980.01,2262561.01,916.034729004
526980.01,2262661.01,916.990966797
526980.01,2262761.01,917.633300781
526980.01,2262861.01,917.981262207
526980.01,2262961.01,920.383422852
526980.01,2263061.01,925.653076172
526980.01,2263161.01,926.539550781
526980.01,2263261.01,929.053283691
526980.01,2263361.01,928.580078125
526980.01,2263461.01,929.267211914
526980.01,2263561.01,934.085632324
526980.01,2263661.01,938.383789063
526980.01,2263761.01,941.246704102
526980.01,2263861.01,943.443359375
526980.01,2263961.01,946.397277832
526980.01,2264061.01,947.284606934
526980.01,2264161.01,951.735351563
526980.01,2264261.01,963.654052734
526980.01,2264361.01,967.622375488
526980.01,2264461.01,970.858581543
526980.01,2264561.01,979.438903809
526980.01,2264661.01,975.578613281
526980.01,2264761.01,985.561096191
526980.01,2264861.01,988.339477539
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,900.886108398
527080.01,2261561.01,900.886108398
527080.01,2261661.01,903.299316406
527080.01,2261761.01,908.542358398
527080.01,2261861.01,909.956420898
527080.01,2261961.01,911.820739746
527080.01,2262061.01,911.354370117
527080.01,2262161.01,910.707702637
527080.01,2262261.01,910.416870117
527080.01,2262361.01,911.629882813
527080.01,2262461.01,913.980712891
527080.01,2262561.01,915.118164063
527080.01,2262661.01,916.061767578
527080.01,2262761.01,915.687927246
527080.01,2262861.01,915.797180176
527080.01,2262961.01,916.939880371
527080.01,2263061.01,918.130432129
527080.01,2263161.01,918.343078613
527080.01,2263261.01,921.681152344
527080.01,2263361.01,926.083129883
527080.01,2263461.01,927.311401367
527080.01,2263561.01,929.801391602
527080.01,2263661.01,934.283569336
527080.01,2263761.01,935.812561035
527080.01,2263861.01,941.132995605
527080.01,2263961.01,945.540283203
527080.01,2264061.01,944.641296387
527080.01,2264161.01,952.240844727
527080.01,2264261.01,962.696228027
527080.01,2264361.01,966.685302734
527080.01,2264461.01,968.138366699
527080.01,2264561.01,976.268188477
527080.01,2264661.01,979.027648926
527080.01,2264761.01,988.111938477
527080.01,2264861.01,988.273010254
527080.01,2264961.01,984.786254883
527080.01,2265061.01,979.959594727
527080.01,2265161.01,983.0859375
527080.01,2265261.01,988.998840332
527080.01,2265361.01,993.897277832
527080.01,2265461.01,994.091552734
527080.01,2265561.01,992.570739746
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,901.032531738
527180.01,2261461.01,901.032531738
527180.01,2261561.01,901.032531738
527180.01,2261661.01,901.074768066
527180.01,2261761.01,903.677429199
527180.01,2261861.01,905.37487793
527180.01,2261961.01,911.333374023
527180.01,2262061.01,912.800476074
527180.01,2262161.01,911.610595703
527180.01,2262261.01,911.538085938
527180.01,2262361.01,913.159545898
527180.01,2262461.01,913.13861084
527180.01,2262561.01,915.260253906
527180.01,2262661.01,914.758361816
527180.01,2262761.01,914.359436035
527180.01,2262861.01,914.941772461
527180.01,2262961.01,915.028137207
527180.01,2263061.01,913.194641113
527180.01,2263161.01,914.153747559
527180.01,2263261.01,916.805480957
527180.01,2263361.01,920.928100586
527180.01,2263461.01,922.542297363
527180.01,2263561.01,925.381652832
527180.01,2263661.01,930.689819336
527180.01,2263761.01,932.387695313
527180.01,2263861.01,935.17578125
527180.01,2263961.01,942.911682129
527180.01,2264061.01,943.926025391
527180.01,2264161.01,949.008300781
527180.01,2264261.01,958.610412598
527180.01,2264361.01,960.440063477
527180.01,2264461.01,964.67791748
527180.01,2264561.01,971.00604248
527180.01,2264661.01,986.219543457
527180.01,2264761.01,990.729309082
527180.01,2264861.01,991.64263916
527180.01,2264961.01,983.467346191
