"X","Y","H70_Arg_lev (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,-9999
526680.01,2261461.01,-9999
526680.01,2261561.01,-9999
526680.01,2261661.01,-9999
526680.01,2261761.01,967.14630127
526680.01,2261861.01,968.046386719
526680.01,2261961.01,967.439941406
526680.01,2262061.01,968.34979248
526680.01,2262161.01,968.362487793
526680.01,2262261.01,973.134155273
526680.01,2262361.01,975.047180176
526680.01,2262461.01,975.547973633
526680.01,2262561.01,976.267272949
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,961.624572754
526780.01,2261661.01,963.782775879
526780.01,2261761.01,967.20880127
526780.01,2261861.01,968.227050781
526780.01,2261961.01,969.047912598
526780.01,2262061.01,969.733642578
526780.01,2262161.01,969.77923584
526780.01,2262261.01,970.49621582
526780.01,2262361.01,975.789611816
526780.01,2262461.01,978.536987305
526780.01,2262561.01,976.602233887
526780.01,2262661.01,976.435668945
526780.01,2262761.01,980.362731934
526780.01,2262861.01,980.662780762
526780.01,2262961.01,981.696838379
526780.01,2263061.01,984.694702148
526780.01,2263161.01,987.84197998
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,963.692626953
526880.01,2261661.01,965.278259277
526880.01,2261761.01,967.817199707
526880.01,2261861.01,971.315002441
526880.01,2261961.01,970.997741699
526880.01,2262061.01,969.341491699
526880.01,2262161.01,970.654296875
526880.01,2262261.01,971.166381836
526880.01,2262361.01,973.782165527
526880.01,2262461.01,976.767578125
526880.01,2262561.01,975.100708008
526880.01,2262661.01,977.214599609
526880.01,2262761.01,979.520507813
526880.01,2262861.01,981.176147461
526880.01,2262961.01,980.492492676
526880.01,2263061.01,984.118530273
526880.01,2263161.01,987.045166016
526880.01,2263261.01,989.074279785
526880.01,2263361.01,986.95111084
526880.01,2263461.01,991.111938477
526880.01,2263561.01,995.236816406
526880.01,2263661.01,995.151367188
526880.01,2263761.01,996.250183105
526880.01,2263861.01,999.689147949
526880.01,2263961.01,1003.163391113
526880.01,2264061.01,1002.086547852
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,961.199279785
526980.01,2261461.01,960.044189453
526980.01,2261561.01,960.553222656
526980.01,2261661.01,962.752868652
526980.01,2261761.01,964.105834961
526980.01,2261861.01,967.773193359
526980.01,2261961.01,969.102478027
526980.01,2262061.01,966.085510254
526980.01,2262161.01,967.586791992
526980.01,2262261.01,967.465148926
526980.01,2262361.01,968.710205078
526980.01,2262461.01,970.771850586
526980.01,2262561.01,971.865661621
526980.01,2262661.01,973.541748047
526980.01,2262761.01,976.974853516
526980.01,2262861.01,976.393371582
526980.01,2262961.01,979.786437988
526980.01,2263061.01,982.833984375
526980.01,2263161.01,984.419799805
526980.01,2263261.01,986.981811523
526980.01,2263361.01,987.903808594
526980.01,2263461.01,989.54284668
526980.01,2263561.01,991.157775879
526980.01,2263661.01,994.750549316
526980.01,2263761.01,997.859802246
526980.01,2263861.01,998.308044434
526980.01,2263961.01,1002.477844238
526980.01,2264061.01,1001.232177734
526980.01,2264161.01,1005.856445313
526980.01,2264261.01,1019.584594727
526980.01,2264361.01,1024.899536133
526980.01,2264461.01,1028.474121094
526980.01,2264561.01,1035.436279297
526980.01,2264661.01,1033.099975586
526980.01,2264761.01,1043.03112793
526980.01,2264861.01,1045.07409668
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,965.00592041
527080.01,2261461.01,961.748291016
527080.01,2261561.01,962.06628418
527080.01,2261661.01,963.477294922
527080.01,2261761.01,968.024353027
527080.01,2261861.01,969.741882324
527080.01,2261961.01,972.070739746
527080.01,2262061.01,970.588989258
527080.01,2262161.01,970.27331543
527080.01,2262261.01,968.90246582
527080.01,2262361.01,968.24786377
527080.01,2262461.01,970.389221191
527080.01,2262561.01,972.332519531
527080.01,2262661.01,971.167724609
527080.01,2262761.01,973.250488281
527080.01,2262861.01,973.404296875
527080.01,2262961.01,975.605407715
527080.01,2263061.01,977.467773438
527080.01,2263161.01,978.846496582
527080.01,2263261.01,982.579772949
527080.01,2263361.01,985.20715332
527080.01,2263461.01,985.282897949
527080.01,2263561.01,988.563903809
527080.01,2263661.01,991.471984863
527080.01,2263761.01,992.079284668
527080.01,2263861.01,995.676086426
527080.01,2263961.01,999.602233887
527080.01,2264061.01,1001.868041992
527080.01,2264161.01,1008.595825195
527080.01,2264261.01,1018.675720215
527080.01,2264361.01,1024.752563477
527080.01,2264461.01,1025.989501953
527080.01,2264561.01,1033.05090332
527080.01,2264661.01,1036.042358398
527080.01,2264761.01,1044.450073242
527080.01,2264861.01,1044.228515625
527080.01,2264961.01,1042.203491211
527080.01,2265061.01,1037.063598633
527080.01,2265161.01,1039.794677734
527080.01,2265261.01,1045.837402344
527080.01,2265361.01,1050.824707031
527080.01,2265461.01,1050.520507813
527080.01,2265561.01,1049.96875
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,961.750915527
527180.01,2261461.01,961.754638672
527180.01,2261561.01,961.755371094
527180.01,2261661.01,962.36932373
527180.01,2261761.01,965.459899902
527180.01,2261861.01,968.065734863
527180.01,2261961.01,971.92755127
527180.01,2262061.01,974.091796875
527180.01,2262161.01,970.902709961
527180.01,2262261.01,972.835266113
527180.01,2262361.01,972.468322754
527180.01,2262461.01,972.120422363
527180.01,2262561.01,972.664306641
527180.01,2262661.01,971.827087402
527180.01,2262761.01,971.147399902
527180.01,2262861.01,971.875854492
527180.01,2262961.01,973.579650879
527180.01,2263061.01,973.125854492
527180.01,2263161.01,974.175170898
527180.01,2263261.01,977.389038086
527180.01,2263361.01,981.354431152
527180.01,2263461.01,981.245605469
527180.01,2263561.01,983.593811035
527180.01,2263661.01,987.097351074
527180.01,2263761.01,987.907775879
527180.01,2263861.01,992.643249512
527180.01,2263961.01,997.963256836
527180.01,2264061.01,1000.49395752
527180.01,2264161.01,1006.335998535
527180.01,2264261.01,1013.912475586
527180.01,2264361.01,1015.617736816
527180.01,2264461.01,1022.027038574
527180.01,2264561.01,1027.854003906
527180.01,2264661.01,1041.819458008
527180.01,2264761.01,1047.381835938
