"X","Y","H80_r3a (Depth)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,-9999
526680.01,2261461.01,-9999
526680.01,2261561.01,1035.147827148
526680.01,2261661.01,1036.760742188
526680.01,2261761.01,1035.590209961
526680.01,2261861.01,1035.509887695
526680.01,2261961.01,1036.081665039
526680.01,2262061.01,1037.179077148
526680.01,2262161.01,1040.725585938
526680.01,2262261.01,1043.186279297
526680.01,2262361.01,1045.190429688
526680.01,2262461.01,1047.157470703
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,1033.236328125
526780.01,2261661.01,1034.542480469
526780.01,2261761.01,1035.40234375
526780.01,2261861.01,1036.36730957
526780.01,2261961.01,1037.232666016
526780.01,2262061.01,1037.871826172
526780.01,2262161.01,1038.598510742
526780.01,2262261.01,1039.545776367
526780.01,2262361.01,1045.363891602
526780.01,2262461.01,1046.629272461
526780.01,2262561.01,1047.140136719
526780.01,2262661.01,1048.55871582
526780.01,2262761.01,1050.909912109
526780.01,2262861.01,1051.468994141
526780.01,2262961.01,1053.183837891
526780.01,2263061.01,1055.795410156
526780.01,2263161.01,1059.283569336
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,1028.869628906
526880.01,2261561.01,1032.232666016
526880.01,2261661.01,1033.973266602
526880.01,2261761.01,1036.615600586
526880.01,2261861.01,1039.433837891
526880.01,2261961.01,1040.344726563
526880.01,2262061.01,1040.35546875
526880.01,2262161.01,1041.926635742
526880.01,2262261.01,1043.493041992
526880.01,2262361.01,1045.194946289
526880.01,2262461.01,1046.011962891
526880.01,2262561.01,1046.319213867
526880.01,2262661.01,1047.510131836
526880.01,2262761.01,1049.080810547
526880.01,2262861.01,1049.697387695
526880.01,2262961.01,1051.257568359
526880.01,2263061.01,1055.193359375
526880.01,2263161.01,1056.220825195
526880.01,2263261.01,1057.775878906
526880.01,2263361.01,1055.381958008
526880.01,2263461.01,1058.811767578
526880.01,2263561.01,1062.611816406
526880.01,2263661.01,1062.323242188
526880.01,2263761.01,1062.843139648
526880.01,2263861.01,1066.013549805
526880.01,2263961.01,1069.603027344
526880.01,2264061.01,1068.426025391
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,1027.696044922
526980.01,2261561.01,1029.565307617
526980.01,2261661.01,1033.12878418
526980.01,2261761.01,1035.957641602
526980.01,2261861.01,1037.754760742
526980.01,2261961.01,1039.860961914
526980.01,2262061.01,1041.847045898
526980.01,2262161.01,1041.965942383
526980.01,2262261.01,1042.827148438
526980.01,2262361.01,1043.618408203
526980.01,2262461.01,1044.60559082
526980.01,2262561.01,1045.100219727
526980.01,2262661.01,1046.280151367
526980.01,2262761.01,1047.323242188
526980.01,2262861.01,1047.872802734
526980.01,2262961.01,1049.447143555
526980.01,2263061.01,1052.463989258
526980.01,2263161.01,1054.116210938
526980.01,2263261.01,1056.758178711
526980.01,2263361.01,1054.544555664
526980.01,2263461.01,1053.263061523
526980.01,2263561.01,1058.184814453
526980.01,2263661.01,1062.089599609
526980.01,2263761.01,1063.088256836
526980.01,2263861.01,1064.694702148
526980.01,2263961.01,1069.22265625
526980.01,2264061.01,1068.108642578
526980.01,2264161.01,1072.952880859
526980.01,2264261.01,1085.423583984
526980.01,2264361.01,1089.56262207
526980.01,2264461.01,1093.049194336
526980.01,2264561.01,1100.178344727
526980.01,2264661.01,1097.27734375
526980.01,2264761.01,1106.851928711
526980.01,2264861.01,1109.164794922
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,1029.313232422
527080.01,2261561.01,1029.633422852
527080.01,2261661.01,1035.13269043
527080.01,2261761.01,1037.047607422
527080.01,2261861.01,1038.829223633
527080.01,2261961.01,1040.544311523
527080.01,2262061.01,1042.364257813
527080.01,2262161.01,1042.447021484
527080.01,2262261.01,1042.008178711
527080.01,2262361.01,1041.480102539
527080.01,2262461.01,1042.221191406
527080.01,2262561.01,1042.654418945
527080.01,2262661.01,1043.611328125
527080.01,2262761.01,1043.939086914
527080.01,2262861.01,1043.314453125
527080.01,2262961.01,1045.045288086
527080.01,2263061.01,1049.089477539
527080.01,2263161.01,1049.451049805
527080.01,2263261.01,1051.76953125
527080.01,2263361.01,1052.387207031
527080.01,2263461.01,1052.513061523
527080.01,2263561.01,1054.709716797
527080.01,2263661.01,1057.690551758
527080.01,2263761.01,1058.325683594
527080.01,2263861.01,1062.672851563
527080.01,2263961.01,1068.054077148
527080.01,2264061.01,1070.612792969
527080.01,2264161.01,1076.029052734
527080.01,2264261.01,1083.998901367
527080.01,2264361.01,1089.140625
527080.01,2264461.01,1090.79296875
527080.01,2264561.01,1097.129760742
527080.01,2264661.01,1100.1953125
527080.01,2264761.01,1108.782836914
527080.01,2264861.01,1108.59753418
527080.01,2264961.01,1106.416381836
527080.01,2265061.01,1102.223388672
527080.01,2265161.01,1105.326660156
527080.01,2265261.01,1110.971557617
527080.01,2265361.01,1115.828369141
527080.01,2265461.01,1116.03527832
527080.01,2265561.01,1114.942382813
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,1029.326416016
527180.01,2261461.01,1029.344970703
527180.01,2261561.01,1029.348876953
527180.01,2261661.01,1031.567016602
527180.01,2261761.01,1038.1796875
527180.01,2261861.01,1038.943481445
527180.01,2261961.01,1040.702026367
527180.01,2262061.01,1042.216308594
527180.01,2262161.01,1040.873901367
527180.01,2262261.01,1040.85534668
527180.01,2262361.01,1039.872314453
527180.01,2262461.01,1039.861938477
527180.01,2262561.01,1041.416381836
527180.01,2262661.01,1041.781494141
527180.01,2262761.01,1041.242797852
527180.01,2262861.01,1041.961547852
527180.01,2262961.01,1042.974365234
527180.01,2263061.01,1042.766845703
527180.01,2263161.01,1042.223876953
527180.01,2263261.01,1045.832397461
527180.01,2263361.01,1049.044311523
527180.01,2263461.01,1049.37097168
527180.01,2263561.01,1051.016113281
527180.01,2263661.01,1052.702880859
527180.01,2263761.01,1053.222167969
527180.01,2263861.01,1058.048217773
527180.01,2263961.01,1064.882202148
