"X","Y","H00_Ground Level (TWT)"
526580.01,2261461.01,-87.57559967
526580.01,2261561.01,-85.855934143
526580.01,2261661.01,-84.63923645
526680.01,2261461.01,-86.967300415
526680.01,2261561.01,-85.521987915
526680.01,2261661.01,-85.616447449
526680.01,2261761.01,-85.936721802
526680.01,2261861.01,-85.542488098
526680.01,2261961.01,-83.592445374
526680.01,2262061.01,-82.433799744
526680.01,2262161.01,-81.121543884
526680.01,2262261.01,-80.803649902
526680.01,2262361.01,-81.616333008
526680.01,2262461.01,-82.772621155
526680.01,2262561.01,-83.897148132
526780.01,2261361.01,-87.602104187
526780.01,2261461.01,-85.713180542
526780.01,2261561.01,-84.364501953
526780.01,2261661.01,-85.337745667
526780.01,2261761.01,-87.124755859
526780.01,2261861.01,-87.28212738
526780.01,2261961.01,-85.526641846
526780.01,2262061.01,-84.134117126
526780.01,2262161.01,-82.598358154
526780.01,2262261.01,-82.325668335
526780.01,2262361.01,-83.297950745
526780.01,2262461.01,-84.581871033
526780.01,2262561.01,-86.12940979
526780.01,2262661.01,-87.559440613
526780.01,2262761.01,-88.426506042
526780.01,2262861.01,-90.127433777
526780.01,2262961.01,-91.849708557
526780.01,2263061.01,-91.370704651
526780.01,2263161.01,-90.529350281
526780.01,2263261.01,-89.706336975
526780.01,2263361.01,-88.417808533
526780.01,2263461.01,-86.258262634
526880.01,2261361.01,-85.767868042
526880.01,2261461.01,-84.175628662
526880.01,2261561.01,-83.309417725
526880.01,2261661.01,-83.95489502
526880.01,2261761.01,-86.190849304
526880.01,2261861.01,-87.277679443
526880.01,2261961.01,-85.948417664
526880.01,2262061.01,-84.818244934
526880.01,2262161.01,-83.50378418
526880.01,2262261.01,-83.601959229
526880.01,2262361.01,-84.421081543
526880.01,2262461.01,-85.688262939
526880.01,2262561.01,-87.358131409
526880.01,2262661.01,-89.346374512
526880.01,2262761.01,-90.421974182
526880.01,2262861.01,-91.820648193
526880.01,2262961.01,-93.541358948
526880.01,2263061.01,-92.930915833
526880.01,2263161.01,-92.562065125
526880.01,2263261.01,-91.2006073
526880.01,2263361.01,-89.614387512
526880.01,2263461.01,-86.723556519
526880.01,2263561.01,-84.105018616
526880.01,2263661.01,-83.093772888
526880.01,2263761.01,-82.496757507
526880.01,2263861.01,-76.856056213
526880.01,2263961.01,-70.776885986
526880.01,2264061.01,-63.175312042
526880.01,2264161.01,-63.106575012
526880.01,2264261.01,-66.583450317
526880.01,2264361.01,-66.875717163
526880.01,2264461.01,-62.652385712
526980.01,2261361.01,-83.487167358
526980.01,2261461.01,-82.046829224
526980.01,2261561.01,-82.087837219
526980.01,2261661.01,-83.070396423
526980.01,2261761.01,-84.508384705
526980.01,2261861.01,-86.36151123
526980.01,2261961.01,-85.667274475
