"X","Y","H01_T20m (TWT)"
526580.01,2261461.01,-45.305702209
526580.01,2261561.01,-44.126682281
526580.01,2261661.01,-43.214355469
526680.01,2261461.01,-44.521362305
526680.01,2261561.01,-43.572311401
526680.01,2261661.01,-43.902919769
526680.01,2261761.01,-44.203117371
526680.01,2261861.01,-43.539627075
526680.01,2261961.01,-41.143215179
526680.01,2262061.01,-39.378314972
526680.01,2262161.01,-37.363140106
526680.01,2262261.01,-36.301055908
526680.01,2262361.01,-36.389652252
526680.01,2262461.01,-36.876728058
526680.01,2262561.01,-37.476516724
526780.01,2261361.01,-44.483901978
526780.01,2261461.01,-43.247257233
526780.01,2261561.01,-42.331249237
526780.01,2261661.01,-43.465755463
526780.01,2261761.01,-45.129241943
526780.01,2261861.01,-44.92515564
526780.01,2261961.01,-42.63520813
526780.01,2262061.01,-40.539039612
526780.01,2262161.01,-38.225402832
526780.01,2262261.01,-37.127101898
526780.01,2262361.01,-37.280994415
526780.01,2262461.01,-37.847702026
526780.01,2262561.01,-38.825180054
526780.01,2262661.01,-39.81552124
526780.01,2262761.01,-40.298427582
526780.01,2262861.01,-41.743862152
526780.01,2262961.01,-43.249111176
526780.01,2263061.01,-42.653690338
526780.01,2263161.01,-41.822723389
526780.01,2263261.01,-41.261314392
526780.01,2263361.01,-40.541110992
526780.01,2263461.01,-39.223808289
526880.01,2261361.01,-42.797210693
526880.01,2261461.01,-41.819896698
526880.01,2261561.01,-41.313346863
526880.01,2261661.01,-42.030590057
526880.01,2261761.01,-44.052204132
526880.01,2261861.01,-44.697940826
526880.01,2261961.01,-42.730495453
526880.01,2262061.01,-40.827999115
526880.01,2262161.01,-38.643798828
526880.01,2262261.01,-37.810695648
526880.01,2262361.01,-37.729869843
526880.01,2262461.01,-38.22410202
526880.01,2262561.01,-39.246707916
526880.01,2262661.01,-40.796649933
526880.01,2262761.01,-41.534145355
526880.01,2262861.01,-42.658058167
526880.01,2262961.01,-44.196533203
526880.01,2263061.01,-43.569232941
526880.01,2263161.01,-43.377983093
526880.01,2263261.01,-42.506725311
526880.01,2263361.01,-41.642616272
526880.01,2263461.01,-39.629844666
526880.01,2263561.01,-38.019504547
526880.01,2263661.01,-38.240196228
526880.01,2263761.01,-39.142414093
526880.01,2263861.01,-35.30039978
526880.01,2263961.01,-31.261362076
526880.01,2264061.01,-25.849740982
526880.01,2264161.01,-27.945203781
526880.01,2264261.01,-33.617313385
526880.01,2264361.01,-35.913017273
526880.01,2264461.01,-33.514545441
526980.01,2261361.01,-40.769668579
526980.01,2261461.01,-39.892620087
526980.01,2261561.01,-40.219200134
526980.01,2261661.01,-41.18680191
526980.01,2261761.01,-42.334907532
526980.01,2261861.01,-43.655776978
526980.01,2261961.01,-42.246646881
526980.01,2262061.01,-41.554573059
526980.01,2262161.01,-40.06042099
526980.01,2262261.01,-38.997394562
526980.01,2262361.01,-38.300403595
526980.01,2262461.01,-38.694339752
526980.01,2262561.01,-39.664154053
526980.01,2262661.01,-40.985771179
526980.01,2262761.01,-41.572414398
526980.01,2262861.01,-42.742076874
526980.01,2262961.01,-43.64233017
526980.01,2263061.01,-44.109889984
526980.01,2263161.01,-45.255374908
526980.01,2263261.01,-43.35100174
526980.01,2263361.01,-42.705291748
526980.01,2263461.01,-41.00258255
526980.01,2263561.01,-38.80538559
526980.01,2263661.01,-38.395130157
526980.01,2263761.01,-38.247573853
526980.01,2263861.01,-32.628746033
526980.01,2263961.01,-30.641639709
526980.01,2264061.01,-25.355350494
526980.01,2264161.01,-27.890516281
526980.01,2264261.01,-35.655483246
526980.01,2264361.01,-39.407588959
526980.01,2264461.01,-37.563220978
526980.01,2264561.01,-31.030794144
526980.01,2264661.01,-25.006738663
526980.01,2264761.01,-27.11769104
526980.01,2264861.01,-33.21723175
526980.01,2264961.01,-38.268863678
526980.01,2265061.01,-40.582618713
526980.01,2265161.01,-41.845043182
526980.01,2265261.01,-43.150997162
526980.01,2265361.01,-43.433689117
527080.01,2261261.01,-40.309860229
527080.01,2261361.01,-38.67232132
527080.01,2261461.01,-37.65619278
527080.01,2261561.01,-38.020530701
527080.01,2261661.01,-39.656669617
527080.01,2261761.01,-41.104808807
527080.01,2261861.01,-42.757850647
527080.01,2261961.01,-43.05172348
527080.01,2262061.01,-42.084854126
527080.01,2262161.01,-41.286914825
527080.01,2262261.01,-40.324062347
527080.01,2262361.01,-39.089267731
527080.01,2262461.01,-39.424060822
527080.01,2262561.01,-40.958583832
527080.01,2262661.01,-41.776931763
527080.01,2262761.01,-42.480155945
527080.01,2262861.01,-43.622390747
527080.01,2262961.01,-44.628520966
527080.01,2263061.01,-45.178276062
527080.01,2263161.01,-45.147960663
527080.01,2263261.01,-42.806545258
527080.01,2263361.01,-43.108478546
527080.01,2263461.01,-42.605781555
527080.01,2263561.01,-40.729595184
527080.01,2263661.01,-39.39112854
527080.01,2263761.01,-38.336608887
527080.01,2263861.01,-33.210197449
527080.01,2263961.01,-29.162996292
527080.01,2264061.01,-25.531421661
527080.01,2264161.01,-27.929740906
527080.01,2264261.01,-35.021087646
527080.01,2264361.01,-41.142353058
527080.01,2264461.01,-40.797992706
527080.01,2264561.01,-35.906509399
527080.01,2264661.01,-28.446372986
527080.01,2264761.01,-29.24540329
527080.01,2264861.01,-35.152759552
527080.01,2264961.01,-38.962913513
527080.01,2265061.01,-40.125667572
527080.01,2265161.01,-40.785739899
527080.01,2265261.01,-42.573112488
527080.01,2265361.01,-42.675460815
527080.01,2265461.01,-43.005718231
527080.01,2265561.01,-43.940906525
527080.01,2265661.01,-44.961475372
527080.01,2265761.01,-45.475120544
527180.01,2261261.01,-38.68687439
527180.01,2261361.01,-37.137969971
527180.01,2261461.01,-35.905269623
527180.01,2261561.01,-35.687736511
527180.01,2261661.01,-37.369235992
527180.01,2261761.01,-39.931797028
527180.01,2261861.01,-42.07660675
527180.01,2261961.01,-42.965698242
527180.01,2262061.01,-42.253665924
527180.01,2262161.01,-40.985187531
527180.01,2262261.01,-40.993286133
527180.01,2262361.01,-40.00283432
527180.01,2262461.01,-40.451385498
527180.01,2262561.01,-42.193809509
527180.01,2262661.01,-43.124534607
527180.01,2262761.01,-43.372520447
527180.01,2262861.01,-44.799930573
527180.01,2262961.01,-45.622394562
527180.01,2263061.01,-45.81319809
527180.01,2263161.01,-45.474502563
527180.01,2263261.01,-43.652492523
527180.01,2263361.01,-42.745845795
527180.01,2263461.01,-42.525257111
527180.01,2263561.01,-41.745067596
527180.01,2263661.01,-41.021247864
527180.01,2263761.01,-37.776809692
527180.01,2263861.01,-33.139945984
527180.01,2263961.01,-30.534423828
527180.01,2264061.01,-28.004379272
527180.01,2264161.01,-31.082300186
527180.01,2264261.01,-34.731468201
527180.01,2264361.01,-40.99156189
527180.01,2264461.01,-42.243602753
527180.01,2264561.01,-40.303676605
527180.01,2264661.01,-34.051151276
527180.01,2264761.01,-28.132997513
527180.01,2264861.01,-33.198131561
527180.01,2264961.01,-36.745979309
527180.01,2265061.01,-38.201515198
527180.01,2265161.01,-39.040996552
527180.01,2265261.01,-40.787837982
527180.01,2265361.01,-41.058124542
527180.01,2265461.01,-42.119476318
527180.01,2265561.01,-42.961608887
527180.01,2265661.01,-44.427082062
527180.01,2265761.01,-45.209392548
527180.01,2265861.01,-45.627235413
527280.01,2261261.01,-36.657066345
527280.01,2261361.01,-36.021999359
527280.01,2261461.01,-35.052627563
527280.01,2261561.01,-34.231769562
527280.01,2261661.01,-36.622619629
527280.01,2261761.01,-39.463523865
527280.01,2261861.01,-41.963790894
527280.01,2261961.01,-42.934566498
527280.01,2262061.01,-41.072101593
527280.01,2262161.01,-40.599632263
527280.01,2262261.01,-41.198337555
527280.01,2262361.01,-40.958374023
527280.01,2262461.01,-42.011222839
527280.01,2262561.01,-43.774467468
527280.01,2262661.01,-45.687652588
527280.01,2262761.01,-44.893661499
527280.01,2262861.01,-45.295471191
527280.01,2262961.01,-46.142948151
527280.01,2263061.01,-45.929683685
527280.01,2263161.01,-45.087032318
527280.01,2263261.01,-43.899185181
527280.01,2263361.01,-42.219810486
527280.01,2263461.01,-41.968261719
527280.01,2263561.01,-41.738502502
527280.01,2263661.01,-40.123596191
527280.01,2263761.01,-36.740970612
527280.01,2263861.01,-33.499599457
527280.01,2263961.01,-30.688798904
527280.01,2264061.01,-28.039104462
