"X","Y","H02_TBeauce (TWT)"
526580.01,2261461.01,-30.820148468
526580.01,2261561.01,-30.613672256
526580.01,2261661.01,-30.535850525
526680.01,2261461.01,-30.8442173
526680.01,2261561.01,-30.73724556
526680.01,2261661.01,-31.185655594
526680.01,2261761.01,-31.633659363
526680.01,2261861.01,-31.680297852
526680.01,2261961.01,-30.991090775
526680.01,2262061.01,-30.551183701
526680.01,2262161.01,-29.833259583
526680.01,2262261.01,-29.646808624
526680.01,2262361.01,-29.879617691
526680.01,2262461.01,-30.28635025
526680.01,2262561.01,-30.718587875
526780.01,2261361.01,-30.851970673
526780.01,2261461.01,-30.648101807
526780.01,2261561.01,-30.597705841
526780.01,2261661.01,-31.429014206
526780.01,2261761.01,-32.472888947
526780.01,2261861.01,-32.717945099
526780.01,2261961.01,-32.073253632
526780.01,2262061.01,-31.48131752
526780.01,2262161.01,-30.627794266
526780.01,2262261.01,-30.354459763
526780.01,2262361.01,-30.599012375
526780.01,2262461.01,-30.977296829
526780.01,2262561.01,-31.498600006
526780.01,2262661.01,-32.008140564
526780.01,2262761.01,-32.300548553
526780.01,2262861.01,-33.00749588
526780.01,2262961.01,-33.761375427
526780.01,2263061.01,-33.652935028
526780.01,2263161.01,-33.478309631
526780.01,2263261.01,-33.448753357
526780.01,2263361.01,-33.381626129
526780.01,2263461.01,-33.087364197
526880.01,2261361.01,-30.540994644
526880.01,2261461.01,-30.458293915
526880.01,2261561.01,-30.595720291
526880.01,2261661.01,-31.269420624
526880.01,2261761.01,-32.50579071
526880.01,2261861.01,-33.178798676
526880.01,2261961.01,-32.67375946
526880.01,2262061.01,-32.02532196
526880.01,2262161.01,-31.317874908
526880.01,2262261.01,-31.154918671
526880.01,2262361.01,-31.247642517
526880.01,2262461.01,-31.529817581
526880.01,2262561.01,-31.995731354
526880.01,2262661.01,-32.661705017
526880.01,2262761.01,-32.983524323
526880.01,2262861.01,-33.530841827
526880.01,2262961.01,-34.28478241
526880.01,2263061.01,-34.075164795
526880.01,2263161.01,-34.097015381
526880.01,2263261.01,-33.84198761
526880.01,2263361.01,-33.622535706
526880.01,2263461.01,-32.954662323
526880.01,2263561.01,-32.501331329
526880.01,2263661.01,-32.827430725
526880.01,2263761.01,-33.434234619
526880.01,2263861.01,-32.016933441
526880.01,2263961.01,-30.463380814
526880.01,2264061.01,-25.849740982
526880.01,2264161.01,-27.945203781
526880.01,2264261.01,-31.264438629
526880.01,2264361.01,-31.89298439
526880.01,2264461.01,-30.427537918
526980.01,2261361.01,-30.158454895
526980.01,2261461.01,-30.13253212
526980.01,2261561.01,-30.640130997
526980.01,2261661.01,-31.442825317
526980.01,2261761.01,-32.337020874
526980.01,2261861.01,-33.333152771
526980.01,2261961.01,-33.122657776
526980.01,2262061.01,-32.984516144
526980.01,2262161.01,-32.586029053
526980.01,2262261.01,-32.288097382
526980.01,2262361.01,-32.064971924
