"X","Y","H03_TCraie (TWT)"
526580.01,2261461.01,-19.935406744
526580.01,2261561.01,-19.46019195
526580.01,2261661.01,-19.098468125
526680.01,2261461.01,-19.631084055
526680.01,2261561.01,-19.252892584
526680.01,2261661.01,-19.414722919
526680.01,2261761.01,-19.564652815
526680.01,2261861.01,-19.30914633
526680.01,2261961.01,-18.323531374
526680.01,2262061.01,-17.602598295
526680.01,2262161.01,-16.763659194
526680.01,2262261.01,-16.335545108
526680.01,2262361.01,-16.387153417
526680.01,2262461.01,-16.606992111
526680.01,2262561.01,-16.872685403
526780.01,2261361.01,-21.009603515
526780.01,2261461.01,-20.105341449
526780.01,2261561.01,-19.334930927
526780.01,2261661.01,-19.421599805
526780.01,2261761.01,-19.987478852
526780.01,2261861.01,-19.925763831
526780.01,2261961.01,-18.984954804
526780.01,2262061.01,-18.123624846
526780.01,2262161.01,-17.158290371
526780.01,2262261.01,-16.709683463
526780.01,2262361.01,-16.787631437
526780.01,2262461.01,-17.036465928
526780.01,2262561.01,-17.456065863
526780.01,2262661.01,-17.879823223
526780.01,2262761.01,-18.089672551
526780.01,2262861.01,-18.705470487
526780.01,2262961.01,-19.321508706
526780.01,2263061.01,-19.107753411
526780.01,2263161.01,-18.770694733
526780.01,2263261.01,-18.549447879
526780.01,2263361.01,-18.263479695
526780.01,2263461.01,-17.727877945
526880.01,2261361.01,-21.388376132
526880.01,2261461.01,-20.568696782
526880.01,2261561.01,-19.942132756
526880.01,2261661.01,-19.819715992
526880.01,2261761.01,-20.230108872
526880.01,2261861.01,-19.870813936
526880.01,2261961.01,-19.066076726
526880.01,2262061.01,-18.276194111
526880.01,2262161.01,-17.37206243
526880.01,2262261.01,-17.035022378
526880.01,2262361.01,-17.010265961
526880.01,2262461.01,-17.223782837
526880.01,2262561.01,-17.656940967
526880.01,2262661.01,-18.310526386
526880.01,2262761.01,-18.592663109
526880.01,2262861.01,-18.433332443
526880.01,2262961.01,-18.344702199
526880.01,2263061.01,-18.3132682
526880.01,2263161.01,-18.323738128
526880.01,2263261.01,-18.360028043
526880.01,2263361.01,-18.406193703
526880.01,2263461.01,-17.876623198
526880.01,2263561.01,-17.215026543
526880.01,2263661.01,-17.325010151
526880.01,2263761.01,-17.721496522
526880.01,2263861.01,-16.118468717
526880.01,2263961.01,-14.428585768
526880.01,2264061.01,-11.979149655
526880.01,2264161.01,-12.95021642
526880.01,2264261.01,-15.40659368
526880.01,2264361.01,-16.348470002
526880.01,2264461.01,-15.305252746
526980.01,2261361.01,-21.658822894
526980.01,2261461.01,-20.866453648
526980.01,2261561.01,-20.571528003
526980.01,2261661.01,-20.53017728
526980.01,2261761.01,-20.54220438
526980.01,2261861.01,-20.252283663
526980.01,2261961.01,-19.144143909
526980.01,2262061.01,-18.6299216
526980.01,2262161.01,-18.017679453
526980.01,2262261.01,-17.581038177
526980.01,2262361.01,-17.292715609
526980.01,2262461.01,-17.458826303
526980.01,2262561.01,-17.863888294
526980.01,2262661.01,-17.740339041
526980.01,2262761.01,-17.525356263
526980.01,2262861.01,-17.400829121
526980.01,2262961.01,-17.353290692
526980.01,2263061.01,-17.366245389
526980.01,2263161.01,-17.421431839
526980.01,2263261.01,-17.500035465
526980.01,2263361.01,-17.456956208
526980.01,2263461.01,-17.50937663
526980.01,2263561.01,-17.528779805
526980.01,2263661.01,-17.370233312
526980.01,2263761.01,-17.322232947
526980.01,2263861.01,-14.969144948
526980.01,2263961.01,-14.142130502
526980.01,2264061.01,-11.750038713
526980.01,2264161.01,-12.92487327
526980.01,2264261.01,-16.244515777
526980.01,2264361.01,-16.023172066
526980.01,2264461.01,-15.596421435
526980.01,2264561.01,-14.218160883
526980.01,2264661.01,-11.588488705
526980.01,2264761.01,-12.506307103
526980.01,2264861.01,-13.827851973
526980.01,2264961.01,-13.475334272
526980.01,2265061.01,-13.173125684
526980.01,2265161.01,-12.932094745
526980.01,2265261.01,-12.764664367
526980.01,2265361.01,-12.686043046
527080.01,2261261.01,-23.131834343
527080.01,2261361.01,-22.023573518
527080.01,2261461.01,-21.163800731
527080.01,2261561.01,-20.781904459
527080.01,2261661.01,-21.007400006
527080.01,2261761.01,-20.7986366
527080.01,2261861.01,-20.97771503
527080.01,2261961.01,-20.583547652
527080.01,2262061.01,-19.587539136
527080.01,2262161.01,-18.629299477
527080.01,2262261.01,-18.194887787
527080.01,2262361.01,-17.675606534
527080.01,2262461.01,-17.334058881
527080.01,2262561.01,-16.919339076
527080.01,2262661.01,-16.62340574
527080.01,2262761.01,-16.440281644
527080.01,2262861.01,-16.357870772
527080.01,2262961.01,-16.359342262
527080.01,2263061.01,-16.424685717
527080.01,2263161.01,-16.580875963
527080.01,2263261.01,-16.563244164
527080.01,2263361.01,-16.674181446
527080.01,2263461.01,-16.765300184
527080.01,2263561.01,-16.819752753
527080.01,2263661.01,-16.823478043
527080.01,2263761.01,-16.76559262
527080.01,2263861.01,-15.201712959
527080.01,2263961.01,-13.507319614
527080.01,2264061.01,-11.831632815
527080.01,2264161.01,-12.943049893
527080.01,2264261.01,-15.549704432
527080.01,2264361.01,-15.090894885
527080.01,2264461.01,-14.595660381
527080.01,2264561.01,-14.080256224
527080.01,2264661.01,-13.112490997
527080.01,2264761.01,-13.003739528
527080.01,2264861.01,-12.541026808
527080.01,2264961.01,-12.121892534
527080.01,2265061.01,-11.756941676
527080.01,2265161.01,-11.456241831
527080.01,2265261.01,-11.232040823
527080.01,2265361.01,-11.101322249
527080.01,2265461.01,-11.08627487
527080.01,2265561.01,-11.211331934
527080.01,2265661.01,-11.496949941
527080.01,2265761.01,-12.152590789
527180.01,2261261.01,-23.589599878
527180.01,2261361.01,-22.528255358
527180.01,2261461.01,-21.583683789
527180.01,2261561.01,-21.047161892
527180.01,2261661.01,-21.003721282
527180.01,2261761.01,-21.57895267
527180.01,2261861.01,-21.928759292
527180.01,2261961.01,-21.745802835
527180.01,2262061.01,-20.805969834
527180.01,2262161.01,-19.253863022
527180.01,2262261.01,-17.669565976
527180.01,2262361.01,-16.726989299
527180.01,2262461.01,-16.170566902
527180.01,2262561.01,-15.763085335
527180.01,2262661.01,-15.491982922
527180.01,2262761.01,-15.348630957
527180.01,2262861.01,-15.317272395
527180.01,2262961.01,-15.412886627
527180.01,2263061.01,-15.545810573
527180.01,2263161.01,-15.59972018
527180.01,2263261.01,-15.770450234
527180.01,2263361.01,-15.934241936
527180.01,2263461.01,-16.069736332
527180.01,2263561.01,-16.1583554
527180.01,2263661.01,-16.184648499
527180.01,2263761.01,-16.260130331
527180.01,2263861.01,-15.171796083
527180.01,2263961.01,-14.085507952
527180.01,2264061.01,-12.977639213
527180.01,2264161.01,-14.327381738
527180.01,2264261.01,-14.740919694
527180.01,2264361.01,-14.216282405
527180.01,2264461.01,-13.647217304
527180.01,2264561.01,-13.053169474
527180.01,2264661.01,-12.455265969
527180.01,2264761.01,-11.817657389
527180.01,2264861.01,-11.287966743
527180.01,2264961.01,-10.801076889
527180.01,2265061.01,-10.373177007
527180.01,2265161.01,-10.012046434
527180.01,2265261.01,-9.728389792
527180.01,2265361.01,-9.540699422
527180.01,2265461.01,-9.477240033
527180.01,2265561.01,-9.712938219
527180.01,2265661.01,-10.004357435
527180.01,2265761.01,-10.493017733
527180.01,2265861.01,-11.169147678
527280.01,2261261.01,-23.870371282
527280.01,2261361.01,-23.212872446
527280.01,2261461.01,-22.395024076
527280.01,2261561.01,-21.616287529
527280.01,2261661.01,-21.908733994
527280.01,2261761.01,-22.592369467
527280.01,2261861.01,-23.096289486
527280.01,2261961.01,-22.512098774
527280.01,2262061.01,-20.795950666
527280.01,2262161.01,-19.110690802
527280.01,2262261.01,-17.501305789
527280.01,2262361.01,-16.093336046
527280.01,2262461.01,-15.017716214
527280.01,2262561.01,-14.614889398
527280.01,2262661.01,-14.357807115
527280.01,2262761.01,-14.264279976
527280.01,2262861.01,-14.324013144
527280.01,2262961.01,-14.458502643
527280.01,2263061.01,-14.568778686
527280.01,2263161.01,-14.794126153
527280.01,2263261.01,-15.031175688
527280.01,2263361.01,-15.253899619
527280.01,2263461.01,-15.438950621
527280.01,2263561.01,-15.668826178
527280.01,2263661.01,-15.716534108
527280.01,2263761.01,-15.677034855
527280.01,2263861.01,-15.334082767
527280.01,2263961.01,-14.163408428
527280.01,2264061.01,-12.993731536
527280.01,2264161.01,-14.530997723
527280.01,2264261.01,-14.008618891
527280.01,2264361.01,-13.413349167
527280.01,2264461.01,-12.764308602
527280.01,2264561.01,-12.084659189
527280.01,2264661.01,-11.400165036
527280.01,2264761.01,-10.686322115
527280.01,2264861.01,-10.074746795
527280.01,2264961.01,-9.525215253
527280.01,2265061.01,-9.001707658
527280.01,2265161.01,-8.586792275
527280.01,2265261.01,-8.248170838
527280.01,2265361.01,-8.115662262
527280.01,2265461.01,-8.003642783
527280.01,2265561.01,-8.072448894
527280.01,2265661.01,-8.362642489
527280.01,2265761.01,-8.731053211
527280.01,2265861.01,-9.451036341
527380.01,2261161.01,-24.162527174
527380.01,2261261.01,-23.96835573
527380.01,2261361.01,-23.633072153
527380.01,2261461.01,-23.014429957
527380.01,2261561.01,-22.345133126
527380.01,2261661.01,-23.052277043
527380.01,2261761.01,-23.526659235
527380.01,2261861.01,-23.982329294
527380.01,2261961.01,-22.634144872
527380.01,2262061.01,-20.811870694
527380.01,2262161.01,-18.952239305
527380.01,2262261.01,-17.314001918
527380.01,2262361.01,-15.811063349
527380.01,2262461.01,-14.491058886
527380.01,2262561.01,-13.44931405
527380.01,2262661.01,-13.263254426
527380.01,2262761.01,-13.238395564
527380.01,2262861.01,-13.338416815
527380.01,2262961.01,-13.482620008
527380.01,2263061.01,-13.750451617
527380.01,2263161.01,-14.054652303
527380.01,2263261.01,-14.297651127
527380.01,2263361.01,-14.575476758
527380.01,2263461.01,-14.885472134
527380.01,2263561.01,-15.04635904
527380.01,2263661.01,-15.122967772
527380.01,2263761.01,-15.100959688
527380.01,2263861.01,-14.970015734
527380.01,2263961.01,-14.188803732
527380.01,2264061.01,-13.841659762
527380.01,2264161.01,-13.952814974
527380.01,2264261.01,-13.368511572
527380.01,2264361.01,-12.697535567
527380.01,2264461.01,-11.961748824
527380.01,2264561.01,-11.188516393
527380.01,2264661.01,-10.370718315
527380.01,2264761.01,-9.576862678
527380.01,2264861.01,-8.88949167
527380.01,2264961.01,-8.279567584
527380.01,2265061.01,-7.739680819
527380.01,2265161.01,-7.270608097
527380.01,2265261.01,-6.954332348
527380.01,2265361.01,-6.638084538
527380.01,2265461.01,-6.456619594
527380.01,2265561.01,-6.453322247
527380.01,2265661.01,-6.689257454
527380.01,2265761.01,-7.260639686
527380.01,2265861.01,-8.053063415
527380.01,2265961.01,-9.005630389
527480.01,2261161.01,-24.341627955
527480.01,2261261.01,-24.584800005
527480.01,2261361.01,-24.228693917
527480.01,2261461.01,-23.34347181
527480.01,2261561.01,-22.941252217
527480.01,2261661.01,-23.424955085
527480.01,2261761.01,-23.988373578
527480.01,2261861.01,-24.7028023
527480.01,2261961.01,-22.803518921
527480.01,2262061.01,-20.878318697
527480.01,2262161.01,-18.923467025
527480.01,2262261.01,-17.173303291
527480.01,2262361.01,-15.575051308
527480.01,2262461.01,-14.186805114
527480.01,2262561.01,-13.138642535
527480.01,2262661.01,-12.237343937
527480.01,2262761.01,-12.236990035
527480.01,2262861.01,-12.356831692
527480.01,2262961.01,-12.630960904
527480.01,2263061.01,-12.973878533
527480.01,2263161.01,-13.336175121
527480.01,2263261.01,-13.770808466
527480.01,2263361.01,-14.111453667
527480.01,2263461.01,-14.39697668
527480.01,2263561.01,-14.604692347
527480.01,2263661.01,-14.715371653
527480.01,2263761.01,-14.713471755
527480.01,2263861.01,-14.587489888
527480.01,2263961.01,-13.567570597
527480.01,2264061.01,-13.940188102
527480.01,2264161.01,-13.420599513
527480.01,2264261.01,-12.781650759
527480.01,2264361.01,-11.990971863
527480.01,2264461.01,-11.172609404
527480.01,2264561.01,-10.307510383
527480.01,2264661.01,-9.470529854
527480.01,2264761.01,-8.588057943
527480.01,2264861.01,-7.821718231
527480.01,2264961.01,-7.15003768
527480.01,2265061.01,-6.635798607
527480.01,2265161.01,-6.126719993
527480.01,2265261.01,-5.671346094
527480.01,2265361.01,-5.228285678
527480.01,2265461.01,-4.978809506
527480.01,2265561.01,-4.946141969
527480.01,2265661.01,-5.290253554
527480.01,2265761.01,-5.950317718
527480.01,2265861.01,-6.82508992
527480.01,2265961.01,-7.835044526
527580.01,2261161.01,-24.664165452
527580.01,2261261.01,-25.069534779
527580.01,2261361.01,-24.788787588
527580.01,2261461.01,-24.018524215
527580.01,2261561.01,-23.426286876
527580.01,2261661.01,-23.625114933
527580.01,2261761.01,-24.346355349
527580.01,2261861.01,-24.997228757
527580.01,2261961.01,-23.013338447
527580.01,2262061.01,-20.991984755
527580.01,2262161.01,-19.047657028
527580.01,2262261.01,-17.167411745
527580.01,2262361.01,-15.454673208
527580.01,2262461.01,-14.012658969
527580.01,2262561.01,-12.834925205
527580.01,2262661.01,-11.955626309
527580.01,2262761.01,-11.25519257
527580.01,2262861.01,-11.515727267
527580.01,2262961.01,-11.892566457
527580.01,2263061.01,-12.332285754
527580.01,2263161.01,-12.836623937
527580.01,2263261.01,-13.286616653
527580.01,2263361.01,-13.681741431
527580.01,2263461.01,-14.026712626
527580.01,2263561.01,-14.282694086
527580.01,2263661.01,-14.429417439
527580.01,2263761.01,-14.45012074
527580.01,2263861.01,-14.33186233
527580.01,2263961.01,-14.066082425
527580.01,2264061.01,-13.920653611
527580.01,2264161.01,-13.592808507
527580.01,2264261.01,-13.111105189
527580.01,2264361.01,-12.399123982
527580.01,2264461.01,-11.46192383
527580.01,2264561.01,-10.329437442
527580.01,2264661.01,-9.067829698
527580.01,2264761.01,-7.73335807
527580.01,2264861.01,-6.838430185
527580.01,2264961.01,-6.178562529
527580.01,2265061.01,-5.595328752
527580.01,2265161.01,-5.031353794
527580.01,2265261.01,-4.573464859
527580.01,2265361.01,-4.128748085
527580.01,2265461.01,-3.778574988
527580.01,2265561.01,-3.742273897
527580.01,2265661.01,-4.167053383
527580.01,2265761.01,-4.915681202
527580.01,2265861.01,-5.835959222
527580.01,2265961.01,-6.854155101
527580.01,2266061.01,-7.967323065
527680.01,2261061.01,-25.320185348
527680.01,2261161.01,-25.236120448
527680.01,2261261.01,-25.347530842
527680.01,2261361.01,-24.857116863
527680.01,2261461.01,-24.669695646
527680.01,2261561.01,-24.336136878
527680.01,2261661.01,-24.324258789
527680.01,2261761.01,-25.104045868
527680.01,2261861.01,-25.425020605
527680.01,2261961.01,-23.358652368
527680.01,2262061.01,-21.160181612
527680.01,2262161.01,-19.088834524
527680.01,2262261.01,-17.10003987
527680.01,2262361.01,-15.314333141
527680.01,2262461.01,-13.797545806
527680.01,2262561.01,-12.607128359
527680.01,2262661.01,-11.6872238
527680.01,2262761.01,-11.112440377
527680.01,2262861.01,-10.813525878
527680.01,2262961.01,-11.294905096
527680.01,2263061.01,-11.850073934
527680.01,2263161.01,-12.395679019
527680.01,2263261.01,-12.923097238
527680.01,2263361.01,-13.402097858
527680.01,2263461.01,-13.805606402
527680.01,2263561.01,-14.091383666
527680.01,2263661.01,-14.275581576
527680.01,2263761.01,-14.353072271
527680.01,2263861.01,-14.692090452
527680.01,2263961.01,-14.843815938
527680.01,2264061.01,-14.840204269
527680.01,2264161.01,-14.618041925
527680.01,2264261.01,-14.152150601
527680.01,2264361.01,-13.424457982
527680.01,2264461.01,-12.429009192
527680.01,2264561.01,-11.18335221
527680.01,2264661.01,-9.768054821
527680.01,2264761.01,-8.236252703
527680.01,2264861.01,-6.901805289
527680.01,2264961.01,-5.6807613
527680.01,2265061.01,-4.787051119
527680.01,2265161.01,-4.330315627
527680.01,2265261.01,-3.923228011
527680.01,2265361.01,-3.504077671
527680.01,2265461.01,-3.213073593
527680.01,2265561.01,-3.148800228
527680.01,2265661.01,-3.593101399
527680.01,2265761.01,-4.317534622
527680.01,2265861.01,-5.184400361
527680.01,2265961.01,-6.137624849
527680.01,2266061.01,-7.154157385
527680.01,2266161.01,-8.223259822
527780.01,2261061.01,-25.861868635
527780.01,2261161.01,-25.60817264
527780.01,2261261.01,-25.485362858
527780.01,2261361.01,-25.239601731
527780.01,2261461.01,-25.196764618
527780.01,2261561.01,-25.454530492
527780.01,2261661.01,-25.718282908
527780.01,2261761.01,-26.519980282
527780.01,2261861.01,-25.703419
527780.01,2261961.01,-23.583106697
527780.01,2262061.01,-21.336907521
527780.01,2262161.01,-19.174894318
527780.01,2262261.01,-17.092341557
527780.01,2262361.01,-15.214641578
527780.01,2262461.01,-13.659187593
527780.01,2262561.01,-12.435523793
527780.01,2262661.01,-11.588728055
527780.01,2262761.01,-11.073822156
527780.01,2262861.01,-10.854326189
527780.01,2262961.01,-10.878126137
527780.01,2263061.01,-11.492007412
527780.01,2263161.01,-12.113634497
527780.01,2263261.01,-12.70957198
527780.01,2263361.01,-13.250178657
527780.01,2263461.01,-13.708339073
527780.01,2263561.01,-14.06883914
527780.01,2263661.01,-14.701228589
527780.01,2263761.01,-15.204883181
527780.01,2263861.01,-15.629261732
527780.01,2263961.01,-15.88932611
527780.01,2264061.01,-15.948919579
527780.01,2264161.01,-15.775054693
527780.01,2264261.01,-15.355068259
527780.01,2264361.01,-14.630484395
527780.01,2264461.01,-13.602540828
527780.01,2264561.01,-12.270313688
527780.01,2264661.01,-10.724133812
527780.01,2264761.01,-8.937441744
527780.01,2264861.01,-7.334761787
527780.01,2264961.01,-6.004876923
527780.01,2265061.01,-4.963538609
527780.01,2265161.01,-4.206911661
527780.01,2265261.01,-3.849201836
527780.01,2265361.01,-3.564425977
527780.01,2265461.01,-3.349978477
527780.01,2265561.01,-3.345151199
527780.01,2265661.01,-3.631595988
527780.01,2265761.01,-4.160789773
527780.01,2265861.01,-4.852253478
527780.01,2265961.01,-5.655555055
527780.01,2266061.01,-6.544300355
527780.01,2266161.01,-7.504497189
527880.01,2261061.01,-26.031607762
527880.01,2261161.01,-25.783615187
527880.01,2261261.01,-25.681266561
527880.01,2261361.01,-25.878768414
527880.01,2261461.01,-25.827458128
527880.01,2261561.01,-26.343176141
527880.01,2261661.01,-26.979042217
527880.01,2261761.01,-27.1820575
527880.01,2261861.01,-25.948541239
527880.01,2261961.01,-23.79043214
527880.01,2262061.01,-21.51960507
527880.01,2262161.01,-19.29538697
527880.01,2262261.01,-17.133574933
527880.01,2262361.01,-15.194443986
527880.01,2262461.01,-13.59935943
527880.01,2262561.01,-12.421228923
527880.01,2262661.01,-11.623363942
527880.01,2262761.01,-11.152400635
527880.01,2262861.01,-10.996747762
527880.01,2262961.01,-11.086008511
527880.01,2263061.01,-11.41464524
527880.01,2263161.01,-12.000485323
527880.01,2263261.01,-12.651102617
527880.01,2263361.01,-13.296615332
527880.01,2263461.01,-14.072249644
527880.01,2263561.01,-14.871366322
527880.01,2263661.01,-15.598439611
527880.01,2263761.01,-16.234269366
527880.01,2263861.01,-16.689958051
527880.01,2263961.01,-17.038328573
527880.01,2264061.01,-16.976568848
527880.01,2264161.01,-17.037019134
527880.01,2264261.01,-16.635900363
527880.01,2264361.01,-15.930339694
527880.01,2264461.01,-14.898258261
527880.01,2264561.01,-13.560318388
527880.01,2264661.01,-11.82434056
527880.01,2264761.01,-9.91017092
527880.01,2264861.01,-8.104680106
527880.01,2264961.01,-6.603803486
527880.01,2265061.01,-5.420846399
527880.01,2265161.01,-4.495506175
527880.01,2265261.01,-4.286284093
527880.01,2265361.01,-4.075373057
527880.01,2265461.01,-3.905297024
527880.01,2265561.01,-3.846602049
527880.01,2265661.01,-3.960397094
527880.01,2265761.01,-4.261232447
527880.01,2265861.01,-4.742237274
527880.01,2265961.01,-5.348669365
527880.01,2266061.01,-6.068655755
527880.01,2266161.01,-6.961132865
527880.01,2266261.01,-7.876363583
527980.01,2260961.01,-26.380648836
527980.01,2261061.01,-26.172276586
527980.01,2261161.01,-26.051599532
527980.01,2261261.01,-26.383396238
527980.01,2261361.01,-26.573931798
527980.01,2261461.01,-26.840426028
527980.01,2261561.01,-27.380716056
527980.01,2261661.01,-27.964159846
527980.01,2261761.01,-27.562238276
527980.01,2261861.01,-26.130821556
527980.01,2261961.01,-23.89135398
527980.01,2262061.01,-21.667169407
527980.01,2262161.01,-19.420268014
527980.01,2262261.01,-17.240649089
527980.01,2262361.01,-15.271054581
527980.01,2262461.01,-13.703138568
527980.01,2262561.01,-12.558983639
527980.01,2262661.01,-11.758591048
527980.01,2262761.01,-11.353326961
527980.01,2262861.01,-11.261948384
527980.01,2262961.01,-11.442964897
527980.01,2263061.01,-11.831927113
527980.01,2263161.01,-12.424097396
527980.01,2263261.01,-13.154988177
527980.01,2263361.01,-13.977930881
527980.01,2263461.01,-14.893481508
527980.01,2263561.01,-15.758527443
527980.01,2263661.01,-16.580240801
527980.01,2263761.01,-17.299616709
527980.01,2263861.01,-17.879126593
527980.01,2263961.01,-18.148919567
527980.01,2264061.01,-17.980594188
527980.01,2264161.01,-18.337391317
527980.01,2264261.01,-17.971087247
527980.01,2264361.01,-17.285300419
527980.01,2264461.01,-16.291417181
527980.01,2264561.01,-14.887329191
527980.01,2264661.01,-13.118062168
527980.01,2264761.01,-11.12778578
527980.01,2264861.01,-9.190722369
527980.01,2264961.01,-7.516110316
527980.01,2265061.01,-6.107558496
527980.01,2265161.01,-5.228550173
527980.01,2265261.01,-4.988879897
527980.01,2265361.01,-4.750483669
527980.01,2265461.01,-4.538477864
527980.01,2265561.01,-4.393486772
527980.01,2265661.01,-4.35929466
527980.01,2265761.01,-4.465237726
527980.01,2265861.01,-4.720291123
527980.01,2265961.01,-5.138991866
527980.01,2266061.01,-5.736409221
527980.01,2266161.01,-6.402666681
527980.01,2266261.01,-7.179791573
528080.01,2260961.01,-26.495540515
528080.01,2261061.01,-26.373740286
528080.01,2261161.01,-26.498366147
528080.01,2261261.01,-27.090428397
528080.01,2261361.01,-27.25960128
528080.01,2261461.01,-27.598749846
528080.01,2261561.01,-28.09515968
528080.01,2261661.01,-28.230411932
528080.01,2261761.01,-27.510894462
528080.01,2261861.01,-26.227844879
528080.01,2261961.01,-23.997362703
528080.01,2262061.01,-21.769139916
528080.01,2262161.01,-19.540242851
528080.01,2262261.01,-17.410568893
528080.01,2262361.01,-15.486729331
528080.01,2262461.01,-13.958780095
528080.01,2262561.01,-12.84381561
528080.01,2262661.01,-12.049454264
528080.01,2262761.01,-11.690295301
528080.01,2262861.01,-11.653540656
528080.01,2262961.01,-11.897130869
528080.01,2263061.01,-12.376897037
528080.01,2263161.01,-13.02523911
528080.01,2263261.01,-13.901979662
528080.01,2263361.01,-14.808297157
528080.01,2263461.01,-15.76474309
528080.01,2263561.01,-16.712848097
528080.01,2263661.01,-17.609015107
528080.01,2263761.01,-18.405579031
528080.01,2263861.01,-19.056269899
528080.01,2263961.01,-19.00749281
528080.01,2264061.01,-18.834978342
528080.01,2264161.01,-19.662175328
528080.01,2264261.01,-19.323134795
528080.01,2264361.01,-18.706828356
528080.01,2264461.01,-17.655204982
528080.01,2264561.01,-16.23130776
528080.01,2264661.01,-14.468953945
528080.01,2264761.01,-12.475125492
528080.01,2264861.01,-10.54244861
528080.01,2264961.01,-8.720435202
528080.01,2265061.01,-7.115754765
528080.01,2265161.01,-6.186392624
528080.01,2265261.01,-5.851041526
528080.01,2265361.01,-5.534633528
528080.01,2265461.01,-5.23928972
528080.01,2265561.01,-4.992862698
528080.01,2265661.01,-4.827007651
528080.01,2265761.01,-4.771202337
528080.01,2265861.01,-4.846211523
528080.01,2265961.01,-5.113061983
528080.01,2266061.01,-5.480548367
528080.01,2266161.01,-6.013854872
528080.01,2266261.01,-6.658432074
528080.01,2266361.01,-7.428183686
528180.01,2260961.01,-26.400480419
528180.01,2261061.01,-26.444708928
528180.01,2261161.01,-26.599355042
528180.01,2261261.01,-27.547752485
528180.01,2261361.01,-27.811281383
528180.01,2261461.01,-27.924727648
528180.01,2261561.01,-28.288176283
528180.01,2261661.01,-27.9053431
528180.01,2261761.01,-27.195325121
528180.01,2261861.01,-26.220494881
528180.01,2261961.01,-24.028293788
528180.01,2262061.01,-21.826293319
528180.01,2262161.01,-19.655361772
528180.01,2262261.01,-17.567489296
528180.01,2262361.01,-15.762403607
528180.01,2262461.01,-14.300151728
528180.01,2262561.01,-13.130930252
528180.01,2262661.01,-12.449878268
528180.01,2262761.01,-12.133526616
528180.01,2262861.01,-12.145687826
528180.01,2262961.01,-12.445067056
528180.01,2263061.01,-12.987161055
528180.01,2263161.01,-13.783924282
528180.01,2263261.01,-14.671820216
528180.01,2263361.01,-15.652853996
528180.01,2263461.01,-16.680773348
528180.01,2263561.01,-17.704999074
528180.01,2263661.01,-18.675243482
528180.01,2263761.01,-19.541958347
528180.01,2263861.01,-20.256882533
528180.01,2263961.01,-20.55866085
528180.01,2264061.01,-20.243111998
528180.01,2264161.01,-21.040765569
528180.01,2264261.01,-20.756438375
528180.01,2264361.01,-20.069187507
528180.01,2264461.01,-19.083889201
528180.01,2264561.01,-17.657700926
528180.01,2264661.01,-15.926789492
528180.01,2264761.01,-13.936946169
528180.01,2264861.01,-11.921459809
528180.01,2264961.01,-9.979589842
528180.01,2265061.01,-8.187402971
528180.01,2265161.01,-7.135155611
528180.01,2265261.01,-6.675027777
528180.01,2265361.01,-6.240507588
528180.01,2265461.01,-5.827033892
528180.01,2265561.01,-5.454585887
528180.01,2265661.01,-5.146971438
528180.01,2265761.01,-4.930751864
528180.01,2265861.01,-4.87396447
528180.01,2265961.01,-4.914418794
528180.01,2266061.01,-5.102545954
528180.01,2266161.01,-5.44374017
528180.01,2266261.01,-5.937390495
528180.01,2266361.01,-6.608195137
528280.01,2260861.01,-25.706663728
528280.01,2260961.01,-26.240747422
528280.01,2261061.01,-26.998698711
528280.01,2261161.01,-27.062866837
528280.01,2261261.01,-27.847182006
