"X","Y","H04_Cenom (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,68.9161682
526680.01,2261461.01,-9999
526680.01,2261561.01,68.4828739
526680.01,2261661.01,68.8252563
526680.01,2261761.01,74.4618683
526680.01,2261861.01,81.6308136
526680.01,2261961.01,85.5436401
526680.01,2262061.01,-9999
526680.01,2262161.01,91.4038086
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,71.9811058
526780.01,2261661.01,74.052578
526780.01,2261761.01,81.3200912
526780.01,2261861.01,86.7405663
526780.01,2261961.01,89.5412979
526780.01,2262061.01,91.5341721
526780.01,2262161.01,93.4180679
526780.01,2262261.01,94.8056412
526780.01,2262361.01,95.9457092
526780.01,2262461.01,96.9341812
526780.01,2262561.01,97.7768631
526780.01,2262661.01,98.5782089
526780.01,2262761.01,99.1174011
526780.01,2262861.01,99.364193
526780.01,2262961.01,99.7469406
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,74.9386063
526880.01,2261561.01,75.1329613
526880.01,2261661.01,78.2603264
526880.01,2261761.01,84.5206833
526880.01,2261861.01,91.3140717
526880.01,2261961.01,93.2487755
526880.01,2262061.01,95.144516
526880.01,2262161.01,97.1593132
526880.01,2262261.01,99.0071945
526880.01,2262361.01,99.6463737
526880.01,2262461.01,99.6150436
526880.01,2262561.01,100.998192
526880.01,2262661.01,100.591354
526880.01,2262761.01,99.8898849
526880.01,2262861.01,100.033379
526880.01,2262961.01,99.6966858
526880.01,2263061.01,100.210968
526880.01,2263161.01,100.822323
526880.01,2263261.01,102.896454
526880.01,2263361.01,104.033447
526880.01,2263461.01,104.259315
526880.01,2263561.01,105.309662
526880.01,2263661.01,106.927032
526880.01,2263761.01,107.966099
526880.01,2263861.01,-9999
526880.01,2263961.01,114.24231
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,76.3859138
526980.01,2261561.01,77.2175827
526980.01,2261661.01,80.7788258
526980.01,2261761.01,86.2316895
526980.01,2261861.01,88.6670647
526980.01,2261961.01,92.4491577
526980.01,2262061.01,95.3496857
526980.01,2262161.01,99.0090332
526980.01,2262261.01,101.49081
526980.01,2262361.01,104.479668
526980.01,2262461.01,105.42128
526980.01,2262561.01,105.984257
526980.01,2262661.01,107.479645
526980.01,2262761.01,107.18169
526980.01,2262861.01,107.035393
526980.01,2262961.01,104.282763
526980.01,2263061.01,101.464066
526980.01,2263161.01,101.521961
526980.01,2263261.01,102.911713
526980.01,2263361.01,104.46917
526980.01,2263461.01,104.4729
526980.01,2263561.01,104.023705
526980.01,2263661.01,104.17667
526980.01,2263761.01,106.601799
526980.01,2263861.01,109.188602
526980.01,2263961.01,112.793816
526980.01,2264061.01,114.263184
526980.01,2264161.01,113.670776
526980.01,2264261.01,107.885662
526980.01,2264361.01,103.694359
526980.01,2264461.01,105.447891
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,75.5450287
527080.01,2261461.01,77.0763283
527080.01,2261561.01,77.9693527
527080.01,2261661.01,80.7446861
527080.01,2261761.01,85.1458359
527080.01,2261861.01,87.0403194
527080.01,2261961.01,90.1485672
527080.01,2262061.01,94.1768093
527080.01,2262161.01,94.8300552
527080.01,2262261.01,97.8305779
527080.01,2262361.01,100.972969
527080.01,2262461.01,102.704559
527080.01,2262561.01,102.551918
527080.01,2262661.01,103.059429
527080.01,2262761.01,106.02512
527080.01,2262861.01,106.235069
527080.01,2262961.01,108.034325
527080.01,2263061.01,106.91008
527080.01,2263161.01,105.383383
527080.01,2263261.01,103.92683
527080.01,2263361.01,103.956156
527080.01,2263461.01,103.70475
527080.01,2263561.01,102.48624
527080.01,2263661.01,101.693611
527080.01,2263761.01,100.278301
527080.01,2263861.01,104.323544
527080.01,2263961.01,105.183201
527080.01,2264061.01,105.950249
527080.01,2264161.01,109.288445
527080.01,2264261.01,103.823872
527080.01,2264361.01,103.374657
527080.01,2264461.01,105.485884
527080.01,2264561.01,108.550663
527080.01,2264661.01,111.84617
527080.01,2264761.01,114.021561
527080.01,2264861.01,116.47974
527080.01,2264961.01,118.312454
527080.01,2265061.01,118.987621
527080.01,2265161.01,119.348206
527080.01,2265261.01,118.889393
527080.01,2265361.01,118.39555
527080.01,2265461.01,117.616608
527080.01,2265561.01,116.717247
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,75.59935
527180.01,2261461.01,76.6917496
527180.01,2261561.01,77.7753544
527180.01,2261661.01,80.3275223
527180.01,2261761.01,85.9632034
527180.01,2261861.01,87.8349838
527180.01,2261961.01,89.4443054
527180.01,2262061.01,91.1169777
527180.01,2262161.01,91.3971176
527180.01,2262261.01,93.459343
527180.01,2262361.01,94.9512177
527180.01,2262461.01,94.0613708
527180.01,2262561.01,95.305542
527180.01,2262661.01,98.4006462
527180.01,2262761.01,99.7665482
527180.01,2262861.01,103.111076
527180.01,2262961.01,104.876495
527180.01,2263061.01,104.596069
527180.01,2263161.01,103.42144
527180.01,2263261.01,103.831131
527180.01,2263361.01,103.0616
527180.01,2263461.01,102.148865
527180.01,2263561.01,101.012032
527180.01,2263661.01,99.4202957
527180.01,2263761.01,98.5816574
527180.01,2263861.01,98.9263535
527180.01,2263961.01,99.7222137
527180.01,2264061.01,99.596283
527180.01,2264161.01,103.085505
527180.01,2264261.01,101.597118
527180.01,2264361.01,102.849602
527180.01,2264461.01,106.444122
527180.01,2264561.01,110.384125
527180.01,2264661.01,113.909973
527180.01,2264761.01,115.772011
527180.01,2264861.01,117.681026
527180.01,2264961.01,118.910671
527180.01,2265061.01,119.326626
527180.01,2265161.01,119.415016
527180.01,2265261.01,118.90987
527180.01,2265361.01,118.330616
527180.01,2265461.01,117.35253
527180.01,2265561.01,116.453075
527180.01,2265661.01,115.154366
