"X","Y","H10_Portl (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,177.494614
526680.01,2261461.01,-9999
526680.01,2261561.01,178.842583
526680.01,2261661.01,178.242126
526680.01,2261761.01,179.299858
526680.01,2261861.01,180.216599
526680.01,2261961.01,180.073408
526680.01,2262061.01,-9999
526680.01,2262161.01,182.609711
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,182.713165
526780.01,2261661.01,182.094734
526780.01,2261761.01,181.297222
526780.01,2261861.01,182.78746
526780.01,2261961.01,181.439209
526780.01,2262061.01,183.016998
526780.01,2262161.01,182.655968
526780.01,2262261.01,182.84819
526780.01,2262361.01,183.023254
526780.01,2262461.01,182.954437
526780.01,2262561.01,184.207184
526780.01,2262661.01,188.631393
526780.01,2262761.01,191.610626
526780.01,2262861.01,194.345787
526780.01,2262961.01,196.613327
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,187.574593
526880.01,2261661.01,188.33606
526880.01,2261761.01,182.660141
526880.01,2261861.01,185.061722
526880.01,2261961.01,185.287365
526880.01,2262061.01,183.220383
526880.01,2262161.01,183.665092
526880.01,2262261.01,184.942551
526880.01,2262361.01,184.106033
526880.01,2262461.01,184.376907
526880.01,2262561.01,185.536083
526880.01,2262661.01,186.608086
526880.01,2262761.01,188.658619
526880.01,2262861.01,191.401749
526880.01,2262961.01,195.10524
526880.01,2263061.01,192.942413
526880.01,2263161.01,192.861099
526880.01,2263261.01,193.103657
526880.01,2263361.01,193.353104
526880.01,2263461.01,194.950565
526880.01,2263561.01,193.223938
526880.01,2263661.01,196.38295
526880.01,2263761.01,199.362366
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,192.917725
526980.01,2261561.01,194.665154
526980.01,2261661.01,198.920208
526980.01,2261761.01,202.459175
526980.01,2261861.01,206.370293
526980.01,2261961.01,202.321152
526980.01,2262061.01,198.293106
526980.01,2262161.01,193.049103
526980.01,2262261.01,213.916756
526980.01,2262361.01,212.10461
526980.01,2262461.01,211.438492
526980.01,2262561.01,217.518044
526980.01,2262661.01,212.917953
526980.01,2262761.01,202.355003
526980.01,2262861.01,202.314514
526980.01,2262961.01,189.258842
526980.01,2263061.01,189.294083
526980.01,2263161.01,191.69397
526980.01,2263261.01,191.73436
526980.01,2263361.01,191.968018
526980.01,2263461.01,193.179001
526980.01,2263561.01,191.366882
526980.01,2263661.01,193.753265
526980.01,2263761.01,200.076035
526980.01,2263861.01,201.36364
526980.01,2263961.01,203.508759
526980.01,2264061.01,207.333679
526980.01,2264161.01,209.259979
526980.01,2264261.01,213.188507
526980.01,2264361.01,215.914612
526980.01,2264461.01,220.960602
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,193.415756
527080.01,2261561.01,196.398697
527080.01,2261661.01,200.744965
527080.01,2261761.01,205.548233
527080.01,2261861.01,208.736378
527080.01,2261961.01,210.921959
527080.01,2262061.01,216.042866
527080.01,2262161.01,216.555786
527080.01,2262261.01,219.248177
527080.01,2262361.01,220.498917
527080.01,2262461.01,223.933716
527080.01,2262561.01,225.015266
527080.01,2262661.01,225.480492
527080.01,2262761.01,225.364857
527080.01,2262861.01,223.57959
527080.01,2262961.01,216.070618
527080.01,2263061.01,196.614182
527080.01,2263161.01,194.785664
527080.01,2263261.01,190.475685
527080.01,2263361.01,191.229076
527080.01,2263461.01,190.680786
527080.01,2263561.01,189.714752
527080.01,2263661.01,189.415421
527080.01,2263761.01,190.183323
527080.01,2263861.01,194.672554
527080.01,2263961.01,195.708511
527080.01,2264061.01,198.046867
527080.01,2264161.01,205.332352
527080.01,2264261.01,210.726616
527080.01,2264361.01,216.357635
527080.01,2264461.01,222.170486
527080.01,2264561.01,227.974533
527080.01,2264661.01,232.357864
527080.01,2264761.01,234.274307
527080.01,2264861.01,235.643829
527080.01,2264961.01,237.296295
527080.01,2265061.01,239.467892
527080.01,2265161.01,241.924942
527080.01,2265261.01,243.859283
527080.01,2265361.01,244.315048
527080.01,2265461.01,246.36673
527080.01,2265561.01,247.082001
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,192.024689
527180.01,2261461.01,194.088333
527180.01,2261561.01,196.367046
527180.01,2261661.01,199.771355
527180.01,2261761.01,206.969559
527180.01,2261861.01,210.114914
527180.01,2261961.01,211.032928
527180.01,2262061.01,212.394379
527180.01,2262161.01,211.141365
527180.01,2262261.01,212.604244
527180.01,2262361.01,215.114464
527180.01,2262461.01,215.663147
527180.01,2262561.01,220.469208
527180.01,2262661.01,220.559372
527180.01,2262761.01,220.03479
527180.01,2262861.01,221.484077
527180.01,2262961.01,221.788757
527180.01,2263061.01,220.489502
527180.01,2263161.01,219.7314
527180.01,2263261.01,208.608337
527180.01,2263361.01,198.654091
527180.01,2263461.01,198.845497
527180.01,2263561.01,189.903736
527180.01,2263661.01,184.801369
527180.01,2263761.01,185.725502
527180.01,2263861.01,184.79863
527180.01,2263961.01,189.343323
527180.01,2264061.01,191.704681
527180.01,2264161.01,206.88599
527180.01,2264261.01,212.774269
527180.01,2264361.01,217.149277
527180.01,2264461.01,221.524162
527180.01,2264561.01,226.283905
527180.01,2264661.01,232.122345
527180.01,2264761.01,234.705147
527180.01,2264861.01,236.903355
527180.01,2264961.01,239.505508
527180.01,2265061.01,241.49501
527180.01,2265161.01,242.937424
527180.01,2265261.01,244.138496
527180.01,2265361.01,244.470741
527180.01,2265461.01,246.656414
527180.01,2265561.01,248.105156
527180.01,2265661.01,250.648834
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,194.184868
