"X","Y","H20_Kimm (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,228.876587
526680.01,2261461.01,-9999
526680.01,2261561.01,229.363148
526680.01,2261661.01,229.060425
526680.01,2261761.01,226.46167
526680.01,2261861.01,228.15004
526680.01,2261961.01,230.688208
526680.01,2262061.01,-9999
526680.01,2262161.01,238.77803
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,230.131088
526780.01,2261661.01,227.806419
526780.01,2261761.01,225.992088
526780.01,2261861.01,227.452477
526780.01,2261961.01,229.185471
526780.01,2262061.01,234.783218
526780.01,2262161.01,238.049202
526780.01,2262261.01,238.861298
526780.01,2262361.01,240.602177
526780.01,2262461.01,239.399498
526780.01,2262561.01,238.328827
526780.01,2262661.01,237.454178
526780.01,2262761.01,240.127106
526780.01,2262861.01,242.244095
526780.01,2262961.01,244.149536
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,234.1754
526880.01,2261661.01,231.534447
526880.01,2261761.01,226.420151
526880.01,2261861.01,227.308563
526880.01,2261961.01,230.083397
526880.01,2262061.01,233.615234
526880.01,2262161.01,237.148911
526880.01,2262261.01,238.250305
526880.01,2262361.01,236.820724
526880.01,2262461.01,236.118698
526880.01,2262561.01,234.320351
526880.01,2262661.01,234.257912
526880.01,2262761.01,237.673756
526880.01,2262861.01,238.667603
526880.01,2262961.01,242.294449
526880.01,2263061.01,244.140213
526880.01,2263161.01,244.986015
526880.01,2263261.01,247.496643
526880.01,2263361.01,251.119499
526880.01,2263461.01,253.821251
526880.01,2263561.01,253.131317
526880.01,2263661.01,253.539993
526880.01,2263761.01,256.24939
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,246.528168
526980.01,2261561.01,247.447205
526980.01,2261661.01,246.446785
526980.01,2261761.01,243.397934
526980.01,2261861.01,246.947777
526980.01,2261961.01,242.28064
526980.01,2262061.01,240.790817
526980.01,2262161.01,241.261322
526980.01,2262261.01,259.155121
526980.01,2262361.01,254.362545
526980.01,2262461.01,249.22612
526980.01,2262561.01,254.26458
526980.01,2262661.01,246.777222
526980.01,2262761.01,239.770546
526980.01,2262861.01,240.003159
526980.01,2262961.01,238.854702
526980.01,2263061.01,241.133926
526980.01,2263161.01,242.532143
526980.01,2263261.01,245.168335
526980.01,2263361.01,248.664948
526980.01,2263461.01,249.933914
526980.01,2263561.01,248.963989
526980.01,2263661.01,251.491737
526980.01,2263761.01,257.044495
526980.01,2263861.01,259.296906
526980.01,2263961.01,262.455231
526980.01,2264061.01,268.877609
526980.01,2264161.01,272.154434
526980.01,2264261.01,273.856071
526980.01,2264361.01,278.696899
526980.01,2264461.01,288.503082
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,248.704128
527080.01,2261561.01,249.011032
527080.01,2261661.01,250.693001
527080.01,2261761.01,253.861359
527080.01,2261861.01,257.361946
527080.01,2261961.01,263.418243
527080.01,2262061.01,268.217766
527080.01,2262161.01,271.367035
527080.01,2262261.01,274.56424
527080.01,2262361.01,274.071625
527080.01,2262461.01,271.347244
527080.01,2262561.01,271.80661
527080.01,2262661.01,271.51973
527080.01,2262761.01,269.845825
527080.01,2262861.01,268.992981
527080.01,2262961.01,256.297798
527080.01,2263061.01,246.787964
527080.01,2263161.01,247.735958
527080.01,2263261.01,246.029671
527080.01,2263361.01,245.421581
527080.01,2263461.01,245.068832
527080.01,2263561.01,244.732552
527080.01,2263661.01,246.168243
527080.01,2263761.01,247.284237
527080.01,2263861.01,252.672592
527080.01,2263961.01,256.613266
527080.01,2264061.01,259.393494
527080.01,2264161.01,266.561218
527080.01,2264261.01,274.499084
527080.01,2264361.01,282.698151
527080.01,2264461.01,289.406387
527080.01,2264561.01,298.554016
527080.01,2264661.01,304.203987
527080.01,2264761.01,305.513947
527080.01,2264861.01,307.058578
527080.01,2264961.01,309.77887
527080.01,2265061.01,311.364594
527080.01,2265161.01,311.745392
527080.01,2265261.01,307.373657
527080.01,2265361.01,305.252136
527080.01,2265461.01,307.537537
527080.01,2265561.01,308.219971
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,250.884659
527180.01,2261461.01,248.818161
527180.01,2261561.01,248.726974
527180.01,2261661.01,250.797073
527180.01,2261761.01,255.087975
527180.01,2261861.01,258.061371
527180.01,2261961.01,262.111115
527180.01,2262061.01,266.023224
527180.01,2262161.01,267.99942
527180.01,2262261.01,270.469154
527180.01,2262361.01,270.9021
527180.01,2262461.01,269.137497
527180.01,2262561.01,268.89325
527180.01,2262661.01,269.958282
527180.01,2262761.01,269.946762
527180.01,2262861.01,269.924629
527180.01,2262961.01,270.137024
527180.01,2263061.01,268.164597
527180.01,2263161.01,267.246719
527180.01,2263261.01,259.299286
527180.01,2263361.01,251.642685
527180.01,2263461.01,248.896393
527180.01,2263561.01,244.110657
527180.01,2263661.01,243.708488
527180.01,2263761.01,244.123123
527180.01,2263861.01,245.47818
527180.01,2263961.01,250.668892
527180.01,2264061.01,254.557739
527180.01,2264161.01,263.584816
527180.01,2264261.01,273.497513
527180.01,2264361.01,282.086365
527180.01,2264461.01,289.084549
527180.01,2264561.01,297.581726
527180.01,2264661.01,303.588623
527180.01,2264761.01,306.33252
527180.01,2264861.01,308.724464
527180.01,2264961.01,311.489944
527180.01,2265061.01,312.532806
527180.01,2265161.01,311.937469
527180.01,2265261.01,308.362411
527180.01,2265361.01,306.231918
527180.01,2265461.01,307.732826
527180.01,2265561.01,308.185043
527180.01,2265661.01,309.4422
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,251.777
