"X","Y","H30_Lusit (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,337.859833
526680.01,2261461.01,-9999
526680.01,2261561.01,339.824318
526680.01,2261661.01,338.36557
526680.01,2261761.01,338.239334
526680.01,2261861.01,341.255859
526680.01,2261961.01,342.651285
526680.01,2262061.01,-9999
526680.01,2262161.01,350.365936
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,341.927872
526780.01,2261661.01,339.472275
526780.01,2261761.01,339.381882
526780.01,2261861.01,341.053757
526780.01,2261961.01,342.221664
526780.01,2262061.01,347.959991
526780.01,2262161.01,352.197632
526780.01,2262261.01,354.114639
526780.01,2262361.01,355.002922
526780.01,2262461.01,347.767914
526780.01,2262561.01,347.647858
526780.01,2262661.01,349.251495
526780.01,2262761.01,350.731323
526780.01,2262861.01,352.191589
526780.01,2262961.01,354.519775
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,343.774582
526880.01,2261661.01,340.866364
526880.01,2261761.01,339.739838
526880.01,2261861.01,341.705994
526880.01,2261961.01,343.699608
526880.01,2262061.01,348.583817
526880.01,2262161.01,351.865715
526880.01,2262261.01,352.601044
526880.01,2262361.01,350.943771
526880.01,2262461.01,346.46228
526880.01,2262561.01,345.339256
526880.01,2262661.01,347.042114
526880.01,2262761.01,349.196053
526880.01,2262861.01,351.954956
526880.01,2262961.01,353.806213
526880.01,2263061.01,356.731873
526880.01,2263161.01,359.13063
526880.01,2263261.01,362.994324
526880.01,2263361.01,366.854004
526880.01,2263461.01,369.379456
526880.01,2263561.01,369.176147
526880.01,2263661.01,370.119171
526880.01,2263761.01,373.329071
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,358.266754
526980.01,2261561.01,357.510269
526980.01,2261661.01,352.83889
526980.01,2261761.01,351.693558
526980.01,2261861.01,352.943787
526980.01,2261961.01,346.585876
526980.01,2262061.01,348.98085
526980.01,2262161.01,350.219177
526980.01,2262261.01,352.423508
526980.01,2262361.01,349.546181
526980.01,2262461.01,345.049591
526980.01,2262561.01,345.206863
526980.01,2262661.01,342.800079
526980.01,2262761.01,344.35495
526980.01,2262861.01,346.557739
526980.01,2262961.01,348.844513
526980.01,2263061.01,354.529663
526980.01,2263161.01,357.080521
526980.01,2263261.01,360.805328
526980.01,2263361.01,364.099792
526980.01,2263461.01,365.718018
526980.01,2263561.01,365.074677
526980.01,2263661.01,367.47451
526980.01,2263761.01,373.551163
526980.01,2263861.01,375.840469
526980.01,2263961.01,379.809235
526980.01,2264061.01,382.422607
526980.01,2264161.01,384.178253
526980.01,2264261.01,389.313156
526980.01,2264361.01,395.693939
526980.01,2264461.01,400.613922
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,364.405083
527080.01,2261561.01,363.622559
527080.01,2261661.01,364.81279
527080.01,2261761.01,368.392548
527080.01,2261861.01,370.832176
527080.01,2261961.01,369.740051
527080.01,2262061.01,370.172081
527080.01,2262161.01,376.8508
527080.01,2262261.01,374.945053
527080.01,2262361.01,371.552643
527080.01,2262461.01,364.788803
527080.01,2262561.01,369.888077
527080.01,2262661.01,372.153275
527080.01,2262761.01,357.284752
527080.01,2262861.01,355.640625
527080.01,2262961.01,351.077286
527080.01,2263061.01,354.697357
527080.01,2263161.01,356.069603
527080.01,2263261.01,357.914795
527080.01,2263361.01,358.902351
527080.01,2263461.01,358.623749
527080.01,2263561.01,359.569244
527080.01,2263661.01,362.020233
527080.01,2263761.01,363.488136
527080.01,2263861.01,368.637772
527080.01,2263961.01,371.158264
527080.01,2264061.01,374.519745
527080.01,2264161.01,383.160004
527080.01,2264261.01,390.712494
527080.01,2264361.01,397.43634
527080.01,2264461.01,401.936371
527080.01,2264561.01,409.847214
527080.01,2264661.01,419.581528
527080.01,2264761.01,425.519867
527080.01,2264861.01,433.011154
527080.01,2264961.01,435.457306
527080.01,2265061.01,431.818298
527080.01,2265161.01,423.093384
527080.01,2265261.01,418.705322
527080.01,2265361.01,418.054108
527080.01,2265461.01,417.725128
527080.01,2265561.01,418.087189
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,366.287476
527180.01,2261461.01,365.735535
527180.01,2261561.01,365.156883
527180.01,2261661.01,365.504044
527180.01,2261761.01,369.669174
527180.01,2261861.01,372.198761
527180.01,2261961.01,376.375427
527180.01,2262061.01,380.948425
527180.01,2262161.01,383.458359
527180.01,2262261.01,385.980156
527180.01,2262361.01,385.740448
527180.01,2262461.01,382.641449
527180.01,2262561.01,385.241425
527180.01,2262661.01,382.794754
527180.01,2262761.01,381.696136
527180.01,2262861.01,377.155182
527180.01,2262961.01,365.03804
527180.01,2263061.01,361.171249
527180.01,2263161.01,358.929718
527180.01,2263261.01,355.316223
527180.01,2263361.01,355.937561
527180.01,2263461.01,355.026505
527180.01,2263561.01,355.31218
527180.01,2263661.01,357.588562
527180.01,2263761.01,359.260651
527180.01,2263861.01,362.019409
527180.01,2263961.01,366.568268
527180.01,2264061.01,369.988235
527180.01,2264161.01,381.408325
527180.01,2264261.01,390.582764
527180.01,2264361.01,396.218903
527180.01,2264461.01,403.320267
527180.01,2264561.01,409.816101
527180.01,2264661.01,417.89801
527180.01,2264761.01,422.291443
527180.01,2264861.01,427.04071
527180.01,2264961.01,425.983475
527180.01,2265061.01,425.891571
527180.01,2265161.01,422.793976
527180.01,2265261.01,419.134888
527180.01,2265361.01,418.024124
527180.01,2265461.01,417.456009
527180.01,2265561.01,418.208069
527180.01,2265661.01,419.846191
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,366.730629
