"X","Y","H40_Batho (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,554.963867
526680.01,2261461.01,-9999
526680.01,2261561.01,554.769379
526680.01,2261661.01,554.902405
526680.01,2261761.01,552.682465
526680.01,2261861.01,553.863586
526680.01,2261961.01,556.02187
526680.01,2262061.01,-9999
526680.01,2262161.01,556.778381
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,553.271362
526780.01,2261661.01,553.620026
526780.01,2261761.01,553.99028
526780.01,2261861.01,555.417694
526780.01,2261961.01,557.121826
526780.01,2262061.01,558.862061
526780.01,2262161.01,556.753967
526780.01,2262261.01,557.414215
526780.01,2262361.01,560.159241
526780.01,2262461.01,562.463867
526780.01,2262561.01,562.204468
526780.01,2262661.01,562.120483
526780.01,2262761.01,566.135803
526780.01,2262861.01,567.821213
526780.01,2262961.01,569.174133
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,550.896729
526880.01,2261661.01,552.354156
526880.01,2261761.01,554.638733
526880.01,2261861.01,557.728333
526880.01,2261961.01,558.658859
526880.01,2262061.01,559.390442
526880.01,2262161.01,557.830627
526880.01,2262261.01,558.20459
526880.01,2262361.01,560.110748
526880.01,2262461.01,561.908997
526880.01,2262561.01,562.023331
526880.01,2262661.01,562.602173
526880.01,2262761.01,565.387787
526880.01,2262861.01,566.529297
526880.01,2262961.01,568.217529
526880.01,2263061.01,571.245178
526880.01,2263161.01,571.136169
526880.01,2263261.01,572.736893
526880.01,2263361.01,572.981476
526880.01,2263461.01,573.16568
526880.01,2263561.01,574.040039
526880.01,2263661.01,577.174927
526880.01,2263761.01,579.523315
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,548.199707
526980.01,2261561.01,549.576691
526980.01,2261661.01,552.029251
526980.01,2261761.01,555.982025
526980.01,2261861.01,558.077911
526980.01,2261961.01,560.143677
526980.01,2262061.01,560.786804
526980.01,2262161.01,558.90979
526980.01,2262261.01,559.139923
526980.01,2262361.01,559.913055
526980.01,2262461.01,561.806183
526980.01,2262561.01,562.471893
526980.01,2262661.01,562.296204
526980.01,2262761.01,563.417145
526980.01,2262861.01,564.133575
526980.01,2262961.01,566.421021
526980.01,2263061.01,568.564423
526980.01,2263161.01,568.802368
526980.01,2263261.01,570.747437
526980.01,2263361.01,571.472626
526980.01,2263461.01,570.765015
526980.01,2263561.01,571.554657
526980.01,2263661.01,574.595535
526980.01,2263761.01,579.422333
526980.01,2263861.01,580.486176
526980.01,2263961.01,584.255981
526980.01,2264061.01,588.48288
526980.01,2264161.01,591.880524
526980.01,2264261.01,598.842087
526980.01,2264361.01,607.976868
526980.01,2264461.01,615.111511
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,551.696533
527080.01,2261561.01,553.138428
527080.01,2261661.01,554.824066
527080.01,2261761.01,557.191589
527080.01,2261861.01,558.885803
527080.01,2261961.01,560.949158
527080.01,2262061.01,561.524734
527080.01,2262161.01,560.026062
527080.01,2262261.01,559.384583
527080.01,2262361.01,560.610168
527080.01,2262461.01,562.171814
527080.01,2262561.01,562.889069
527080.01,2262661.01,562.967346
527080.01,2262761.01,562.755569
527080.01,2262861.01,562.877747
527080.01,2262961.01,564.024872
527080.01,2263061.01,565.390198
527080.01,2263161.01,565.459595
527080.01,2263261.01,565.935669
527080.01,2263361.01,567.097641
527080.01,2263461.01,567.236694
527080.01,2263561.01,569.246277
527080.01,2263661.01,571.799255
527080.01,2263761.01,574.098541
527080.01,2263861.01,577.835846
527080.01,2263961.01,581.805054
527080.01,2264061.01,584.766632
527080.01,2264161.01,591.641479
527080.01,2264261.01,598.952759
527080.01,2264361.01,609.508423
527080.01,2264461.01,614.452225
527080.01,2264561.01,618.236053
527080.01,2264661.01,620.681351
527080.01,2264761.01,624.150085
527080.01,2264861.01,628.383087
527080.01,2264961.01,627.562134
527080.01,2265061.01,624.21257
527080.01,2265161.01,625.582092
527080.01,2265261.01,629.962128
527080.01,2265361.01,632.57843
527080.01,2265461.01,633.180359
527080.01,2265561.01,632.859436
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,569.974609
527180.01,2261461.01,558.060852
527180.01,2261561.01,558.13588
527180.01,2261661.01,557.287048
527180.01,2261761.01,559.647827
527180.01,2261861.01,560.421906
527180.01,2261961.01,560.834351
527180.01,2262061.01,560.485504
527180.01,2262161.01,560.33847
527180.01,2262261.01,561.491882
527180.01,2262361.01,561.925201
527180.01,2262461.01,562.593384
527180.01,2262561.01,563.489929
527180.01,2262661.01,563.955597
527180.01,2262761.01,564.494293
527180.01,2262861.01,562.998444
527180.01,2262961.01,562.920471
527180.01,2263061.01,564.025269
527180.01,2263161.01,564.179047
527180.01,2263261.01,565.329163
527180.01,2263361.01,566.426178
527180.01,2263461.01,566.899384
527180.01,2263561.01,567.976639
527180.01,2263661.01,570.01767
527180.01,2263761.01,571.447662
527180.01,2263861.01,574.880676
527180.01,2263961.01,578.835968
527180.01,2264061.01,581.611603
527180.01,2264161.01,588.465851
527180.01,2264261.01,596.344208
527180.01,2264361.01,602.841064
527180.01,2264461.01,610.066864
527180.01,2264561.01,614.512756
527180.01,2264661.01,620.482727
527180.01,2264761.01,625.691956
527180.01,2264861.01,630.308304
527180.01,2264961.01,627.143951
527180.01,2265061.01,624.685394
527180.01,2265161.01,626.949768
527180.01,2265261.01,631.459808
527180.01,2265361.01,633.55014
527180.01,2265461.01,633.439529
527180.01,2265561.01,632.823334
527180.01,2265661.01,633.441284
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,577.669937
