"X","Y","H50_Aal (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,597.278931
526680.01,2261461.01,-9999
526680.01,2261561.01,596.863235
526680.01,2261661.01,597.259705
526680.01,2261761.01,595.183685
526680.01,2261861.01,595.583862
526680.01,2261961.01,596.700686
526680.01,2262061.01,-9999
526680.01,2262161.01,595.052795
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,595.134918
526780.01,2261661.01,594.473877
526780.01,2261761.01,594.63681
526780.01,2261861.01,596.073273
526780.01,2261961.01,597.02359
526780.01,2262061.01,596.743042
526780.01,2262161.01,595.705719
526780.01,2262261.01,596.992981
526780.01,2262361.01,599.813293
526780.01,2262461.01,601.301514
526780.01,2262561.01,599.978546
526780.01,2262661.01,601.617798
526780.01,2262761.01,604.543945
526780.01,2262861.01,605.58699
526780.01,2262961.01,609.511658
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,592.343353
526880.01,2261661.01,592.796661
526880.01,2261761.01,594.348816
526880.01,2261861.01,596.383728
526880.01,2261961.01,597.078552
526880.01,2262061.01,597.076538
526880.01,2262161.01,597.273224
526880.01,2262261.01,598.082031
526880.01,2262361.01,599.802765
526880.01,2262461.01,601.030701
526880.01,2262561.01,601.101471
526880.01,2262661.01,601.810272
526880.01,2262761.01,604.247787
526880.01,2262861.01,605.135681
526880.01,2262961.01,607.713379
526880.01,2263061.01,611.468323
526880.01,2263161.01,610.805359
526880.01,2263261.01,610.887405
526880.01,2263361.01,610.268646
526880.01,2263461.01,610.578812
526880.01,2263561.01,612.876038
526880.01,2263661.01,620.527649
526880.01,2263761.01,622.826721
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,589.726715
526980.01,2261561.01,590.523407
526980.01,2261661.01,592.179779
526980.01,2261761.01,594.833801
526980.01,2261861.01,596.488983
526980.01,2261961.01,598.012268
526980.01,2262061.01,597.904053
526980.01,2262161.01,597.81073
526980.01,2262261.01,598.787292
526980.01,2262361.01,599.847137
526980.01,2262461.01,602.250031
526980.01,2262561.01,602.809265
526980.01,2262661.01,602.07019
526980.01,2262761.01,603.285828
526980.01,2262861.01,603.670837
526980.01,2262961.01,605.215637
526980.01,2263061.01,607.511841
526980.01,2263161.01,607.899567
526980.01,2263261.01,608.908142
526980.01,2263361.01,608.782593
526980.01,2263461.01,608.508881
526980.01,2263561.01,611.73587
526980.01,2263661.01,616.208252
526980.01,2263761.01,621.379517
526980.01,2263861.01,622.480499
526980.01,2263961.01,624.726807
526980.01,2264061.01,629.811005
526980.01,2264161.01,633.354645
526980.01,2264261.01,639.123978
526980.01,2264361.01,649.191284
526980.01,2264461.01,654.89032
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,593.619247
527080.01,2261561.01,594.995239
527080.01,2261661.01,597.009521
527080.01,2261761.01,598.224976
527080.01,2261861.01,599.57695
527080.01,2261961.01,601.257813
527080.01,2262061.01,599.547546
527080.01,2262161.01,598.909607
527080.01,2262261.01,599.812714
527080.01,2262361.01,600.956116
527080.01,2262461.01,602.520386
527080.01,2262561.01,603.031311
527080.01,2262661.01,602.641022
527080.01,2262761.01,602.090912
527080.01,2262861.01,602.434326
527080.01,2262961.01,603.345917
527080.01,2263061.01,603.996704
527080.01,2263161.01,604.26442
527080.01,2263261.01,605.408325
527080.01,2263361.01,606.439392
527080.01,2263461.01,607.081421
527080.01,2263561.01,609.484589
527080.01,2263661.01,612.395874
527080.01,2263761.01,614.246567
527080.01,2263861.01,618.482819
527080.01,2263961.01,622.801727
527080.01,2264061.01,625.29657
527080.01,2264161.01,631.993103
527080.01,2264261.01,638.630432
527080.01,2264361.01,648.613159
527080.01,2264461.01,654.040985
527080.01,2264561.01,659.932098
527080.01,2264661.01,663.225632
527080.01,2264761.01,665.763794
527080.01,2264861.01,669.031372
527080.01,2264961.01,664.625854
527080.01,2265061.01,665.107712
527080.01,2265161.01,666.929871
527080.01,2265261.01,671.462738
527080.01,2265361.01,672.52356
527080.01,2265461.01,674.148743
527080.01,2265561.01,675.984985
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,605.338684
527180.01,2261461.01,598.362793
527180.01,2261561.01,599.552841
527180.01,2261661.01,599.928009
527180.01,2261761.01,601.069122
527180.01,2261861.01,601.251282
527180.01,2261961.01,600.635559
527180.01,2262061.01,599.889038
527180.01,2262161.01,600.307465
527180.01,2262261.01,601.763901
527180.01,2262361.01,603.350891
527180.01,2262461.01,603.746796
527180.01,2262561.01,603.960388
527180.01,2262661.01,604.213898
527180.01,2262761.01,604.463776
527180.01,2262861.01,603.351227
527180.01,2262961.01,602.939087
527180.01,2263061.01,602.880981
527180.01,2263161.01,603.783661
527180.01,2263261.01,604.972473
527180.01,2263361.01,605.787994
527180.01,2263461.01,606.604919
527180.01,2263561.01,608.351746
527180.01,2263661.01,610.126221
527180.01,2263761.01,611.333588
527180.01,2263861.01,615.619202
527180.01,2263961.01,620.96109
527180.01,2264061.01,623.662842
527180.01,2264161.01,629.144409
527180.01,2264261.01,636.707275
527180.01,2264361.01,641.477783
527180.01,2264461.01,649.263641
527180.01,2264561.01,656.153076
527180.01,2264661.01,662.705872
527180.01,2264761.01,666.39621
527180.01,2264861.01,669.036835
527180.01,2264961.01,664.499969
527180.01,2265061.01,664.848145
527180.01,2265161.01,668.133057
527180.01,2265261.01,671.985321
527180.01,2265361.01,673.081757
527180.01,2265461.01,674.598221
527180.01,2265561.01,676.445129
527180.01,2265661.01,677.912109
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,618.205688
