"X","Y","H60_Charm (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,635.6026
526680.01,2261461.01,-9999
526680.01,2261561.01,634.181824
526680.01,2261661.01,635.820557
526680.01,2261761.01,636.957275
526680.01,2261861.01,640.071533
526680.01,2261961.01,641.588739
526680.01,2262061.01,-9999
526680.01,2262161.01,640.156799
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,635.69928
526780.01,2261661.01,637.042267
526780.01,2261761.01,638.630524
526780.01,2261861.01,640.85199
526780.01,2261961.01,642.102325
526780.01,2262061.01,641.113953
526780.01,2262161.01,641.951599
526780.01,2262261.01,643.801331
526780.01,2262361.01,645.718979
526780.01,2262461.01,646.314697
526780.01,2262561.01,646.482971
526780.01,2262661.01,648.613342
526780.01,2262761.01,651.63623
526780.01,2262861.01,653.35762
526780.01,2262961.01,653.629395
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,634.696564
526880.01,2261661.01,636.688263
526880.01,2261761.01,639.420044
526880.01,2261861.01,642.435669
526880.01,2261961.01,643.651978
526880.01,2262061.01,644.240021
526880.01,2262161.01,644.20636
526880.01,2262261.01,645.662292
526880.01,2262361.01,647.173401
526880.01,2262461.01,647.520264
526880.01,2262561.01,648.431381
526880.01,2262661.01,649.232391
526880.01,2262761.01,650.940811
526880.01,2262861.01,652.445923
526880.01,2262961.01,653.70694
526880.01,2263061.01,655.894653
526880.01,2263161.01,656.742035
526880.01,2263261.01,656.77063
526880.01,2263361.01,653.936462
526880.01,2263461.01,657.712082
526880.01,2263561.01,661.090942
526880.01,2263661.01,664.157104
526880.01,2263761.01,665.554199
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,633.288513
526980.01,2261561.01,634.434753
526980.01,2261661.01,637.487656
526980.01,2261761.01,641.118042
526980.01,2261861.01,643.032898
526980.01,2261961.01,644.83252
526980.01,2262061.01,645.287415
526980.01,2262161.01,644.976013
526980.01,2262261.01,646.907227
526980.01,2262361.01,648.442596
526980.01,2262461.01,650.373779
526980.01,2262561.01,650.927002
526980.01,2262661.01,651.039978
526980.01,2262761.01,650.957367
526980.01,2262861.01,651.122437
526980.01,2262961.01,652.067764
526980.01,2263061.01,654.867218
526980.01,2263161.01,654.921539
526980.01,2263261.01,655.261841
526980.01,2263361.01,653.608032
526980.01,2263461.01,654.378052
526980.01,2263561.01,659.276306
526980.01,2263661.01,664.186981
526980.01,2263761.01,666.994354
526980.01,2263861.01,668.929901
526980.01,2263961.01,670.935303
526980.01,2264061.01,673.76358
526980.01,2264161.01,677.991791
526980.01,2264261.01,685.871277
526980.01,2264361.01,690.359192
526980.01,2264461.01,694.706604
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,637.396942
527080.01,2261561.01,639.80011
527080.01,2261661.01,642.532074
527080.01,2261761.01,643.734314
527080.01,2261861.01,645.869598
527080.01,2261961.01,647.23056
527080.01,2262061.01,646.496201
527080.01,2262161.01,646.601196
527080.01,2262261.01,647.553192
527080.01,2262361.01,648.743103
527080.01,2262461.01,650.339661
527080.01,2262561.01,651.203552
527080.01,2262661.01,651.85849
527080.01,2262761.01,651.088409
527080.01,2262861.01,651.169678
527080.01,2262961.01,651.3573
527080.01,2263061.01,651.314575
527080.01,2263161.01,651.222656
527080.01,2263261.01,652.406555
527080.01,2263361.01,653.700073
527080.01,2263461.01,654.684875
527080.01,2263561.01,656.806976
527080.01,2263661.01,661.003601
527080.01,2263761.01,662.821838
527080.01,2263861.01,667.58609
527080.01,2263961.01,671.873901
527080.01,2264061.01,671.471466
527080.01,2264161.01,677.869568
527080.01,2264261.01,685.493073
527080.01,2264361.01,689.358826
527080.01,2264461.01,692.95842
527080.01,2264561.01,702.673553
527080.01,2264661.01,706.418045
527080.01,2264761.01,712.045471
527080.01,2264861.01,711.353943
527080.01,2264961.01,707.336243
527080.01,2265061.01,707.69809
527080.01,2265161.01,711.411926
527080.01,2265261.01,714.80246
527080.01,2265361.01,716.532043
527080.01,2265461.01,718.26886
527080.01,2265561.01,718.864868
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,648.524536
527180.01,2261461.01,642.538208
527180.01,2261561.01,644.010147
527180.01,2261661.01,645.095673
527180.01,2261761.01,647.53717
527180.01,2261861.01,648.215149
527180.01,2261961.01,648.63446
527180.01,2262061.01,647.571991
527180.01,2262161.01,647.691833
527180.01,2262261.01,650.036987
527180.01,2262361.01,651.452789
527180.01,2262461.01,651.987976
527180.01,2262561.01,652.567139
527180.01,2262661.01,652.082886
527180.01,2262761.01,651.963013
527180.01,2262861.01,651.857468
527180.01,2262961.01,651.480316
527180.01,2263061.01,650.373047
527180.01,2263161.01,650.964844
527180.01,2263261.01,651.750122
527180.01,2263361.01,653.254883
527180.01,2263461.01,654.181702
527180.01,2263561.01,655.812759
527180.01,2263661.01,659.286896
527180.01,2263761.01,661.112549
527180.01,2263861.01,663.580505
527180.01,2263961.01,670.324463
527180.01,2264061.01,671.41626
527180.01,2264161.01,675.612793
527180.01,2264261.01,683.096832
527180.01,2264361.01,685.492676
527180.01,2264461.01,689.934082
527180.01,2264561.01,698.444946
527180.01,2264661.01,711.014191
527180.01,2264761.01,713.748474
527180.01,2264861.01,713.537628
527180.01,2264961.01,708.28067
527180.01,2265061.01,707.89801
527180.01,2265161.01,713.391907
527180.01,2265261.01,715.829376
527180.01,2265361.01,717.26236
527180.01,2265461.01,718.630524
527180.01,2265561.01,719.162109
527180.01,2265661.01,721.169189
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,665.479599
