"X","Y","H70_Arg_Lev (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,-9999
526680.01,2261461.01,-9999
526680.01,2261561.01,-9999
526680.01,2261661.01,-9999
526680.01,2261761.01,671.169682
526680.01,2261861.01,665.303622
526680.01,2261961.01,664.857603
526680.01,2262061.01,666.937241
526680.01,2262161.01,659.556914
526680.01,2262261.01,660.289586
526680.01,2262361.01,668.005338
526680.01,2262461.01,669.352953
526680.01,2262561.01,668.819473
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,667.401485
526780.01,2261661.01,669.410231
526780.01,2261761.01,672.966941
526780.01,2261861.01,670.048646
526780.01,2261961.01,669.328451
526780.01,2262061.01,666.663933
526780.01,2262161.01,663.484372
526780.01,2262261.01,665.31298
526780.01,2262361.01,669.120906
526780.01,2262461.01,672.701198
526780.01,2262561.01,669.299723
526780.01,2262661.01,670.138712
526780.01,2262761.01,675.674542
526780.01,2262861.01,674.963964
526780.01,2262961.01,671.836835
526780.01,2263061.01,672.569579
526780.01,2263161.01,676.528406
526780.01,2263261.01,676.420406
526780.01,2263361.01,673.875161
526780.01,2263461.01,677.261967
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,668.85812
526880.01,2261661.01,670.590141
526880.01,2261761.01,672.514863
526880.01,2261861.01,674.830051
526880.01,2261961.01,674.633482
526880.01,2262061.01,666.210949
526880.01,2262161.01,667.395403
526880.01,2262261.01,670.357181
526880.01,2262361.01,672.649932
526880.01,2262461.01,672.935313
526880.01,2262561.01,671.318945
526880.01,2262661.01,673.524213
526880.01,2262761.01,676.854932
526880.01,2262861.01,677.867636
526880.01,2262961.01,672.417477
526880.01,2263061.01,674.254993
526880.01,2263161.01,677.96883
526880.01,2263261.01,677.171546
526880.01,2263361.01,674.097461
526880.01,2263461.01,680.520256
526880.01,2263561.01,684.575956
526880.01,2263661.01,690.221702
526880.01,2263761.01,693.747558
526880.01,2263861.01,693.346172
526880.01,2263961.01,696.277869
526880.01,2264061.01,697.384878
526880.01,2264161.01,700.613434
526880.01,2264261.01,710.984342
526880.01,2264361.01,721.172094
526880.01,2264461.01,728.241021
526980.01,2261361.01,667.549927
526980.01,2261461.01,666.496785
526980.01,2261561.01,667.50883
526980.01,2261661.01,668.911256
526980.01,2261761.01,669.215784
526980.01,2261861.01,672.305552
526980.01,2261961.01,672.494318
526980.01,2262061.01,669.056756
526980.01,2262161.01,670.26086
526980.01,2262261.01,670.436273
526980.01,2262361.01,670.943596
526980.01,2262461.01,672.558459
526980.01,2262561.01,673.573755
526980.01,2262661.01,674.334635
526980.01,2262761.01,674.228663
526980.01,2262861.01,674.70411
526980.01,2262961.01,674.646762
526980.01,2263061.01,676.142972
526980.01,2263161.01,677.314288
526980.01,2263261.01,677.331986
526980.01,2263361.01,677.264755
526980.01,2263461.01,680.105353
526980.01,2263561.01,683.678517
526980.01,2263661.01,689.890799
526980.01,2263761.01,693.424094
526980.01,2263861.01,692.71087
526980.01,2263961.01,695.520023
526980.01,2264061.01,691.522989
526980.01,2264161.01,696.736554
526980.01,2264261.01,712.157956
526980.01,2264361.01,722.34193
526980.01,2264461.01,728.301398
526980.01,2264561.01,732.095246
526980.01,2264661.01,738.795369
526980.01,2264761.01,743.488237
526980.01,2264861.01,741.103356
526980.01,2264961.01,741.686149
526980.01,2265061.01,740.851469
526980.01,2265161.01,744.697963
526980.01,2265261.01,749.059445
526980.01,2265361.01,751.606326
527080.01,2261261.01,-9999
527080.01,2261361.01,672.779036
527080.01,2261461.01,669.123779
527080.01,2261561.01,672.269627
527080.01,2261661.01,673.776048
527080.01,2261761.01,673.858455
527080.01,2261861.01,674.693806
527080.01,2261961.01,674.791863
527080.01,2262061.01,673.286769
527080.01,2262161.01,673.898567
527080.01,2262261.01,672.686008
527080.01,2262361.01,671.544297
527080.01,2262461.01,673.708308
527080.01,2262561.01,675.753871
527080.01,2262661.01,674.197701
527080.01,2262761.01,674.674828
527080.01,2262861.01,674.191724
527080.01,2262961.01,674.430807
527080.01,2263061.01,674.012002
527080.01,2263161.01,674.717
527080.01,2263261.01,675.821781
527080.01,2263361.01,677.838564
527080.01,2263461.01,678.312536
527080.01,2263561.01,682.147804
527080.01,2263661.01,686.150031
527080.01,2263761.01,687.17322
527080.01,2263861.01,690.53546
527080.01,2263961.01,693.556067
527080.01,2264061.01,695.54884
527080.01,2264161.01,702.000349
527080.01,2264261.01,713.500259
527080.01,2264361.01,724.683162
527080.01,2264461.01,727.703486
527080.01,2264561.01,733.586297
527080.01,2264661.01,738.597687
527080.01,2264761.01,741.801468
527080.01,2264861.01,739.912575
527080.01,2264961.01,741.936084
527080.01,2265061.01,741.269127
527080.01,2265161.01,743.657287
527080.01,2265261.01,747.908874
527080.01,2265361.01,750.146583
527080.01,2265461.01,750.067186
527080.01,2265561.01,755.169108
527080.01,2265661.01,758.734831
527080.01,2265761.01,761.061239
527180.01,2261261.01,-9999
527180.01,2261361.01,693.628675
527180.01,2261461.01,675.656196
527180.01,2261561.01,675.733145
527180.01,2261661.01,676.005399
527180.01,2261761.01,677.073775
527180.01,2261861.01,675.537881
527180.01,2261961.01,672.149455
527180.01,2262061.01,676.197047
527180.01,2262161.01,675.480863
527180.01,2262261.01,676.664175
527180.01,2262361.01,676.152689
527180.01,2262461.01,676.158107
527180.01,2262561.01,677.084013
527180.01,2262661.01,676.445754
527180.01,2262761.01,675.766017
527180.01,2262861.01,674.662139
527180.01,2262961.01,674.334614
527180.01,2263061.01,673.319727
527180.01,2263161.01,673.785788
527180.01,2263261.01,675.165286
527180.01,2263361.01,677.853313
527180.01,2263461.01,678.062368
527180.01,2263561.01,680.152789
527180.01,2263661.01,682.707317
527180.01,2263761.01,683.877897
527180.01,2263861.01,688.52871
527180.01,2263961.01,693.546159
527180.01,2264061.01,695.896764
527180.01,2264161.01,701.377663
527180.01,2264261.01,710.095832
527180.01,2264361.01,714.380636
527180.01,2264461.01,722.822527
527180.01,2264561.01,729.761947
527180.01,2264661.01,737.789147
527180.01,2264761.01,744.910179
527180.01,2264861.01,741.691018
527180.01,2264961.01,740.318724
527180.01,2265061.01,740.756712
527180.01,2265161.01,744.377002
527180.01,2265261.01,747.128373
527180.01,2265361.01,750.623529
527180.01,2265461.01,749.874135
527180.01,2265561.01,756.079293
527180.01,2265661.01,758.42682
527180.01,2265761.01,757.215296
527180.01,2265861.01,753.443803
