"X","Y","H80_r3a (TWT)"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,717.153687
526680.01,2261461.01,-9999
526680.01,2261561.01,715.309296
526680.01,2261661.01,716.438049
526680.01,2261761.01,717.025513
526680.01,2261861.01,714.708252
526680.01,2261961.01,715.125375
526680.01,2262061.01,-9999
526680.01,2262161.01,717.224243
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,713.194824
526780.01,2261661.01,714.179321
526780.01,2261761.01,716.459122
526780.01,2261861.01,716.551147
526780.01,2261961.01,716.890747
526780.01,2262061.01,716.718323
526780.01,2262161.01,718.569489
526780.01,2262261.01,720.95697
526780.01,2262361.01,724.743393
526780.01,2262461.01,724.976959
526780.01,2262561.01,723.852386
526780.01,2262661.01,725.501648
526780.01,2262761.01,728.861389
526780.01,2262861.01,729.058105
526780.01,2262961.01,729.245361
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,711.402588
526880.01,2261661.01,713.147705
526880.01,2261761.01,715.176208
526880.01,2261861.01,717.628479
526880.01,2261961.01,718.647705
526880.01,2262061.01,718.814575
526880.01,2262161.01,720.417007
526880.01,2262261.01,722.070068
526880.01,2262361.01,724.340698
526880.01,2262461.01,724.500366
526880.01,2262561.01,724.32402
526880.01,2262661.01,725.391937
526880.01,2262761.01,727.109467
526880.01,2262861.01,727.156372
526880.01,2262961.01,727.247467
526880.01,2263061.01,731.845032
526880.01,2263161.01,732.638428
526880.01,2263261.01,732.535202
526880.01,2263361.01,729.390289
526880.01,2263461.01,732.097153
526880.01,2263561.01,735.01355
526880.01,2263661.01,740.086182
526880.01,2263761.01,740.607483
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,707.091888
526980.01,2261561.01,709.481781
526980.01,2261661.01,713.031982
526980.01,2261761.01,714.818939
526980.01,2261861.01,716.23761
526980.01,2261961.01,718.064697
526980.01,2262061.01,720.31897
526980.01,2262161.01,721.295227
526980.01,2262261.01,722.26532
526980.01,2262361.01,722.876602
526980.01,2262461.01,723.775146
526980.01,2262561.01,724.352295
526980.01,2262661.01,725.235779
526980.01,2262761.01,726.060211
526980.01,2262861.01,726.071869
526980.01,2262961.01,726.776474
526980.01,2263061.01,730.055511
526980.01,2263161.01,731.832306
526980.01,2263261.01,732.951538
526980.01,2263361.01,729.695801
526980.01,2263461.01,728.044739
526980.01,2263561.01,734.167969
526980.01,2263661.01,739.69751
526980.01,2263761.01,739.271759
526980.01,2263861.01,740.482422
526980.01,2263961.01,744.894348
526980.01,2264061.01,743.570251
526980.01,2264161.01,750.615753
526980.01,2264261.01,759.60997
526980.01,2264361.01,763.734436
526980.01,2264461.01,769.758789
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,711.448929
527080.01,2261561.01,712.429565
527080.01,2261661.01,714.341492
527080.01,2261761.01,716.346802
527080.01,2261861.01,717.361099
527080.01,2261961.01,718.501953
527080.01,2262061.01,721.114761
527080.01,2262161.01,721.937805
527080.01,2262261.01,722.23819
527080.01,2262361.01,722.213013
527080.01,2262461.01,723.241394
527080.01,2262561.01,724.148743
527080.01,2262661.01,725.72757
527080.01,2262761.01,725.816589
527080.01,2262861.01,725.329834
527080.01,2262961.01,726.318207
527080.01,2263061.01,728.202087
527080.01,2263161.01,728.345612
527080.01,2263261.01,729.70932
527080.01,2263361.01,729.840668
527080.01,2263461.01,729.993164
527080.01,2263561.01,731.852051
527080.01,2263661.01,735.174927
527080.01,2263761.01,735.983032
527080.01,2263861.01,739.809723
527080.01,2263961.01,746.069183
527080.01,2264061.01,748.965454
527080.01,2264161.01,753.817261
527080.01,2264261.01,759.742401
527080.01,2264361.01,766.515442
527080.01,2264461.01,772.305878
527080.01,2264561.01,774.463379
527080.01,2264661.01,779.990662
527080.01,2264761.01,784.570618
527080.01,2264861.01,782.868256
527080.01,2264961.01,783.959412
527080.01,2265061.01,788.69194
527080.01,2265161.01,792.879028
527080.01,2265261.01,795.348846
527080.01,2265361.01,797.017639
527080.01,2265461.01,799.272827
527080.01,2265561.01,800.95105
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,723.679565
527180.01,2261461.01,714.766602
527180.01,2261561.01,715.060333
527180.01,2261661.01,716.678375
527180.01,2261761.01,718.609253
527180.01,2261861.01,718.18988
527180.01,2261961.01,718.20575
527180.01,2262061.01,721.416351
527180.01,2262161.01,721.379089
527180.01,2262261.01,722.197678
527180.01,2262361.01,721.791412
527180.01,2262461.01,722.221252
527180.01,2262561.01,724.417969
527180.01,2262661.01,725.29007
527180.01,2262761.01,725.056763
527180.01,2262861.01,725.254547
527180.01,2262961.01,725.835785
527180.01,2263061.01,725.871521
527180.01,2263161.01,725.201019
527180.01,2263261.01,727.421631
527180.01,2263361.01,729.520264
527180.01,2263461.01,729.859009
527180.01,2263561.01,730.008286
527180.01,2263661.01,731.508698
527180.01,2263761.01,732.348755
527180.01,2263861.01,736.904602
527180.01,2263961.01,743.80603
527180.01,2264061.01,746.918335
527180.01,2264161.01,751.527817
527180.01,2264261.01,758.714996
527180.01,2264361.01,761.164429
527180.01,2264461.01,769.327545
527180.01,2264561.01,776.093872
527180.01,2264661.01,782.945557
527180.01,2264761.01,787.588715
527180.01,2264861.01,782.719254
527180.01,2264961.01,784.822235
527180.01,2265061.01,788.387787
527180.01,2265161.01,794.032349
527180.01,2265261.01,796.119293
527180.01,2265361.01,797.218597
527180.01,2265461.01,799.938065
527180.01,2265561.01,801.432831
527180.01,2265661.01,803.278442
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,764.900879
