"X","Y","(H00-H01) Vint"
526580.01,2261461.01,946.299926758
526580.01,2261561.01,958.560180664
526580.01,2261661.01,965.603271484
526680.01,2261461.01,942.375244141
526680.01,2261561.01,953.5234375
526680.01,2261661.01,958.921508789
526680.01,2261761.01,958.460205078
526680.01,2261861.01,952.316101074
526680.01,2261961.01,942.302124023
526680.01,2262061.01,929.033813477
526680.01,2262161.01,914.110107422
526680.01,2262261.01,898.824035645
526680.01,2262361.01,884.43371582
526680.01,2262461.01,871.537658691
526680.01,2262561.01,861.685852051
526780.01,2261361.01,927.682434082
526780.01,2261461.01,941.93170166
526780.01,2261561.01,951.627502441
526780.01,2261661.01,955.292541504
526780.01,2261761.01,952.482666016
526780.01,2261861.01,944.354553223
526780.01,2261961.01,932.587158203
526780.01,2262061.01,917.534790039
526780.01,2262161.01,901.450012207
526780.01,2262261.01,884.983825684
526780.01,2262361.01,869.244812012
526780.01,2262461.01,855.904785156
526780.01,2262561.01,845.590332031
526780.01,2262661.01,837.803039551
526780.01,2262761.01,831.115661621
526780.01,2262861.01,826.726867676
526780.01,2262961.01,823.03515625
526780.01,2263061.01,821.068359375
526780.01,2263161.01,821.243469238
526780.01,2263261.01,825.678222656
526780.01,2263361.01,835.479492188
526780.01,2263461.01,850.440368652
526880.01,2261361.01,930.867797852
526880.01,2261461.01,944.382202148
526880.01,2261561.01,952.470031738
526880.01,2261661.01,954.100463867
526880.01,2261761.01,949.247436523
526880.01,2261861.01,939.41394043
526880.01,2261961.01,925.541931152
526880.01,2262061.01,909.292480469
526880.01,2262161.01,891.663269043
526880.01,2262261.01,873.529052734
526880.01,2262361.01,856.692260742
526880.01,2262461.01,842.741088867
526880.01,2262561.01,831.403381348
526880.01,2262661.01,823.897583008
526880.01,2262761.01,818.199584961
526880.01,2262861.01,813.62677002
526880.01,2262961.01,810.621948242
526880.01,2263061.01,810.345153809
526880.01,2263161.01,813.271240234
526880.01,2263261.01,821.458435059
526880.01,2263361.01,833.823730469
526880.01,2263461.01,849.370300293
526880.01,2263561.01,867.951721191
526880.01,2263661.01,891.790649414
526880.01,2263761.01,922.629577637
526880.01,2263861.01,962.56451416
526880.01,2263961.01,1012.260375977
526880.01,2264061.01,1071.651367188
526880.01,2264161.01,1137.612060547
526880.01,2264261.01,1213.366333008
526880.01,2264361.01,1291.876953125
526880.01,2264461.01,1372.785400391
526980.01,2261361.01,936.384399414
526980.01,2261461.01,948.896911621
526980.01,2261561.01,955.36907959
526980.01,2261661.01,955.027893066
526980.01,2261761.01,948.463439941
526980.01,2261861.01,936.64239502
526980.01,2261961.01,921.221130371
526980.01,2262061.01,903.48840332
526980.01,2262161.01,884.29095459
526980.01,2262261.01,865.131958008
526980.01,2262361.01,847.363586426
526980.01,2262461.01,832.88079834
526980.01,2262561.01,821.085571289
526980.01,2262661.01,812.611999512
526980.01,2262761.01,807.045715332
