"X","Y","(H01-H02) Vint"
526580.01,2261461.01,0
526580.01,2261561.01,0
526580.01,2261661.01,0
526680.01,2261461.01,0
526680.01,2261561.01,0
526680.01,2261661.01,0
526680.01,2261761.01,0
526680.01,2261861.01,0
526680.01,2261961.01,0
526680.01,2262061.01,0
526680.01,2262161.01,0
526680.01,2262261.01,0
526680.01,2262361.01,0
526680.01,2262461.01,0
526680.01,2262561.01,0
526780.01,2261361.01,0
526780.01,2261461.01,0
526780.01,2261561.01,0
526780.01,2261661.01,0
526780.01,2261761.01,0
526780.01,2261861.01,0
526780.01,2261961.01,0
526780.01,2262061.01,0
526780.01,2262161.01,0
526780.01,2262261.01,0
526780.01,2262361.01,0
526780.01,2262461.01,0
526780.01,2262561.01,0
526780.01,2262661.01,0
526780.01,2262761.01,0
526780.01,2262861.01,0
526780.01,2262961.01,0
526780.01,2263061.01,0
526780.01,2263161.01,0
526780.01,2263261.01,0
526780.01,2263361.01,0
526780.01,2263461.01,0
526880.01,2261361.01,0
526880.01,2261461.01,0
526880.01,2261561.01,0
526880.01,2261661.01,0
526880.01,2261761.01,0
526880.01,2261861.01,0
526880.01,2261961.01,0
526880.01,2262061.01,0
526880.01,2262161.01,0
526880.01,2262261.01,0
526880.01,2262361.01,0
526880.01,2262461.01,0
526880.01,2262561.01,0
526880.01,2262661.01,0
526880.01,2262761.01,0
526880.01,2262861.01,0
526880.01,2262961.01,0
526880.01,2263061.01,0
526880.01,2263161.01,0
526880.01,2263261.01,0
526880.01,2263361.01,0
526880.01,2263461.01,0
526880.01,2263561.01,0
526880.01,2263661.01,0
526880.01,2263761.01,0
526880.01,2263861.01,0
526880.01,2263961.01,0
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,0
526880.01,2264361.01,0
526880.01,2264461.01,0
526980.01,2261361.01,0
526980.01,2261461.01,0
526980.01,2261561.01,0
526980.01,2261661.01,0
526980.01,2261761.01,0
526980.01,2261861.01,0
526980.01,2261961.01,0
526980.01,2262061.01,0
526980.01,2262161.01,0
526980.01,2262261.01,0
526980.01,2262361.01,0
526980.01,2262461.01,0
526980.01,2262561.01,0
526980.01,2262661.01,0
526980.01,2262761.01,0
526980.01,2262861.01,0
526980.01,2262961.01,0
526980.01,2263061.01,0
526980.01,2263161.01,0
526980.01,2263261.01,0
526980.01,2263361.01,0
526980.01,2263461.01,0
526980.01,2263561.01,0
526980.01,2263661.01,0
526980.01,2263761.01,0
526980.01,2263861.01,0
526980.01,2263961.01,0
526980.01,2264061.01,-9999
526980.01,2264161.01,-9999
526980.01,2264261.01,0
526980.01,2264361.01,0
526980.01,2264461.01,0
526980.01,2264561.01,0
526980.01,2264661.01,-9999
526980.01,2264761.01,0
526980.01,2264861.01,0
526980.01,2264961.01,0
526980.01,2265061.01,0
526980.01,2265161.01,28.095264435
526980.01,2265261.01,216.07093811
526980.01,2265361.01,201.400344849
527080.01,2261261.01,0
527080.01,2261361.01,0
527080.01,2261461.01,0
527080.01,2261561.01,0
527080.01,2261661.01,0
527080.01,2261761.01,0
527080.01,2261861.01,0
527080.01,2261961.01,0
527080.01,2262061.01,0
527080.01,2262161.01,0
527080.01,2262261.01,0
527080.01,2262361.01,0
527080.01,2262461.01,0
527080.01,2262561.01,0
527080.01,2262661.01,0
527080.01,2262761.01,0
527080.01,2262861.01,0
527080.01,2262961.01,0
527080.01,2263061.01,0
527080.01,2263161.01,0
527080.01,2263261.01,0
527080.01,2263361.01,0
527080.01,2263461.01,0
527080.01,2263561.01,0
527080.01,2263661.01,0
527080.01,2263761.01,0
527080.01,2263861.01,0
527080.01,2263961.01,0
527080.01,2264061.01,-9999
527080.01,2264161.01,-9999
527080.01,2264261.01,0
527080.01,2264361.01,0
527080.01,2264461.01,0
527080.01,2264561.01,0
527080.01,2264661.01,0
527080.01,2264761.01,0
527080.01,2264861.01,0
527080.01,2264961.01,0
527080.01,2265061.01,0
527080.01,2265161.01,0
527080.01,2265261.01,186.337966919
527080.01,2265361.01,142.866943359
527080.01,2265461.01,107.749679565
