"X","Y","(H02-H03) Vint"
526580.01,2261461.01,2339.386962891
526580.01,2261561.01,2254.056884766
526580.01,2261661.01,2226.686767578
526680.01,2261461.01,2117.358154297
526680.01,2261561.01,2092.983398438
526680.01,2261661.01,2282.694824219
526680.01,2261761.01,2467.819824219
526680.01,2261861.01,2518.953369141
526680.01,2261961.01,2310.973876953
526680.01,2262061.01,2335.810302734
526680.01,2262161.01,2199.778808594
526680.01,2262261.01,2192.019042969
526680.01,2262361.01,2326.840087891
526680.01,2262461.01,2512.885742188
526680.01,2262561.01,2652.620117188
526780.01,2261361.01,2198.451904297
526780.01,2261461.01,2017.860473633
526780.01,2261561.01,1927.561035156
526780.01,2261661.01,2175.637451172
526780.01,2261761.01,2541.8828125
526780.01,2261861.01,2661.082275391
526780.01,2261961.01,2622.134033203
526780.01,2262061.01,2481.202636719
526780.01,2262161.01,2325.802734375
526780.01,2262261.01,2322.999511719
526780.01,2262361.01,2489.289306641
526780.01,2262461.01,2670.919189453
526780.01,2262561.01,2904.000488281
526780.01,2262661.01,3123.102050781
526780.01,2262761.01,3258.043457031
526780.01,2262861.01,3498.412109375
526780.01,2262961.01,3716.316650391
526780.01,2263061.01,3659.439941406
526780.01,2263161.01,3548.419189453
526780.01,2263261.01,3458.119140625
526780.01,2263361.01,3338.592285156
526780.01,2263461.01,3142.16796875
526880.01,2261361.01,1982.953369141
526880.01,2261461.01,1863.788085938
526880.01,2261561.01,1859.404296875
526880.01,2261661.01,2065.321777344
526880.01,2261761.01,2448.564697266
526880.01,2261861.01,2672.782714844
526880.01,2261961.01,2559.955810547
526880.01,2262061.01,2475.46875
526880.01,2262161.01,2355.782470703
526880.01,2262261.01,2411.511474609
526880.01,2262361.01,2561.342529297
526880.01,2262461.01,2747.016845703
526880.01,2262561.01,3001.770751953
526880.01,2262661.01,3309.844482422
526880.01,2262761.01,3486.884765625
526880.01,2262861.01,3520.415527344
526880.01,2262961.01,3551.92578125
526880.01,2263061.01,3560.816894531
526880.01,2263161.01,3564.286132813
526880.01,2263261.01,3552.452880859
526880.01,2263361.01,3528.518554688
526880.01,2263461.01,3307.428466797
526880.01,2263561.01,3143.059326172
526880.01,2263661.01,3139.397949219
526880.01,2263761.01,3220.710449219
526880.01,2263861.01,2757.043212891
526880.01,2263961.01,2294.24609375
526880.01,2264061.01,1912.415649414
526880.01,2264161.01,2097.026367188
526880.01,2264261.01,2712.906982422
526880.01,2264361.01,3038.455078125
526880.01,2264461.01,2884.619140625
526980.01,2261361.01,1640.895263672
526980.01,2261461.01,1573.514282227
526980.01,2261561.01,1756.296875
526980.01,2261661.01,2032.840209961
526980.01,2261761.01,2305.004394531
526980.01,2261861.01,2598.565917969
526980.01,2261961.01,2459.250244141
