"X","Y","(H03-H04) Vint"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,2250.817871094
526680.01,2261461.01,-9999
526680.01,2261561.01,2270.311767578
526680.01,2261661.01,2227.937744141
526680.01,2261761.01,2076.167236328
526680.01,2261861.01,1910.990112305
526680.01,2261961.01,1833.558349609
526680.01,2262061.01,-9999
526680.01,2262161.01,2228.102539063
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,2204.299072266
526780.01,2261661.01,2110.515380859
526780.01,2261761.01,1922.961181641
526780.01,2261861.01,2286.756103516
526780.01,2261961.01,2224.458740234
526780.01,2262061.01,2186.693603516
526780.01,2262161.01,2187.607421875
526780.01,2262261.01,2177.033935547
526780.01,2262361.01,2156.736083984
526780.01,2262461.01,2138.455810547
526780.01,2262561.01,2117.636962891
526780.01,2262661.01,2117.01171875
526780.01,2262761.01,2152.541503906
526780.01,2262861.01,2018.520507813
526780.01,2262961.01,2048.176269531
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,2278.482177734
526880.01,2261561.01,2166.12109375
526880.01,2261661.01,2022.565307617
526880.01,2261761.01,2336.794189453
526880.01,2261861.01,2195.081542969
526880.01,2261961.01,2163.066162109
526880.01,2262061.01,2152.457519531
526880.01,2262161.01,2183.797363281
526880.01,2262261.01,2170.041259766
526880.01,2262361.01,2149.959472656
526880.01,2262461.01,2129.772216797
526880.01,2262561.01,2109.338623047
526880.01,2262661.01,2093.084960938
526880.01,2262761.01,2089.369384766
526880.01,2262861.01,2111.694091797
526880.01,2262961.01,2044.110717773
526880.01,2263061.01,2119.704345703
526880.01,2263161.01,2122.372802734
526880.01,2263261.01,2075.055419922
526880.01,2263361.01,2070.434082031
526880.01,2263461.01,2064.566894531
526880.01,2263561.01,2069.475830078
526880.01,2263661.01,2070.465820313
526880.01,2263761.01,2064.887939453
526880.01,2263861.01,-9999
526880.01,2263961.01,2135.505859375
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,2280.708740234
526980.01,2261561.01,2262.625732422
526980.01,2261661.01,2033.659179688
526980.01,2261761.01,1839.298706055
526980.01,2261861.01,2221.410644531
526980.01,2261961.01,2178.613037109
526980.01,2262061.01,2133.497314453
526980.01,2262161.01,2070.482666016
526980.01,2262261.01,2026.837524414
526980.01,2262361.01,1993.763793945
526980.01,2262461.01,1986.112548828
526980.01,2262561.01,1849.912231445
526980.01,2262661.01,1976.572265625
526980.01,2262761.01,1973.710327148
526980.01,2262861.01,1969.410644531
526980.01,2262961.01,1909.876464844
526980.01,2263061.01,2103.379638672
526980.01,2263161.01,2112.143554688
526980.01,2263261.01,2107.385498047
526980.01,2263361.01,2079.481445313
526980.01,2263461.01,2100.071289063
526980.01,2263561.01,2050.504394531
526980.01,2263661.01,2166.014160156
526980.01,2263761.01,2145.211425781
526980.01,2263861.01,2158.616455078
526980.01,2263961.01,2156.130859375
526980.01,2264061.01,2170.742919922
526980.01,2264161.01,2144.100830078
526980.01,2264261.01,2069.204589844
526980.01,2264361.01,2054.092285156
526980.01,2264461.01,2056.850585938
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,2290.415283203
527080.01,2261461.01,2286.762939453
527080.01,2261561.01,2265.657958984
527080.01,2261661.01,2234.864746094
527080.01,2261761.01,2128.538574219
527080.01,2261861.01,2185.589111328
527080.01,2261961.01,2148.642578125
527080.01,2262061.01,2112.926269531
527080.01,2262161.01,2108.158935547
527080.01,2262261.01,2074.739746094
527080.01,2262361.01,2029.919189453
527080.01,2262461.01,2013.17565918
527080.01,2262561.01,1917.922851563
527080.01,2262661.01,2032.249267578
527080.01,2262761.01,1992.906616211
527080.01,2262861.01,1982.144165039
527080.01,2262961.01,1983.274536133
527080.01,2263061.01,2021.815551758
527080.01,2263161.01,1874.827880859
527080.01,2263261.01,2102.481933594
527080.01,2263361.01,2122.254150391
527080.01,2263461.01,2148.578369141
527080.01,2263561.01,2262.777832031
527080.01,2263661.01,2296.15625
527080.01,2263761.01,2340.535888672
527080.01,2263861.01,2289.124267578
527080.01,2263961.01,2308.003417969
527080.01,2264061.01,2323.315673828
527080.01,2264161.01,2232.052490234
527080.01,2264261.01,2226.266845703
527080.01,2264361.01,2065.611083984
527080.01,2264461.01,2069.195556641
527080.01,2264561.01,2074.679443359
527080.01,2264661.01,2087.913085938
527080.01,2264761.01,2082.382080078
527080.01,2264861.01,2087.030761719
527080.01,2264961.01,2091.017333984
527080.01,2265061.01,2093.407958984
527080.01,2265161.01,2096.011474609
527080.01,2265261.01,2097.524169922
527080.01,2265361.01,2099.149414063
527080.01,2265461.01,2099.739257813
527080.01,2265561.01,2098.963378906
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,2289.481201172
527180.01,2261461.01,2285.982666016
527180.01,2261561.01,2270.254394531
527180.01,2261661.01,2231.467285156
527180.01,2261761.01,2196.174560547
527180.01,2261861.01,2160.489013672
527180.01,2261961.01,2136.899658203
527180.01,2262061.01,2126.726806641
527180.01,2262161.01,2125.788818359
527180.01,2262261.01,2129.298095703
527180.01,2262361.01,2120.225097656
527180.01,2262461.01,2109.688964844
527180.01,2262561.01,2100.377441406
527180.01,2262661.01,2027.248535156
527180.01,2262761.01,2090.150878906
527180.01,2262861.01,2048.998535156
527180.01,2262961.01,1995.883911133
527180.01,2263061.01,2052.576416016
527180.01,2263161.01,1913.894775391
527180.01,2263261.01,1900.851806641
527180.01,2263361.01,1776.181762695
527180.01,2263461.01,1783.205688477
527180.01,2263561.01,1790.149047852
527180.01,2263661.01,1949.229858398
527180.01,2263761.01,2253.837402344
527180.01,2263861.01,2405.924804688
527180.01,2263961.01,2409.841308594
527180.01,2264061.01,2431.960693359
527180.01,2264161.01,2325.501220703
