"X","Y","(H10-H20) Vint"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,3240.432617188
526680.01,2261461.01,-9999
526680.01,2261561.01,3275.871337891
526680.01,2261661.01,3246.684814453
526680.01,2261761.01,3409.25390625
526680.01,2261861.01,3312.380615234
526680.01,2261961.01,3222.846191406
526680.01,2262061.01,-9999
526680.01,2262161.01,3110.37109375
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,3412.242431641
526780.01,2261661.01,3539.608154297
526780.01,2261761.01,3635.698730469
526780.01,2261861.01,3549.160644531
526780.01,2261961.01,3369.672851563
526780.01,2262061.01,3283.408203125
526780.01,2262161.01,3154.478271484
526780.01,2262261.01,3133.203857422
526780.01,2262361.01,3136.631347656
526780.01,2262461.01,3177.12109375
526780.01,2262561.01,3307.732666016
526780.01,2262661.01,3438.877929688
526780.01,2262761.01,3411.356201172
526780.01,2262861.01,3377.727050781
526780.01,2262961.01,3443.173583984
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,2385.802001953
526880.01,2261661.01,3739.123535156
526880.01,2261761.01,3691.135009766
526880.01,2261861.01,3823.341552734
526880.01,2261961.01,3574.256835938
526880.01,2262061.01,3185.974365234
526880.01,2262161.01,3077.605957031
526880.01,2262261.01,3152.450927734
526880.01,2262361.01,3274.654541016
526880.01,2262461.01,3327.809082031
526880.01,2262561.01,3539.212646484
526880.01,2262661.01,3610.428466797
526880.01,2262761.01,3434.844482422
526880.01,2262861.01,3447.783447266
526880.01,2262961.01,3436.833496094
526880.01,2263061.01,3233.122314453
526880.01,2263161.01,3238.87890625
526880.01,2263261.01,3204.835205078
526880.01,2263361.01,3150.074462891
526880.01,2263461.01,3152.311035156
526880.01,2263561.01,3139.083496094
526880.01,2263661.01,3178.962646484
526880.01,2263761.01,3183.950195313
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,3251.740234375
526980.01,2261561.01,3209.977539063
526980.01,2261661.01,4722.198730469
526980.01,2261761.01,4119.338378906
526980.01,2261861.01,4281.3828125
526980.01,2261961.01,2439.099853516
526980.01,2262061.01,3068.758789063
526980.01,2262161.01,3401.809570313
526980.01,2262261.01,3740.968261719
526980.01,2262361.01,3435.121337891
526980.01,2262461.01,2854.012695313
526980.01,2262561.01,4429.548828125
526980.01,2262661.01,4749.48046875
526980.01,2262761.01,3835.282470703
526980.01,2262861.01,3918.552734375
526980.01,2262961.01,3498.045654297
526980.01,2263061.01,3220.908203125
526980.01,2263161.01,3315.061767578
526980.01,2263261.01,3206.759521484
526980.01,2263361.01,3154.258300781
526980.01,2263461.01,3186.743896484
526980.01,2263561.01,3155.810546875
526980.01,2263661.01,3197.768798828
526980.01,2263761.01,3192.821289063
526980.01,2263861.01,3074.928710938
526980.01,2263961.01,3128.897949219
526980.01,2264061.01,3124.679443359
526980.01,2264161.01,3108.981933594
526980.01,2264261.01,3138.524658203
526980.01,2264361.01,3112.262939453
526980.01,2264461.01,3058.507080078
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,3246.577636719
527080.01,2261561.01,3252.618652344
527080.01,2261661.01,3457.911376953
527080.01,2261761.01,3638.568603516
527080.01,2261861.01,3628.343017578
527080.01,2261961.01,3369.839599609
527080.01,2262061.01,3351.122558594
527080.01,2262161.01,3149.41796875
527080.01,2262261.01,3056.795166016
527080.01,2262361.01,3095.473876953
527080.01,2262461.01,3423.416992188
527080.01,2262561.01,3478.522460938
527080.01,2262661.01,3545.985107422
527080.01,2262761.01,3683.945068359
527080.01,2262861.01,3627.275878906
527080.01,2262961.01,3131.203125
527080.01,2263061.01,3308.563964844
527080.01,2263161.01,3149.485839844
527080.01,2263261.01,3033.142822266
527080.01,2263361.01,3207.232421875
527080.01,2263461.01,3243.598632813
527080.01,2263561.01,3286.736572266
527080.01,2263661.01,3216.875
527080.01,2263761.01,3201.035400391
527080.01,2263861.01,3139.71484375
527080.01,2263961.01,3028.290527344
527080.01,2264061.01,3006.3203125
527080.01,2264161.01,3120.834228516
527080.01,2264261.01,3109.448974609
527080.01,2264361.01,3074.712402344
527080.01,2264461.01,3066.323486328
527080.01,2264561.01,3032.216308594
527080.01,2264661.01,3020.303466797
527080.01,2264761.01,3027.311035156
527080.01,2264861.01,3025.668212891
527080.01,2264961.01,3015.296142578
527080.01,2265061.01,3021.639404297
527080.01,2265161.01,3041.562255859
527080.01,2265261.01,3113.044677734
527080.01,2265361.01,3146.457519531
527080.01,2265461.01,3141.916015625
527080.01,2265561.01,3142.511962891
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,3125.853515625
527180.01,2261461.01,3187.384033203
527180.01,2261561.01,3227.319824219
527180.01,2261661.01,3339.961181641
527180.01,2261761.01,3386.255615234
527180.01,2261861.01,3360.898681641
527180.01,2261961.01,3302.556640625
527180.01,2262061.01,3287.013671875
527180.01,2262161.01,3092.748291016
527180.01,2262261.01,3035.676513672
527180.01,2262361.01,3125.911865234
527180.01,2262461.01,3243.130371094
527180.01,2262561.01,3319.747314453
527180.01,2262661.01,3180.427978516
527180.01,2262761.01,3281.771484375
527180.01,2262861.01,3419.048583984
527180.01,2262961.01,3421.24609375
527180.01,2263061.01,3530.286376953
527180.01,2263161.01,3578.474853516
527180.01,2263261.01,2363.877929688
527180.01,2263361.01,3358.176757813
527180.01,2263461.01,3555.282470703
527180.01,2263561.01,3329.006591797
527180.01,2263661.01,3082.097167969
527180.01,2263761.01,3117.145263672
527180.01,2263861.01,3000.854248047
527180.01,2263961.01,2473.379882813
527180.01,2264061.01,2921.211669922
527180.01,2264161.01,3246.787597656
527180.01,2264261.01,3114.895751953
