"X","Y","(H20-H30) Vint"
526580.01,2261461.01,-9999
526580.01,2261561.01,-9999
526580.01,2261661.01,2482.159912109
526680.01,2261461.01,-9999
526680.01,2261561.01,2485.8203125
526680.01,2261661.01,2497.501953125
526680.01,2261761.01,2477.192871094
526680.01,2261861.01,2500.481933594
526680.01,2261961.01,2511.2734375
526680.01,2262061.01,-9999
526680.01,2262161.01,2540.248046875
526680.01,2262261.01,-9999
526680.01,2262361.01,-9999
526680.01,2262461.01,-9999
526680.01,2262561.01,-9999
526780.01,2261361.01,-9999
526780.01,2261461.01,-9999
526780.01,2261561.01,2522.868408203
526780.01,2261661.01,2493.989501953
526780.01,2261761.01,2443.008056641
526780.01,2261861.01,2498.535400391
526780.01,2261961.01,2500.049560547
526780.01,2262061.01,2485.079101563
526780.01,2262161.01,2486.633544922
526780.01,2262261.01,2489.981933594
526780.01,2262361.01,2499.330078125
526780.01,2262461.01,2499.575683594
526780.01,2262561.01,2469.456542969
526780.01,2262661.01,2430.486328125
526780.01,2262761.01,2441.240966797
526780.01,2262861.01,2460.950195313
526780.01,2262961.01,2495.362060547
526780.01,2263061.01,-9999
526780.01,2263161.01,-9999
526780.01,2263261.01,-9999
526780.01,2263361.01,-9999
526780.01,2263461.01,-9999
526880.01,2261361.01,-9999
526880.01,2261461.01,-9999
526880.01,2261561.01,2557.866699219
526880.01,2261661.01,2536.740234375
526880.01,2261761.01,2441.576660156
526880.01,2261861.01,2441.042236328
526880.01,2261961.01,2475.982666016
526880.01,2262061.01,2452.713378906
526880.01,2262161.01,2502.093505859
526880.01,2262261.01,2484.364013672
526880.01,2262361.01,2488.333984375
526880.01,2262461.01,2504.88671875
526880.01,2262561.01,2443.284423828
526880.01,2262661.01,2400.669189453
526880.01,2262761.01,2444.137939453
526880.01,2262861.01,2408.203857422
526880.01,2262961.01,2478.771972656
526880.01,2263061.01,2489.986816406
526880.01,2263161.01,2489.358398438
526880.01,2263261.01,2509.316162109
526880.01,2263361.01,2526.408935547
526880.01,2263461.01,2524.344482422
526880.01,2263561.01,2527.276611328
526880.01,2263661.01,2530.467773438
526880.01,2263761.01,2533.430908203
526880.01,2263861.01,-9999
526880.01,2263961.01,-9999
526880.01,2264061.01,-9999
526880.01,2264161.01,-9999
526880.01,2264261.01,-9999
526880.01,2264361.01,-9999
526880.01,2264461.01,-9999
526980.01,2261361.01,-9999
526980.01,2261461.01,2628.664550781
526980.01,2261561.01,2636.185302734
526980.01,2261661.01,2011.17956543
526980.01,2261761.01,1907.374755859
526980.01,2261861.01,1896.114379883
526980.01,2261961.01,2669.312011719
526980.01,2262061.01,2603.795898438
526980.01,2262161.01,2563.411865234
526980.01,2262261.01,2281.431884766
526980.01,2262361.01,2470.439941406
526980.01,2262461.01,2819.644287109
526980.01,2262561.01,2357.355712891
526980.01,2262661.01,2230.068847656
526980.01,2262761.01,2647.329101563
526980.01,2262861.01,2546.501708984
526980.01,2262961.01,2440.743164063
526980.01,2263061.01,2469.346435547
526980.01,2263161.01,2445.08984375
526980.01,2263261.01,2489.060546875
526980.01,2263361.01,2519.322509766
526980.01,2263461.01,2520.636962891
526980.01,2263561.01,2515.674804688
526980.01,2263661.01,2521.654785156
526980.01,2263761.01,2529.91796875
526980.01,2263861.01,2528.135253906
526980.01,2263961.01,2532.1875
526980.01,2264061.01,2511.946777344
526980.01,2264161.01,2502.283691406
526980.01,2264261.01,2523.732177734
526980.01,2264361.01,2532.943359375
526980.01,2264461.01,2502.843505859
526980.01,2264561.01,-9999
526980.01,2264661.01,-9999
526980.01,2264761.01,-9999
526980.01,2264861.01,-9999
526980.01,2264961.01,-9999
526980.01,2265061.01,-9999
526980.01,2265161.01,-9999
526980.01,2265261.01,-9999
526980.01,2265361.01,-9999
527080.01,2261261.01,-9999
527080.01,2261361.01,-9999
527080.01,2261461.01,2560.133300781
527080.01,2261561.01,2602.165771484
527080.01,2261661.01,2599.924560547
527080.01,2261761.01,2543.233886719
527080.01,2261861.01,2564.702392578
527080.01,2261961.01,2702.681152344
527080.01,2262061.01,2812.106689453
527080.01,2262161.01,2717.104980469
527080.01,2262261.01,2855.231689453
527080.01,2262361.01,2965.02734375
527080.01,2262461.01,2763.03125
527080.01,2262561.01,2964.157226563
527080.01,2262661.01,2862.812988281
527080.01,2262761.01,2416.321044922
527080.01,2262861.01,2458.710205078
527080.01,2262961.01,2672.075683594
527080.01,2263061.01,2522.641357422
527080.01,2263161.01,2535.17578125
527080.01,2263261.01,2558.520751953
527080.01,2263361.01,2520.566650391
527080.01,2263461.01,2514.620361328
527080.01,2263561.01,2476.98046875
527080.01,2263661.01,2470.784423828
527080.01,2263761.01,2473.535400391
527080.01,2263861.01,2510.178710938
527080.01,2263961.01,2519.752197266
527080.01,2264061.01,2510.045898438
527080.01,2264161.01,2522.375732422
527080.01,2264261.01,2523.414794922
527080.01,2264361.01,2519.346923828
527080.01,2264461.01,2505.528076172
527080.01,2264561.01,2497.548339844
527080.01,2264661.01,2523.249267578
527080.01,2264761.01,2550.259277344
527080.01,2264861.01,2582.048339844
527080.01,2264961.01,2580.648925781
527080.01,2265061.01,2552.762451172
527080.01,2265161.01,2497.905761719
527080.01,2265261.01,2497.799316406
527080.01,2265361.01,2507.259277344
527080.01,2265461.01,2490.263916016
527080.01,2265561.01,2488.125244141
527080.01,2265661.01,-9999
527080.01,2265761.01,-9999
527180.01,2261261.01,-9999
527180.01,2261361.01,2523.402832031
527180.01,2261461.01,2557.750976563
527180.01,2261561.01,2619.057617188
527180.01,2261661.01,2626.855224609
527180.01,2261761.01,2615.130371094
527180.01,2261861.01,2603.603759766
527180.01,2261961.01,2594.507568359
527180.01,2262061.01,2501.298828125
527180.01,2262161.01,2489.234375
527180.01,2262261.01,2471.053710938
527180.01,2262361.01,2522.342529297
527180.01,2262461.01,2565.809082031
527180.01,2262561.01,2515.140380859
527180.01,2262661.01,2624.683349609
527180.01,2262761.01,2586.88671875
527180.01,2262861.01,2668.713378906
527180.01,2262961.01,2280.995361328
527180.01,2263061.01,2367.914306641
527180.01,2263161.01,2412.807373047
527180.01,2263261.01,2909.57421875
527180.01,2263361.01,2705.6953125
527180.01,2263461.01,2672.19921875
527180.01,2263561.01,2540.661376953
527180.01,2263661.01,2483.130126953
527180.01,2263761.01,2457.196289063
527180.01,2263861.01,2446.385986328
527180.01,2263961.01,2471.640136719
527180.01,2264061.01,2450.55078125
527180.01,2264161.01,2555.011474609
527180.01,2264261.01,2512.810302734
